統合開発環境|とうごうかいはつかんきょう|Integrated Development Environment
名産地|めいさんち|location famous for production of something (usually food)
一押し|いちおし|recommendation; (something) highly recommended
一押し|いちおし|to recommend
いち押し|いちおし|recommendation; (something) highly recommended
いち押し|いちおし|to recommend
一推し|いちおし|recommendation; (something) highly recommended
一推し|いちおし|to recommend
いち推し|いちおし|recommendation; (something) highly recommended
いち推し|いちおし|to recommend
重箱の隅をつつく|じゅうばこのすみをつつく|to nitpick; to complain about trifles
重箱の隅を突く|じゅうばこのすみをつつく|to nitpick; to complain about trifles
重箱のすみをつつく|じゅうばこのすみをつつく|to nitpick; to complain about trifles
メモカ||memory card
紳士風|しんしふう|gentlemanly; gentlemanlike; in the manner of a gentleman
淑女風|しゅくじょふう|ladylike; in the manner of a lady
貧困者|ひんこんしゃ|pauper; the needy; the poor
フラッター||flutter (sound)
認め合う|みとめあう|to mutually recognize; to agree; to accept
桿状核球|かんじょうかくきゅう|band cell; stab cell
ソトワール||sautoir; long necklace (longer than opera-length), often with an ornament (tassel or pendant) at the end
環境活動|かんきょうかつどう|environmental practice; environmental practices
保健師|ほけんし|public health nurse
衛生管理者|えいせいかんりしゃ|health supervisor
アメリカ連合国|アメリカれんごうこく|The Confederate States of America; The Confederacy; CSA
導管実体|どうかんじったい|pass-through entity (legal term); look-through entity; (fiscally) transparent entity
導管課税|どうかんかぜい|conduit taxation
純資産価値|じゅんしさんかち|net asset value
法域|ほういき|jurisdiction
わはは||Wa-haha!; vigorous laughter
課税漏れ|かぜいもれ|tax leakage
安全港|あんぜんこう|safe harbour
いい薬になる|いいくすりになる|to learn a lesson (usu. from an unpleasant experience); to be good for someone
良い薬になる|いいくすりになる|to learn a lesson (usu. from an unpleasant experience); to be good for someone
ソーシング||sourcing (e.g. of components)
契約を交わす|けいやくをかわす|to sign a contract
州間高速道路|しゅうかんこうそくどうろ|interstate highway
ユビキタス社会|ユビキタスしゃかい|society where IT related gadgets are prevalent and their function transparent (from "ubiquitous computing")
ユビキタス環境|ユビキタスかんきょう|computing environment characterized by "ubiquitous computing"
豚めし|ぶためし|pork with rice
豚飯|ぶためし|pork with rice
間接選挙制|かんせつせんきょせい|indirect electoral system
修正論|しゅうせいろん|revisionism
小児愛者|しょうにあいしゃ|paedophile; pedophile
小児性愛者|しょうにせいあいしゃ|paedophile; pedophile
お母ちゃん|おかあちゃん|mum; mom
母ちゃん|かあちゃん|mum; mom
客観視|きゃっかんし|objective point of view
客観化|きゃっかんか|objectivization; externalization
足し|たし|top up (e.g. a little bit to remedy an insufficiency)
足しにする|たしにする|to make up (an insufficiency); to ease (a lack)
計算ずく|けいさんずく|calculated; premeditated; considered
計算尽く|けいさんずく|calculated; premeditated; considered
計算尽く|けいさんづく|calculated; premeditated; considered
計算づく|けいさんづく|calculated; premeditated; considered
計算尽|けいさんずく|calculated; premeditated; considered
計算尽|けいさんづく|calculated; premeditated; considered
異世代|いせだい|intergenerational; of different generations
同世代|どうせだい|same generation; one's generation
異世代間|いせだいかん|intergenerational
意地張る|いじばる|to be stubborn; to be obstinate; to be perverse; to not give in
意地張る|いじはる|to be stubborn; to be obstinate; to be perverse; to not give in
意地ばる|いじばる|to be stubborn; to be obstinate; to be perverse; to not give in
意地はる|いじはる|to be stubborn; to be obstinate; to be perverse; to not give in
社会保険労務士|しゃかいほけんろうむし|licensed social insurance consultant; labor and social security attorney
ソフトカバー||soft-cover (book)
ソフト・カバー||soft-cover (book)
陳列棟|ちんれつとう|gallery; exhibition hall
必要不可欠|ひつようふかけつ|essential; indispensable; imperative; necessary; compelling, vital, critical
本枯|ほんかれ|high grade katsuobushi (with mold)
発生源|はっせいげん|source; origin
口が減らない|くちがへらない|fast-talking; always having another argument ready; not able to keep one's mouth shut; never at a loss for words
口がへらない|くちがへらない|fast-talking; always having another argument ready; not able to keep one's mouth shut; never at a loss for words
口の減らない|くちのへらない|always having a comeback (often used derogatorily); fast-talking
口のへらない|くちのへらない|always having a comeback (often used derogatorily); fast-talking
楽屋口|がくやぐち|stage door
既卒者|きそつしゃ|graduate from an earlier year; alumnus; alumna; former graduate
流線|りゅうせん|flow line; streamline; lines representing the flow of a fluid
二次創作|にじそうさく|derivative work (e.g. alt. world, side story, doujinshi, fanfiction, etc.); derived work
手を煩わせる|てをわずらわせる|to cause a person trouble
内輪差|ないりんさ|difference between track followed by front and back inner wheels when turning
手がすべる|てがすべる|to have one's hands slip (and drop something)
手が滑る|てがすべる|to have one's hands slip (and drop something)
恥ずかしげもなく|はずずかしげもなく|brazenly; unabashedly
目にする|めにする|to see; to witness; to observe; to catch sight of; to get a glimpse of; to encounter
目が見える|めがみえる|to be able to see (oft. used in the negative)
歯に衣着せぬ|はにきぬきせぬ|to not mince matters; to speak frankly
不適合|ふてきごう|non-conforming process; noncompliant; incompatible
四輪|よんりん|four-wheeled
心を通わせる|こころをかよわせる|to establish an emotional bond with; to reach out to; to relate to
資格を有する|しかくをゆうする|to qualify (as); to have the qualifications (for ...); to be entitled to; to have a claim (for)
水分補給|すいぶんほきゅう|hydration; rehydration
水分補給|すいぶんほきゅう|to hydrate; to rehydrate; to moisturize
意味段落|いみだんらく|logical paragraph (as opposed to a formal paragraph); segment of text expressing a single meaning
形式段落|けいしきだんらく|formal paragraph (in opposition to a logical paragraph); paragraph as defined by its formal elements (e.g. line break and initial indentation)
高学歴|こうがくれき|high academic achievement; advanced academic training; higher education
黒魔法|くろまほう|black magic
白魔法|しろまほう|white magic
草付き|くさつき|patch of plants or shrubs (e.g. on a steep rocky surface)
草付|くさつき|patch of plants or shrubs (e.g. on a steep rocky surface)
攀じる|よじる|to clamber (up); to scale
通学路|つうがくろ|school route; street for students going to and from school (esp. on foot)
うながっぱ||maki sushi typically made from eel and cucumber, often with a face-like pattern when cut
うながっぱ||mascot character used by Tajimi City in Gifu
呼び出し側|よびだしがわ|caller; calling party
進んで|すすんで|voluntarily; willingly; of one's own free will
飛ぶように売れる|とぶようにうれる|to sell like hot cakes; to fly off the shelves
稲わら|いねわら|rice straw; paddy straw
稲わら|いなわら|rice straw; paddy straw
稲藁|いねわら|rice straw; paddy straw
稲藁|いなわら|rice straw; paddy straw
稲ワラ|いねワラ|rice straw; paddy straw
稲ワラ|いなワラ|rice straw; paddy straw
リグニン||lignin
フリース||fleece
沖する|ちゅうする|to rise up into the air; to ascend into the sky
冲する|ちゅうする|to rise up into the air; to ascend into the sky
空芯菜|くうしんさい|Chinese water spinach (Ipomoea aquatica); ong choy; kang kong; water morning glory; water convolvulus; swamp cabbage; hung tsai; rau muong; pak boong; swamp morning-glory
空心菜|くうしんさい|Chinese water spinach (Ipomoea aquatica); ong choy; kang kong; water morning glory; water convolvulus; swamp cabbage; hung tsai; rau muong; pak boong; swamp morning-glory
クウシンサイ||Chinese water spinach (Ipomoea aquatica); ong choy; kang kong; water morning glory; water convolvulus; swamp cabbage; hung tsai; rau muong; pak boong; swamp morning-glory
リンクバナー||link banner (graphic or logo provided for use in linking to web site)
リンク・バナー||link banner (graphic or logo provided for use in linking to web site)
柔剣棒|じゅうけんぼう|jūkenbō; "body, sword and staff" techniques in martial arts
非効率|ひこうりつ|inefficient
非効率的|ひこうりつてき|inefficient
遊びに来る|あそびにくる|to come and stay; to drop in; to visit
遊びにくる|あそびにくる|to come and stay; to drop in; to visit
緑豊か|みどりゆたか|lushly green; verdant
規範意識|きはんいしき|normative consciousness
耳に入る|みみにはいる|to hear of
耳にはいる|みみにはいる|to hear of
袋茸|ふくろたけ|paddy straw mushroom; straw mushroom; Volvariella volvacea
フクロタケ||paddy straw mushroom; straw mushroom; Volvariella volvacea
身のこなし|みのこなし|carriage; movement (of the body); agility
身の熟し|みのこなし|carriage; movement (of the body); agility
分かり兼ねる|わかりかねる|to be difficult to ascertain; to be difficult to understand
分かりかねる|わかりかねる|to be difficult to ascertain; to be difficult to understand
バーベキュー場|バーベキューじょう|barbecue site; barbecue area
避難場|ひなんば|refuge; evacuation center
避難場所|ひなんばしょ|evacuation site; exposure; refuge shelter; shelter
預言書|よげんしょ|prophetic writing (e.g. Biblical); written prophecy
実地調査|じっちちょうさ|site survey; field study
訂する|ていする|to correct
歴代志|れきだいし|The Chronicles (books of the Bible)
更新履歴|こうしんりれき|change log; record of updates; update history
心臓病学|しんぞうびょうがく|cardiology
スキー板|スキーいた|skis (pair of)
法廷会計学|ほうていかいけいがく|legal accounting
手中におさめる|しゅちゅうにおさめる|to make one's own; to take possession of
手中に収める|しゅちゅうにおさめる|to make one's own; to take possession of
手中に納める|しゅちゅうにおさめる|to make one's own; to take possession of
手が届く|てがとどく|to be able to reach; to be within one's reach; to be able to afford; to have the means to buy
手が届く|てがとどく|to be near (a certain age)
手の届かないところ|てのとどかないところ|(a place) out of one's reach
手の届かない所|てのとどかないところ|(a place) out of one's reach
流通チャンネル|りゅうつうチャンネル|distribution channel
自殺行為|じさつこうい|suicidal act; self-destroying action; suicidal action
追走|ついそう|chasing; chase
世界電話番号|せかいでんわばんごう|international telephone number
もちのろん||of course; certainly; naturally
命を落とす|いのちをおとす|to lose one's life
宮大工|みやだいく|carpenter specializing in temple, shrine, etc. construction
背中で教える|せなかでおしえる|to teach by example; to teach by showing; to teach with one's back
スキー靴|スキーくつ|ski boots
野梅|やばい|wild Japanese apricot
紅筆|べにふで|lipstick brush
紅筆|べにふで|variety of Japanese apricot
難波薔薇|なにわいばら|Cherokee rose (Rosa laevigata)
ナニワイバラ||Cherokee rose (Rosa laevigata)
青軸|あおじく|cultivar of Japanese apricot (Prunus mume)
青軸|あおじく|cultivar of mulberry
豊後梅|ぶんごうめ|Bungo Japanese apricot; Prunus mume var. bungo
ブンゴウメ||Bungo Japanese apricot; Prunus mume var. bungo
緋梅|ひばい|Hibai Japanese apricot
唐梅|からうめ|wintersweet (Chimonanthus praecox); Japanese allspice
唐梅|とうばい|wintersweet (Chimonanthus praecox); Japanese allspice
カラウメ||wintersweet (Chimonanthus praecox); Japanese allspice
トウバイ||wintersweet (Chimonanthus praecox); Japanese allspice
唐木瓜|からぼけ|kara flowering quince; Choenomeles lagenaria
カラボケ||kara flowering quince; Choenomeles lagenaria
白木瓜|しろぼけ|Choenomeles lagenaria; shiroboke flowering quince
緋木瓜|ひぼけ|Choenomeles lagenaria; hiboke flowering quince
淀木瓜|よどぼけ|Choenomeles lagenaria; yodoboke flowering quince
真木瓜|まぼけ|Choenomeles lagenaria; maboke flowering quince
幣辛夷|しでこぶし|Magnolia praecocissima; shidekobushi Magnolia kobus
土佐水木|とさみずき|spike winter hazel (Corylopsis spicata)
トサミズキ||spike winter hazel (Corylopsis spicata)
伊予水木|いよみずき|iyomizugi winter hazel (Corylopsis spicata)
イヨミズキ||iyomizugi winter hazel (Corylopsis spicata)
支那連翹|しなれんぎょう|Chinese golden bells; Forsythia Vahl
支那連ぎょう|しなれんぎょう|Chinese golden bells; Forsythia Vahl
シナレンギョウ||Chinese golden bells; Forsythia Vahl
朝鮮連翹|ちょうせんれんぎょう|Korean golden bells; Forsythia vahl
朝鮮連ぎょう|ちょうせんれんぎょう|Korean golden bells; Forsythia vahl
チョウセンレンギョウ||Korean golden bells; Forsythia vahl
雪椿|ゆきつばき|snow camellia (Camellia japonica subsp. rusticana)
雪つばき|ゆきつばき|snow camellia (Camellia japonica subsp. rusticana)
ユキツバキ||snow camellia (Camellia japonica subsp. rusticana)
紅妙蓮寺|べにみょうれんじ|Camellia japonica 'Benimyorenji' (cultivar of common camellia)
ベニミョウレンジ||Camellia japonica 'Benimyorenji' (cultivar of common camellia)
朴伴|ぼくはん|Camellia japonica 'Bokuhan' (cultivar of common camellia)
ボクハン||Camellia japonica 'Bokuhan' (cultivar of common camellia)
岩根絞り|いわねしぼり|Camellia japonica 'Iwaneshibori' (cultivar of common camellia)
イワネシボリ||Camellia japonica 'Iwaneshibori' (cultivar of common camellia)
太神楽|だいかぐら|grand kagura performance at Ise
太神楽|だいかぐら|type of performance including the lion dance and juggling
太神楽|だいかぐら|Camellia japonica 'Daikagura' (cultivar of Japanese camellia)
大神楽|だいかぐら|grand kagura performance at Ise
大神楽|だいかぐら|type of performance including the lion dance and juggling
大神楽|だいかぐら|Camellia japonica 'Daikagura' (cultivar of Japanese camellia)
代神楽|だいかぐら|grand kagura performance at Ise
代神楽|だいかぐら|type of performance including the lion dance and juggling
代神楽|だいかぐら|Camellia japonica 'Daikagura' (cultivar of Japanese camellia)
ダイカグラ||grand kagura performance at Ise
ダイカグラ||type of performance including the lion dance and juggling
ダイカグラ||Camellia japonica 'Daikagura' (cultivar of Japanese camellia)
神楽獅子|かぐらじし|kagurajishi camelia; Camellia japonica var.
乙女椿|おとめつばき|otome camellia (Camellia japonica f. otome)
オトメツバキ||otome camellia (Camellia japonica f. otome)
肥後椿|ひごつばき|higo camelia; Camellia japonica var.
佗助椿|わびすけつばき|Camellia japonica 'Wabisuke' (cultivar of common camellia)
ワビスケツバキ||Camellia japonica 'Wabisuke' (cultivar of common camellia)
花車椿|はなぐるまつばき|hanakuruma camelia; Camellia japonica var.
明石潟|あかしがた|Camellia sasanqua 'Akasigata' (cultivar of Christmas camellia)
アカシガタ||Camellia sasanqua 'Akasigata' (cultivar of Christmas camellia)
蓮見白|はすみじろ|hasumijiro camelia; hasumishiro camelia; Camellia japonica var.
蓮見白|はすみしろ|hasumijiro camelia; hasumishiro camelia; Camellia japonica var.
姫馬酔木|ひめあせび|Pieris japonica; Hime Lily of the valley bush; andromeda
覆輪馬酔木|ふくりんあせび|Pieris japonica; fukurin; Lily of the valley bush; andromeda
木五倍子|きぶし|early spiketail (species of flowering plant, Stachyurus praecox)
木付子|きぶし|early spiketail (species of flowering plant, Stachyurus praecox)
キブシ||early spiketail (species of flowering plant, Stachyurus praecox)
華鬘草|けまんそう|bleeding heart; Dicentra spectabilis
支那実桜|しなみざくら|Chinese sour cherry (Prunus pseudocerasus)
シナミザクラ||Chinese sour cherry (Prunus pseudocerasus)
林鐘梅|りんしょうばい|Chinese bushberry; bush cherry; Prunus japonica
庭梅|にわうめ|Chinese bushberry (Prunus japonica); bush cherry
ニワウメ||Chinese bushberry (Prunus japonica); bush cherry
銀葉|ぎんよう|thin sheet of silver; silver foil; silverleaf
銀葉|ぎんよう|censer; incense burner made of a sheet of mica hemmed by silver and placed on charcoal embers, used in incense-smelling ceremony
銀葉|ぎんよう|Japanese mountain ash (Sorbus japonica); Japanese whitebeam
吾妻山薊|あずまやまあざみ|Azumayama thistle; Cirsiummicrospicatum
アズマヤマアザミ||Azumayama thistle; Cirsiummicrospicatum
富士薊|ふじあざみ|Fuji thistle; Cirsium purpuratum
フジアザミ||Fuji thistle; Cirsium purpuratum
金宝樹|きんぽうじゅ|crimson bottlebrush; Callistemon citrinus
キンポウジュ||crimson bottlebrush; Callistemon citrinus
筑紫石楠花|つくししゃくなげ|Tsukushi rhododendron; Rhododendron metternichii var.
ツクシシャクナゲ||Tsukushi rhododendron; Rhododendron metternichii var.
本石楠花|ほんしゃくなげ|Rhododendron metternichii
ホンシャクナゲ||Rhododendron metternichii
東石楠花|あずましゃくなげ|Azuma rhododendron; Rhododendron metternichii var.
アズマシャクナゲ||Azuma rhododendron; Rhododendron metternichii var.
白山石楠花|はくさんしゃくなげ|Hakusan rhododendron; Rhododendron metternichii var.
ハクサンシャクナゲ||Hakusan rhododendron; Rhododendron metternichii var.
黄花石楠花|きばなしゃくなげ|Kibana rhododendron; Rhododendron metternichii var.
梅花空木|ばいかうつぎ|Satsuma mock orange; Philadelphus satsumi
バイカウツギ||Satsuma mock orange; Philadelphus satsumi
虫狩|むしかり|viburnum; Viburnum furcatum
ムシカリ||viburnum; Viburnum furcatum
江戸花菖蒲|えどはなしょうぶ|Iris ensata; Edo Japanese iris
肥後花菖蒲|ひごはなしょうぶ|Iris ensata; Higo Japanese iris
伊勢花菖蒲|いせはなしょうぶ|Iris ensata; Ise Japanese iris
棕櫚竹|しゅろちく|Rhapis humilis; rhapis
シュロチク||Rhapis humilis; rhapis
黄素馨|きそけい|Jasminum umile var. revolutum; curled flower yellow jasmine
突抜忍冬|つきぬきにんどう|trumpet honeysuckle; Lonicera sempervirens
ツキヌキニンドウ||trumpet honeysuckle; Lonicera sempervirens
額紫陽花|がくあじさい|lacecap hydrangea (Hydrangea macrophylla f. normalis)
ガクアジサイ||lacecap hydrangea (Hydrangea macrophylla f. normalis)
西洋紫陽花|せいようあじさい|Western hydrangea; Hydrangea macrophylla
セイヨウアジサイ||Western hydrangea; Hydrangea macrophylla
八重梔子|やえくちなし|eightfold gardenia; Gardenia jasminoide
ヤエクチナシ||eightfold gardenia; Gardenia jasminoide
覆輪梔子|ふくりんくちなし|Fukurin gardenia; Gardenia jasminoide
大葉擬宝珠|おおばぎぼうし|Hosta montana (species of plantain lily)
オオバギボウシ||Hosta montana (species of plantain lily)
小葉擬宝珠|こばぎぼうし|Hosta sieboldii (species of plantain lily)
コバギボウシ||Hosta sieboldii (species of plantain lily)
とくだま||Tokudama plantation lily; Hosta tokudama
未央柳|びようやなぎ|Chinese hypericum (Hypericum monogynum)
未央柳|びょうやなぎ|Chinese hypericum (Hypericum monogynum)
美容柳|びようやなぎ|Chinese hypericum (Hypericum monogynum)
美容柳|びょうやなぎ|Chinese hypericum (Hypericum monogynum)
ビヨウヤナギ||Chinese hypericum (Hypericum monogynum)
ビョウヤナギ||Chinese hypericum (Hypericum monogynum)
珍至梅|ちんしばい|sorbaria
チンシバイ||sorbaria
岩菲|がんぴ|Lychnis coronata
ガンピ||Lychnis coronata
暖竹|だんちく|Arundo donax
ダンチク||Arundo donax
小蒲|こがま|Typha orientalis
沢瀉|おもだか|threeleaf arrowhead (Sagittaria trifolia)
面高|おもだか|threeleaf arrowhead (Sagittaria trifolia)
オモダカ||threeleaf arrowhead (Sagittaria trifolia)
唐糸草|からいとそう|Sanguisorba hakusanensis
カライトソウ||Sanguisorba hakusanensis
仙翁|せんのう|lychnis (Lychnis senno)
センノウ||lychnis (Lychnis senno)
秋海棠|しゅうかいどう|hardy begonia (Begonia grandis)
シュウカイドウ||hardy begonia (Begonia grandis)
磯馴|そなれ|Japanese garden juniper; dwarf Japanese garden juniper; Juniperus procumbens; J. chinensis var. procumbens
蔓梅擬|つるうめもどき|Celastrus orbiculatus
ツルウメモドキ||Celastrus orbiculatus
丸葉の木|まるばのき|Disanthus cercidifolius (species of witch-hazel)
マルバノキ||Disanthus cercidifolius (species of witch-hazel)
満天星|どうだんつつじ|Enkianthus perulatus (species of flowering plant in the Ericaceae family)
灯台躑躅|どうだんつつじ|Enkianthus perulatus (species of flowering plant in the Ericaceae family)
満天星躑躅|どうだんつつじ|Enkianthus perulatus (species of flowering plant in the Ericaceae family)
灯台つつじ|どうだんつつじ|Enkianthus perulatus (species of flowering plant in the Ericaceae family)
満天星つつじ|どうだんつつじ|Enkianthus perulatus (species of flowering plant in the Ericaceae family)
ドウダンツツジ||Enkianthus perulatus (species of flowering plant in the Ericaceae family)
珊瑚水木|さんごみずき|Cornus alba
サンゴミズキ||Cornus alba
杜松|ねず|temple juniper (Juniperus rigida); needle juniper
ネズ||temple juniper (Juniperus rigida); needle juniper
白玉椿|しらたまつばき|white-flowered camellia; Camellia japonica var.
シラタマツバキ||white-flowered camellia; Camellia japonica var.
仙蓼|せんりょう|Chloranthus glaber
金葉手毬|きんばでまり|Viburnum plicatum var. plicatum
花海棠|はなかいどう|Hall's crab apple; flowering crab apple; Malus halliana
ハナカイドウ||Hall's crab apple; flowering crab apple; Malus halliana
花蘇芳|はなずおう|Cercis chinensis
ハナズオウ||Cercis chinensis
貝母|ばいも|fritillary; Fritillaria verticillata var. thunbergii
バイモ||fritillary; Fritillaria verticillata var. thunbergii
都忘れ|みやこわすれ|Miyamayomena savateri; Gymnaster savatieri
大手毬|おおでまり|Japanese snowball; Viburnum plicatum
オオデマリ||Japanese snowball; Viburnum plicatum
青文字|あおもじ|Litsea cubeba
小羊歯|こしだ|Old World forked fern (Dicranopteris linearis)
小歯朶|こしだ|Old World forked fern (Dicranopteris linearis)
コシダ||Old World forked fern (Dicranopteris linearis)
天門冬|てんもんどう|dried Chinese asparagus root
鳴子百合|なるこゆり|Solomon's seal; Polygonatum falcatum
ナルコユリ||Solomon's seal; Polygonatum falcatum
紅葉李|べにばすもも|Prunus cerasifera var. atropurpurea; pissard plum
布袋葵|ほていあおい|Eichornia crassipes; water hyacinth
合歓の木|ねむのき|silk tree (Albizia julibrissin)
合歓木|ねむのき|silk tree (Albizia julibrissin)
夜合樹|ねむのき|silk tree (Albizia julibrissin)
ネムノキ||silk tree (Albizia julibrissin)
風船葛|ふうせんかずら|balloon vine; Cardiospermum halicacabum
紅葉葵|もみじあおい|scarlet rosemallow (Hibiscus coccineus)
モミジアオイ||scarlet rosemallow (Hibiscus coccineus)
刈萱|かるかや|Themeda triandra var. japonica (variety of kangaroo grass)
刈萱|かるかや|Cymbopogon tortilis var. goeringii (variety of grass closely related to lemongrass)
刈萱|かるかや|thatching grass; thatching sedge
刈茅|かるかや|Themeda triandra var. japonica (variety of kangaroo grass)
刈茅|かるかや|Cymbopogon tortilis var. goeringii (variety of grass closely related to lemongrass)
刈茅|かるかや|thatching grass; thatching sedge
刈草|かるかや|Themeda triandra var. japonica (variety of kangaroo grass)
刈草|かるかや|Cymbopogon tortilis var. goeringii (variety of grass closely related to lemongrass)
刈草|かるかや|thatching grass; thatching sedge
カルカヤ||Themeda triandra var. japonica (variety of kangaroo grass)
カルカヤ||Cymbopogon tortilis var. goeringii (variety of grass closely related to lemongrass)
カルカヤ||thatching grass; thatching sedge
寒菅|かんすげ|Carex morrowii
珊瑚樹|さんごじゅ|sweet viburnum (Viburnum odoratissimum)
珊瑚樹|さんごじゅ|tree-shaped coral formation
サンゴジュ||sweet viburnum (Viburnum odoratissimum)
サンゴジュ||tree-shaped coral formation
雁足|がんそく|ostrich fern; Onoclea orientalis
皀莢|さいかち|honey locust (Gleditsia japonica)
皁莢|さいかち|honey locust (Gleditsia japonica)
サイカチ||honey locust (Gleditsia japonica)
飯桐|いいぎり|Idesia polycarpa; idesia
冬牡丹|ふゆぼたん|Paeonia suffrutticosa; tree peony
万両|まんりょう|Ardisia crenata; coralberry
柊南天|ひいらぎなんてん|Mahonia japonica; Japanese mahonia
気品のある|きひんのある|elegant; graceful; refined
気品がある|きひんがある|to be elegant; to be graceful; to be refined
現代用語|げんだいようご|word of recent origin; neologism; recent word; modern term
相談窓口|そうだんまどぐち|inquiry counter; consulting service; assistance service
想像に任せる|そうぞうにまかせる|to leave something to someone's imagination (e.g. I'll leave that to your imagination)
運転を見合わせる|うんてんをみあわせる|to suspend operations (esp. of trains); to stop driving
成り行きに任せる|なりゆきにまかせる|to leave to take its own course; to let a matter take care of itself
忘己利他|もうこりた|selflessness; selfless devotion to the service of others
守破離|しゅはり|Shuhari; three stages of learning mastery: the fundamentals, breaking with tradition, parting with traditional wisdom
みなし有価証券|みなしゆうかしょうけん|deemed securities
機種依存文字|きしゅいそんもじ|machine dependent characters; platform dependent characters
機種依存文字|きしゅいぞんもじ|machine dependent characters; platform dependent characters
鉋掛け|かんなかけ|planing (wood)
カンナ掛け|カンナがけ|planing (wood)
長音符号|ちょうおんぶごう|long vowel symbol
トランス系|トランスけい|transsexual; transgender
尻が重い|しりがおもい|lazy; indolent; reluctant to get up off one's backside
尻が重い|しりがおもい|clumsy
尻がおもい|しりがおもい|lazy; indolent; reluctant to get up off one's backside
尻がおもい|しりがおもい|clumsy
にたり||smirkingly; smugly; broadly
群を抜く|ぐんをぬく|to surpass the rest (e.g. of a large group); to stand out from the crowd; to be the best by far
乱れ勝ち|みだれかち|undone victory; upset victory; lost victory
乱勝|みだれかち|undone victory; upset victory; lost victory
ヤンキー座り|ヤンキーすわり|squatting (usu. with elbows on knees and often while smoking, typically considered a low-class posture)
ヤンキー座り|ヤンキーずわり|squatting (usu. with elbows on knees and often while smoking, typically considered a low-class posture)
ヤンキー座|ヤンキーすわり|squatting (usu. with elbows on knees and often while smoking, typically considered a low-class posture)
ヤンキー座|ヤンキーずわり|squatting (usu. with elbows on knees and often while smoking, typically considered a low-class posture)
ないちゃー||person from any part of Japan that is not also part of Okinawa
群をなす|ぐんをなす|to swarm; to crowd; to flock together
群を成す|ぐんをなす|to swarm; to crowd; to flock together
ニュースクライアント||news client (software)
ニュース・クライアント||news client (software)
先が見える|さきがみえる|to envision how things will turn out (usu. unfortunate)
先が見える|さきがみえる|to have foresight; to be able to see the future
裳着|もぎ|Heian period coming-of-age ceremony for girls
通流|つうりゅう|conduction
押し縮める|おしちぢめる|to squeeze; to collapse
軟木|なんぼく|softwood
硬木|こうぼく|hardwood
唐木|からき|exotic non-Japanese wood (rosewood, ebony, blackwood, etc.); imported wood
買い換え|かいかえ|buying a replacement; replacing by buying something new
買い替え|かいかえ|buying a replacement; replacing by buying something new
思いを遂げる|おもいをとげる|to achieve one's desire
想いを遂げる|おもいをとげる|to achieve one's desire
不許可|ふきょか|not permitting; not authorizing
人工内耳|じんこうないじ|cochlea implant
木工芸|もっこうげい|woodworking
靴の紐|くつのひも|shoelace; bootlace
靴のひも|くつのひも|shoelace; bootlace
学生同士|がくせいどうし|fellow students
サ店|サてん|coffee lounge; coffee shop; cafe
遊具|ゆうぐ|play equipment; playground equipment
顛末記|てんまつき|full account
キャンプを張る|キャンプをはる|to pitch camp
バトンを渡す|バトンをわたす|to pass the baton (e.g. in a relay race)
バトンを渡す|バトンをわたす|to pass the baton; to hand on the torch
噂をすれば影|うわさをすればかげ|speak of the devil
影を落とす|かげをおとす|to cast a shadow (literal or figurative)
英雄色を好む|えいゆういろをこのむ|Great men have great fondness for the sensual pleasures
家庭を持つ|かていをもつ|to have a family (e.g. wife or husband and children); to raise a family
行間を読む|ぎょうかんをよむ|to read between the lines
時を移さず|ときをうつさず|at once; immediately
手を汚す|てをよごす|to dirty one's hands
感情を害する|かんじょうをがいする|to hurt someone's feelings; to offend someone
胸をときめかす|むねをときめかす|to make one's heart flutter
胸を時めかす|むねをときめかす|to make one's heart flutter
敬意を払う|けいいをはらう|to pay respect (to)
敬意をはらう|けいいをはらう|to pay respect (to)
決着を付ける|けっちゃくをつける|to settle (a dispute)
決着をつける|けっちゃくをつける|to settle (a dispute)
言葉を交わす|ことばをかわす|to exchange words
光を放つ|ひかりをはなつ|to shed light; to cast light
口を開く|くちをひらく|to open one's mouth (to talk)
平たく言えば|ひらたくいえば|in plain words; in plain terms; put simply
ちっとやそっと||small amount; bit; smidgen
心を許す|こころをゆるす|to trust; to relax one's guard (around)
身を切るよう|みをきるよう|piercing (cold); biting (wind)
身を切る様|みをきるよう|piercing (cold); biting (wind)
交換し合い|こうかんしあい|exchange (something) together
交換しあい|こうかんしあい|exchange (something) together
身銭を切る|みぜにをきる|to use one's own money; to pay for from one's own pocket
人を見る目|ひとをみるめ|an eye for people; the ability to judge character
水を得た魚|みずをえたうお|in one's element
正直者が馬鹿を見る|しょうじきものがばかをみる|honesty doesn't pay
アンブシュア||embouchure; position and use of the lips, tongue, and teeth in playing a wind instrument
アンブシュア||mouthpiece of a musical instrument
アンブシュール||embouchure; position and use of the lips, tongue, and teeth in playing a wind instrument
アンブシュール||mouthpiece of a musical instrument
数種類|すうしゅるい|several types; several kinds; several species
猛煙|もうえん|heavy smoke; thick smoke
鉱工業|こうこうぎょう|mining and manufacturing industry
領有権|りょうゆうけん|territorial right; dominion
領有権問題|りょうゆうけんもんだい|territorial dispute
ＡＬＴ|エイエルティー|assistant language teacher (technical term used in Japan); ALT
声を限りに|こえをかぎりに|at the top of one's voice
を限りに|をかぎりに|as of the end of (today, this month, etc.); to make (today, etc.) the last (day)
正逆|せいぎゃく|forward and reverse
いい年して|いいとしして|(in spite of) being old enough to know better
