飛蝗目|ばったもく|Orthoptera
薹が立つ|とうがたつ|to become hard and fibrous; to go to seed; to have passed one's prime; to have lost the first bloom of one's youth
遁甲|とんこう|type of astrology
呪言|じゅごん|spell; curse; incantation
呪言|じゅげん|spell; curse; incantation
禹歩|うほ|ceremony performed by a sorcerer to protect a noble setting out on a trip
禹歩|うほ|walking in large steps
禹歩|うほ|walking with a disabled leg; someone with a disabled leg
呪法|じゅほう|esoteric Buddhist ritual where incantations are chanted
呪法|じゅほう|magic
反閇|へんばい|ceremony performed by a sorcerer to protect a noble setting out on a trip
反閇|へんばい|dance steps inspired by this ceremony
返閉|へんばい|ceremony performed by a sorcerer to protect a noble setting out on a trip
返閉|へんばい|dance steps inspired by this ceremony
反陪|へんばい|ceremony performed by a sorcerer to protect a noble setting out on a trip
反陪|へんばい|dance steps inspired by this ceremony
叩首|こうしゅ|kowtow
鬼魅|きび|demon; monster; apparition
僕女|ぼくおんな|woman who uses boku to refer to herself
いかがお過ごしですか|いかがおすごしですか|How are things with you?; How are you doing?
帳|とばり|curtain; hanging; bunting
帷|とばり|curtain; hanging; bunting
幄|とばり|curtain; hanging; bunting
幌|とばり|curtain; hanging; bunting
同性愛者解放運動|どうせいあいしゃかいほううんどう|gay liberation movement; gay liberation
分譲マンション|ぶんじょうマンション|condo; condominium; condominium apartment
扱き|しごき|hazing; gruelling training
扱き|しごき|waistband; woman's undergirdle
山岳地|さんがくち|mountain land; mountains
詔命|しょうめい|imperial command
至日|しじつ|day of the solstice
生鮭|なまじゃけ|fresh salmon; unsalted salmon
生鮭|なまじゃけ|raw salmon
番組宣伝|ばんぐみせんでん|program publicity
雲伯方言|うんぱくほうげん|dialects of Japanese spoken in Western Tottori prefecture and Eastern Shimane prefecture
因州弁|いんしゅうべん|dialects of Japanese spoken in Eastern Tottori prefecture
鳥取弁|とっとりべん|dialects of Japanese spoken in Eastern Tottori prefecture
だんだん||thank you (dialect from the Izumo region of Shimane Prefecture)
ぷるぷる||trembling; shivering
ぷるぷる||jiggling; wobbling; bouncing
プルプル||trembling; shivering
プルプル||jiggling; wobbling; bouncing
狩猟旅行|しゅりょうりょこう|safari
狩猟隊|しゅりょうたい|safari; troop of hunters
出雲弁|いずもべん|Izumo dialect, spoken mostly in eastern Shimane prefecture
アークティックグレイリング||Arctic grayling (Thymallus arcticus)
アークティック・グレイリング||Arctic grayling (Thymallus arcticus)
カワヒメマス属|カワヒメマスぞく|Thymallus; genus of freshwater fish in the salmon family Salmonidae
時祷書|じとうしょ|book of hours (devotional book popular in the Middle Ages)
アークティックシスコ||Arctic cisco (Coregonus autumnalis)
アークティック・シスコ||Arctic cisco (Coregonus autumnalis)
アークティックスタッグホーンスカルピン||Arctic staghorn sculpin (Gymnocanthus tricuspis)
シベリアツマグロカジカ||Arctic staghorn sculpin (Gymnocanthus tricuspis)
珍膳|ちんぜん|uncommon and delicious meal
珍肴|ちんこう|uncommon and delicious meal
国際業務|こくさいぎょうむ|international service; international affairs
ツマグロカジカ属|ツマグロカジカぞく|Gymnocanthus (genus of northern demersal fish in the Cottidae family)
コレゴヌス属|コレゴヌスぞく|Coregonus; genus of salmon in the family Salmonidae
コクチマス属|コクチマスぞく|Coregonus; genus of salmon in the family Salmonidae
ワカソ属|ワカソぞく|Coregonus (genus of salmon in the family Salmonidae); whitefishes
シロマス属|シロマスぞく|Coregonus; genus of salmon in the family Salmonidae
アークティックチャー||arctic char (Salvelinus alpinus)
アークティック・チャー||arctic char (Salvelinus alpinus)
イワナ属|イワナぞく|Salvelinus; genus of salmonid fish of the family Salmonidae
クギベラ属|クギベラぞく|Gomphosus; genus of marine wrasse in the family Labridae
グリーンバードマウスラス||green birdmouth wrasse (Gomphosus caeruleus); checkerboard wrasse; Indian Ocean bird wrasse
カンムリベラ属|カンムリベラぞく|Coris; genus of wrasses in the family Labridae
ウェスタンキングラス||Western king wrasse (Coris auricularis)
カンムリベラ||clown coris (Coris aygula)
シチセンムスメベラ||Batu coris (Coris batuensis); variegated wrasse; Dapple coris (Coris variegata)
下茹で|したゆで|parboiling; preparatory boiling
スジベラ||pale-barred coris (Coris dorsomacula)
ムスメベラ||comb wrasse (Coris picta); Coris musume
アフリカンコリス||false clownwrasse (Coris cuvieri); African coris
イエローストライプコリス||yellowstripe coris (Coris flavovittata)
エレガントコリス||elegant coris (Coris venusta); elegant wrasse
ヨーロピアンシーバス||European seabass (Dicentrarchus labrax)
ヨーロピアン・シーバス||European seabass (Dicentrarchus labrax)
発信地|はっしんち|place of dispatch; place of origin
コリスフォルモーサ||queen coris (Coris formosa)
マルケサスコリス||Coris marquesensis (type of wrasse species, endemic to Marquesan Islands)
系統学|けいとうがく|phylogenetics
基本形|きほんけい|fundamental form; basic form; basic pattern; basic model; basic type; prototype
基本形|きほんがた|fundamental form; basic form; basic pattern; basic model; basic type; prototype
基本型|きほんけい|fundamental form; basic form; basic pattern; basic model; basic type; prototype
基本型|きほんがた|fundamental form; basic form; basic pattern; basic model; basic type; prototype
接頭詞|せっとうし|prefix (as a part-of-speech)
印刷回路板|いんさつかいろばん|printed circuit board; PCB
プリント回路板|プリントかいろばん|printed circuit board; PCB
印刷配線板|いんさつはいせんばん|printed wiring board; PWB
プリント配線板|プリントはいせんばん|printed wiring board; PWB
撮像機|さつぞうき|camera (photo, optical)
電子撮像機|でんしさつぞうき|electronic camera
デジタル撮像機|デジタルさつぞうき|digital camera
アークティックフラウンダー||Arctic flounder (Liopsetta glacialis, was Pleuronectes glacialis)
アークティック・フラウンダー||Arctic flounder (Liopsetta glacialis, was Pleuronectes glacialis)
ツノガレイ属|ツノガレイぞく|Pleuronectes (genus of flatfish in the family Pleuronectidae)
アーマードプレコ||Pseudorinelepis genibarbis (species of armored catfish from the Amazon River)
アーモンドスネークヘッド||Channa lucius (species of snakehead fish)
アイゴ科|アイゴか|Siganidae; family of fishes known as rabbitfishes, spinefoots and foxfaces
アイゴ属|アイゴぞく|Siganus; genus of perciform fishes
アイザメ科|アイザメか|Centrophoridae; family of generally deepwater gulper sharks
アイスズメダイ||Australian gregory (Stegastes apicalis)
クロソラスズメダイ||dusky farmerfish (Stegastes nigricans, species of Indo-Pacific damselfish); dusky gregory
クロソラスズメダイ属|クロソラスズメダイぞく|Stegastes; genus of damselfish in the family Pomacentridae
アカプルコグレゴリー||Acapulco major (Stegastes acapulcoensis); Acapulco gregory; Acapulco damselfish
セダカスズメダイ||Japanese gregory (Stegastes altus)
コルテスダムゼルフィッシュ||Cortez damselfish (Stegastes rectifraenum); Cortez gregory
スリースポットダムゼルフィッシュ||threespot damselfish (Stegastes planifrons)
スリー・スポット・ダムゼルフィッシュ||threespot damselfish (Stegastes planifrons)
バイカラーダムゼルフィッシュ||bicolor damselfish (Stegastes partitus)
バイカラー・ダムゼルフィッシュ||bicolor damselfish (Stegastes partitus)
ビューブランメル||Beaubrummel (damselfish species, Stegastes flavilatus)
ボウブラメル||Beaubrummel (damselfish species, Stegastes flavilatus)
ロングフィンダムゼルフィッシュ||longfin damselfish (Stegastes diencaeus)
アイランドグレゴリー||island gregory (Stegastes insularis)
アイランド・グレゴリー||island gregory (Stegastes insularis)
イエローティップダムゼルフィッシュ||yellowtip damselfish (Stegastes pictus)
インディアングレゴリー||Western gregory (Stegastes obreptus)
エメリーズグレゴリー||Emery's gregory (Stegastes emeryi)
キオビスズメダイ||whitebar gregory (Stegastes albifasciatus)
ハナナガスズメダイ||blunt snout gregory (Stegastes lividus)
コーラルシーグレゴリー||Coral Sea gregory (Stegastes gascoynei)
ゴールデングレゴリー||golden gregory (Stegastes aureus)
ゴールデン・グレゴリー||golden gregory (Stegastes aureus)
ココアダムゼルフィッシュ||cocoa damselfish (Stegastes variabilis)
ココア・ダムゼルフィッシュ||cocoa damselfish (Stegastes variabilis)
ビューグレゴリー||beaugregory (Stegastes leucostictus)
ペリシアーズグレゴリー||Mauritian gregory (Stegastes pelicieri)
ホワイトテールメージャー||whitetail major (Stegastes leucorus); whitetail damselfish; whitetail gregory
モーリシアングレゴリー||ebony gregory (Stegastes limbatus)
ガラパゴスリングテールダムセルフィッシュ||Southern whitetail major (Stegastes beebei); Galapagos ringtail damselfish
アオバスズメダイ||black-axil chromis (Chromis atripectoralis); blackfin chromis
アマミスズメダイ||stout chromis (Chromis chrysura)
スズメダイ属|スズメダイぞく|Chromis (genus containing most damselfish of the family Pomacentridae)
キホシスズメダイ||yellow-spotted chromis (Chromis flavomaculata)
クロオビスズメダイ||black-bar chromis (Chromis retrofasciata)
コガネスズメダイ||yellow chromis (Chromis analis)
ダブルバークロミス||doublebar chromis (Chromis opercularis)
ジャイアントクロミス||doublebar chromis (Chromis opercularis)
ツートンドクロミス||chocolatedip chromis (Chromis dimidiata); half-and-half chromis; twotone chromis
チョコレートディップクロミス||chocolatedip chromis (Chromis dimidiata); half-and-half chromis; twotone chromis
出歯雀鯛|でばすずめだい|blue green damselfish (Chromis viridis, a damselfish from the Indo-Pacific); blue-green chromis
デバスズメダイ||blue green damselfish (Chromis viridis, a damselfish from the Indo-Pacific); blue-green chromis
ブルーアンドイエロークロミス||Limbaugh's damselfish (Chromis limbaughi); blue-and-yellow chromis
オヤビッチャ属|オヤビッチャぞく|Abudefduf; genus of damselfish in the family Pomacentridae
テンジクスズメダイ||Bengal sergeant (Abudefduf bengalensis)
イソスズメダイ||yellowtail sergeant (Abudefduf notatus)
シチセンスズメダイ||banded sergeant (Abudefduf septemfasciatus)
パナマニアンサージャント||Panamic sergeant major (Abudefduf troschelii); Panama sergeant major; Panamanian sergeant
パナミックサージェントメジャー||Panamic sergeant major (Abudefduf troschelii); Panama sergeant major; Panamanian sergeant
ロクセンスズメダイ||scissortail sergeant (Abudefduf sexfasciatus); six-banded sergeant-major
カナリーダムゼル||Canary damsel (Abudefduf luridus)
サージャントメージャー||sergeant-major (Abudefduf saxatilis)
サージャント・メージャー||sergeant-major (Abudefduf saxatilis)
シマスズメダイ||blackspot sergeant (Abudefduf sordidus)
ナタールサージャント||Natal sergeant (Abudefduf natalensis)
フォールスアイサージャント||false-eye sergeant (Abudefduf sparoides)
ブルースポッティドサージャント||pearly sergeant (Abudefduf margariteus)
ホワイトレイズサージャント||Whitley's sergeant (Abudefduf whitleyi)
ローレンツィーズサージャント||black-tail sergeant (Abudefduf lorenzi)
アゾレスクロミス||Azores chromis (Chromis limbata)
アラビアンクロミス||Arabian chromis (Chromis flavaxilla)
アンボンスズメダイ||Ambon chromis (Chromis amboinensis)
イエローアクシルクロミス||yellow-axil chromis (Chromis xanthochira)
イエロースペックルドクロミス||yellow-speckled chromis (Chromis alpha)
イエローテイルリーフフィッシュ||yellowtail reeffish (Chromis enchrysura); Caribbean chromis
イエローフィンクロミス||yellowfin chromis (Chromis xanthopterygia); Arabian chromis
二重窓ガラス|にじゅうまどガラス|double glazing
よく言う|よくいう|to say enough (as much as required); to say plenty
よく言う|よくいう|to say well; to say cleverly; to say elegantly
よく言う|よくいう|to say often; to say frequently
よく言う|よくいう|to say without shame; to say impudently
善く言う|よくいう|to say enough (as much as required); to say plenty
善く言う|よくいう|to say well; to say cleverly; to say elegantly
善く言う|よくいう|to say often; to say frequently
善く言う|よくいう|to say without shame; to say impudently
良く言う|よくいう|to say enough (as much as required); to say plenty
良く言う|よくいう|to say well; to say cleverly; to say elegantly
良く言う|よくいう|to say often; to say frequently
良く言う|よくいう|to say without shame; to say impudently
海底撈月|ハイテイラオユエ|haitei winning hand; winning on the last tile drawn from the wall
ジャパカナ||Japanese Canadian
ジャパニーズカナディアン||Japanese Canadian
ジャパニーズ・カナディアン||Japanese Canadian
インディアンクロミス||blacktail chromis (Chromis nigrura)
ブラックテールクロミス||blacktail chromis (Chromis nigrura)
ウェストオーストラリアンクロミス||West Australian chromis (Chromis westaustralis)
ウッズクロミス||Wood's chromis (Chromis woodsi)
オナガスズメダイ||Allen's chromis (Chromis alleni)
オバールクロミス||Hawaiian chromis (Chromis ovalis); oval chromis
オビトウカイスズメダイ||Okinawa chromis (Chromis okamurai)
カブラヤスズメダイ||Ternate chromis (Chromis ternatensis)
カレハスズメダイ||agile chromis (Chromis agilis); bronze reef chromis
クルンジンガーズクロミス||black-headed chromis (Chromis klunzingeri)
クロミスキネラセンス||green puller (Chromis cinerascens); green chromis
ダスキークロミス||green puller (Chromis cinerascens); green chromis
ケニアンクロミス||Kenyan chromis (Chromis nigroanalis)
コビトスズメダイ||midget chromis (Chromis acares)
サウスアフリカンクロミス||blue-spotted chromis (Chromis dasygenys)
ブルースポッティドクロミス||blue-spotted chromis (Chromis dasygenys)
ササスズメダイ||scaly chromis (Chromis lepidolepis)
サンシャインフィッシュ||sunshinefish (Chromis insolata); olive chromis
キオスズメダイ||sunshinefish (Chromis insolata); olive chromis
シコクスズメダイ||bicolor chromis (Chromis margaritifer); whitetail chromis
シロボシスズメダイ||white-spotted chromis (Chromis albomaculata)
雀鯛|すずめだい|pearl-spot chromis (Chromis notata, species of damselfish found in southern Japan, Ryukyu Islands, Taiwan, and China)
スズメダイ||pearl-spot chromis (Chromis notata, species of damselfish found in southern Japan, Ryukyu Islands, Taiwan, and China)
スリースポットクロミス||threespot chromis (Chromis verater)
タイワンスズメダイ||twinspot chromis (Chromis elerae)
タカサゴスズメダイ||Weber's chromis (Chromis weberi)
ダムゼルフィッシュ||damselfish (Chromis chromis); Mediterranean chromis
ディープシークロミス||deepsea chromis (Chromis abyssicola)
ディープリーフクロミス||deep reef chromis (Chromis delta)
トウカイスズメダイ||Japanese chromis (Chromis mirationis)
ハーフアンドハーフクロミス||half-and-half chromis (Chromis iomelas)
パープルリーフフィッシュ||purple reeffish (Chromis scotti); purple chromis
パールクロミス||duskytail chromis (Chromis pelloura)
ダスキーテールクロミス||duskytail chromis (Chromis pelloura)
バリアリーフクロミス||barrier reef chromis (Chromis nitida)
ヒレグロスズメダイ||dark-fin chromis (Chromis atripes)
フィリピンクロミス||Philippines chromis (Chromis scotochiloptera)
フカミスズメダイ||whitetail chromis (Chromis leucura)
ブラウンクロミス||brown chromis (Chromis multilineata); yellow-edge chromis
ブラウンプラー||brown puller (Chromis hypsilepis); one-spot chromis
ブラックスミス||blacksmith (Chromis punctipinnis); blacksmith chromis
ブルーアクシルクロミス||blue-axil chromis (Chromis caudalis); dusky puller
ブルークロミス||blue chromis (Chromis cyanea)
ペルヴィアンクロミス||Peruvian chromis (Chromis intercrusma)
ペンバクロミス||Pemba chromis (Chromis pembae)
マツバスズメダイ||smokey chromis (Chromis fumea)
マラヤンクロミス||Malayan chromis (Chromis flavipectoralis)
マルスズメダイ||ovate chromis (Chromis ovatiformis)
モンスズメダイ||paletail chromis (Chromis xanthura)
ラインドクロミス||lined chromis (Chromis lineata)
ラボックスクロミス||Lubbock's chromis (Chromis lubbocki)
ランドールズクロミス||Randall's chromis (Chromis randalli)
医師免許証|いしめんきょしょう|physician's license (licence); doctor's license; medical license
デモイセル||demoiselle (Chromis dispilus)
医師免許|いしめんきょ|physician's license (licence); doctor's license; medical license; license to practice medicine
グリーンクロミス||green chromis (Chromis caerulea); blue-green chromis
シザーテイルダムゼルフィッシュ||scissortail damselfish (Chromis atrilobata)
ＬＯＨＡＳ|ロハス|LOHAS; Lifestyles Of Health And Sustainability; market segment made up of ecologically conscious consumers
ＬＯＨＡＳ|ロハース|LOHAS; Lifestyles Of Health And Sustainability; market segment made up of ecologically conscious consumers
来校|らいこう|school visit
生政治|せいせいじ|biopolitics
バンリュー||banlieue; French outer suburb (esp. of Paris)
酸素透過率|さんそとうかりつ|oxygen transmission rate; OTR
地球環境保全関係閣僚会議|ちきゅうかんきょうほぜんかんけいかくりょうかいぎ|Council of Ministers for Global Environment Conservation
知解|ちかい|being enlightened by virtue of knowledge
智解|ちかい|being enlightened by virtue of knowledge
区政|くせい|ward management; ward administration
よだれを垂らす|よだれをたらす|to drool; to dribble; to slobber
涎を垂らす|よだれをたらす|to drool; to dribble; to slobber
その頃|そのころ|at that time; in those days; at that moment; then
非自己|ひじこ|nonself; not self
ちん毛|ちんげ|pubic hair (on a male)
チンゲ||pubic hair (on a male)
アイスポッテッドパファー||Tetraodon leiurus (species of pufferfish)
テトラオドン・レイウルス||Tetraodon leiurus (species of pufferfish)
テトラオドン属|テトラオドンぞく|Tetraodon (largest genus in the pufferfish family Tetraodontidae)
フグ科|フグか|Tetraodontidae; family of pufferfish
アイスポットクテノポマ||eyespot ctenopoma (species of freshwater fish, Ctenopoma ocellatum)
クテノポマ属|クテノポマぞく|Ctenopoma; genus of freshwater climbing gouramies with terrestrial locomotion ability in the family Anabantidae
アイナメ科|アイナメか|Hexagrammidae; family of marine fishes incorporating the greenlings
アイブリ||blackbanded trevally (Seriolina nigrofasciata); blackbanded amberjack
アイブリ属|アイブリぞく|Seriolina; genus of jacks in the family Carangidae
アイランドホッグフィッシュ||island hogfish (Bodianus insularis)
タキベラ属|タキベラぞく|Bodianus (genus of wrasses in the family Labridae)
ヒオドシベラ||lyretail hogfish (Bodianus anthioides)
スミツキベラ||axilspot hogfish (Bodianus axillaris)
ナンド回路|ナンドかいろ|NAND circuit
ナンド||NAND (gate, circuit); not-and
お見合いデート|おみあいデート|blind date
一腹|いっぷく|one litter; one clutch (e.g. eggs)
考えれば考えるほど|かんがえればかんがえるほど|the more I think about it; the more one thinks about it
フタホシキツネベラ||twospot hogfish (Bodianus bimaculatus)
モンツキベラ||Diana's hogfish (Bodianus diana); Bodianus dictynna (separate species from B. diana since 2006)
メキシカンホグフィッシュ||Mexican hogfish (Bodianus diplotaenia)
メキシカンホッグフィッシュ||Mexican hogfish (Bodianus diplotaenia)
メキシカン・ホグフィッシュ||Mexican hogfish (Bodianus diplotaenia)
メキシカン・ホッグフィッシュ||Mexican hogfish (Bodianus diplotaenia)
ケサガケベラ||splitlevel hogfish (Bodianus mesothorax); mesothorax hogfish; eclipse pigfish
ジャイアントホッグフィッシュ||giant hogfish (Bodianus macrognathos)
スパニッシュホッグフィッシュ||Spanish hogfish (Bodianus rufus)
タキベラ||golden-spot hogfish (Bodianus perditio)
タヌキベラ||striped pigfish (Bodianus izuensis)
バードホッグフィッシュ||barred hogfish (Bodianus scrofa)
ブラックスポットホッグフィッシュ||blackspot hogfish (Bodianus opercularis); candystripe hogfish
ブラックバーホッグフィッシュ||blackbar hogfish (Bodianus speciosus)
ブラックバンディッドホッグフィッシュ||black-banded hogfish (Bodianus macrourus, formerly Bodianus hirsutus)
ベニキツネベラ||spotfin hogfish (Bodianus pulchellus)
スポットフィンホッグフィッシュ||spotfin hogfish (Bodianus pulchellus)
ボディアヌスヴルピヌス||Western pigfish (Bodianus vulpinus)
アカボウ||Bodianus cylindriatus (species of hogfish)
治療者|ちりょうしゃ|healer; clinician; physician; person who gives treatment; therapist
のしのしと歩く|のしのしとあるく|to walk heavily and clumsily; to lumber
丸々太った|まるまるふとった|rotund; plump; chubby
丸丸太った|まるまるふとった|rotund; plump; chubby
のしのし||walking heavily; lumbering
のっしのっし||walking heavily; lumbering
にょきりにょきり||feelings; memories; imagined items or dreams that sprout up one after the other
アカホシキツネベラ||lined hogfish (Bodianus leucosticticus); Bodianus rubrisos (declared separate species from B. leucosticticus in 2006)
イトヒキアカボウ||Bodianus thoracotaeniatus (species of hogfish)
狐鯛|きつねだい|sharphead hogfish (Bodianus oxycephalus)
キツネダイ||sharphead hogfish (Bodianus oxycephalus)
シマキツネベラ||Bodianus masudai (species of hogfish)
ズナガアカボウ||Bodianus tanyokidus (species of hogfish)
ヒレグロベラ||blackfin hogfish (Bodianus loxozonus)
ざぶりざぶり||sound of living, moving water
レッドピッグフィッシュ||red pigfish (Bodianus unimaculatus); Eastern pigfish; reddish blackspot pigfish
キスジアカボウ||Polylepion russelli (species of wrasse)
ズジキツネベラ||fourline hogfish (Bodianus trilineatus); threeline hogfish
アウケニプテルス科|アウケニプテルスか|Ageneiosidae; family of driftwood catfishes
アウケニプテルス属|アウケニプテルスぞく|Auchenipterus; genus of catfishes in the family Auchenipteridae
アウケノグラニスオッキデンタリス||bubu (Auchenoglanis occidentalis); giraffe catfish
アウストロレビアスアドルフィー||killifish (Austrolebias adloffi)
アウロノカラ属|アウロノカラぞく|Aulonocara; genus comprising the peacock cichlids
アウロノカラエテルヴァイナエ||Chitande aulonocara (species of peacock cichlid, Aulonocara ethelwynnae); Northern Aulonocara
アウロノカラスチュアートグランティ||flavescent peacock (species of peacock cichlid, Aulonocara stuartgranti)
アウロノカラバエンシ||Nkhomo-benga peacock (species of peacock cichlid, Aulonocara baenschi); new yellow regal; yellow peacock
アウロノカラハンスバエンシィ||Aulonocara Fort Maguire (species of peacock cichlid, Aulonocara hansbaenschi); firebird cichlid
アウロノカラフエセリ||night aulonocara (species of peacock cichlid, Aulonocara hueseri); Aulonocara white top
アウロノカラメイランディ||sulfurhead Aulonocara (species of peacock cichlid, Aulonocara maylandi maylandi)
アウロノカラヤコブフライベルギ||fairy cichlid (species of peacock cichlid, Aulonocara jacobfreibergi); Malawi butterfly
アウロノカラロストラートゥム||Aulonocara rostratum (species of peacock cichlid from Lake Malawi)
コーネリアエ||Aulonocara chizumulu (species of peacock cichlid, Aulonocara korneliae); Aulonocara blue gold
アクイロニウム||Aulonocara aquilonium (species of peacock cichlid from Lake Malawi)
コニングシ||Aulonocara koningsi (species of peacock cichlid from Lake Malawi, E. Africa)
アウロノクラヌスデウィンドティ||Aulonocranus dewindti (cichlid fish endemic to Lake Tanganyika in E. Africa)
アエクィデンス属|アエクィデンスぞく|Aequidens; genus of fish in the family Cichlidae
アエクィデンスサパイェンシス||Sapayo cichlid (Aequidens sapayensis)
アエクィデンスディアデマ||Aequidens diadema (species of South American freshwater cichlid)
アエクィデンステトラメルス||saddle cichlid (Aequidens tetramerus)
アエクィデンスパリドゥス||doublespot acara (species of S. American cichlids, Aequidens pallidus)
アエクィデンスメタエ||yellow acara (species of cichlid in Colombia, Aequidens metae)
オモナガフタボシイソハゼ||Eviota partimacula (species of pygmy goby found in the Marshall Islands)
キンホシイソハゼ||storthynx pygmy goby (Eviota storthynx); belly-spotted pygmy-goby
善悪二元論|ぜんあくにげんろん|good and evil dualism; Manicheanism
善神|ぜんしん|good God; good deities
善神|ぜんしん|true teachings of Buddha
正法|しょうぼう|true dharma; true teachings of Buddha
正法|しょうぼう|period of the True Law
正法|しょうほう|true dharma; true teachings of Buddha
正法|しょうほう|period of the True Law
イソハゼ属|イソハゼぞく|Eviota; genus comprising the pygmy gobies
アオイソハゼ||prasites pygmy goby (Eviota prasites); hairfin pygmy goby
オヨギイソハゼ||twostripe pygmy goby (Eviota bifasciata); doublebar goby
クロスジイソハゼ||Sebree's pygmy goby (Eviota sebreei)
シロオビイソハゼ||Pellucida pygmy goby (Eviota pellucida); neon pygmy goby
アカイソハゼ||Eviota masudai (species of pygmy goby found in Japanese waters)
アカホシイソハゼ||melasma pygmy goby (Eviota melasma); black-spotted pygmy-goby
イソハゼ||Eviota abax (species of pygmy goby ranging from Southern Japan to Hainan Is.)
ウラウチイソハゼ||Eviota ocellifer (species of pygmy goby from the Ryukyu Islands, Japan)
オスジイソハゼ||zebra goby (Eviota zebrina); five-bar pygmy-goby
オビイソハゼ||broad-banded pygmy goby (Eviota latifasciata)
オモナガフタホシハゼ||Eviota partimaculata (species of Indo-Pacific pygmy goby)
クロホシイソハゼ||Smaragdus pygmy goby (Eviota smaragdus)
コビトイソハゼ||twospot pygmy goby (Eviota distigma)
資源超過利潤税|しげんちょうかりじゅんぜい|Resources Super Profits Tax; RSPT
方言学|ほうげんがく|dialectology
鼈甲細工|べっこうざいく|article of tortoise shell; tortoiseshell work
お膝元|おひざもと|home territory of a powerful figure; Imperial Court; businessman's turf; Shogun's headquarters
お膝下|おひざもと|home territory of a powerful figure; Imperial Court; businessman's turf; Shogun's headquarters
お膝許|おひざもと|home territory of a powerful figure; Imperial Court; businessman's turf; Shogun's headquarters
御膝元|おひざもと|home territory of a powerful figure; Imperial Court; businessman's turf; Shogun's headquarters
御膝下|おひざもと|home territory of a powerful figure; Imperial Court; businessman's turf; Shogun's headquarters
御膝許|おひざもと|home territory of a powerful figure; Imperial Court; businessman's turf; Shogun's headquarters
おひざ元|おひざもと|home territory of a powerful figure; Imperial Court; businessman's turf; Shogun's headquarters
ヨーロッパ大山猫|ヨーロッパおおやまねこ|Eurasian Lynx (Lynx lynx)
ヨーロッパオオヤマネコ||Eurasian Lynx (Lynx lynx)
グラウンドホッグ||groundhog
テロ支援国|テロしえんこく|state sponsor of terrorism
アルコールハラスメント||alcohol related harassment
アルコール・ハラスメント||alcohol related harassment
示談金|じだんきん|settlement money; compensation to settle a case out of court
チャンキング||chunking
麝香牛|じゃこううし|muskox (Ovibos moschatus); musk ox
ジャコウウシ||muskox (Ovibos moschatus); musk ox
ユーラシア川獺|ユーラシアかわうそ|European otter (Lutra lutra); common otter; Eurasian otter
公正取引委員会|こうせいとりひきいいんかい|Fair Trade Commission
ムスジイソハゼ||Saipan pygmy goby (Eviota saipanensis)
ミナミイソハゼ||Eviota japonica (species of pygmy goby found in Japanese waters)
ミドリハゼ||divine dwarf goby (Eviota epiphanes)
ミツバイソハゼ||pepperfin pygmy goby (Eviota punctulata); green bubble goby
マメイソハゼ||Herre's pygmy goby (Eviota herrei)
ホシヒレイソハゼ||Queensland pygmy goby (Eviota queenslandica)
フタボシイソハゼ||Lachdebrere's pygmy goby (Eviota lachdeberei)
ナンヨウミドリハゼ||green bubble goby (Eviota prasina); pepperfin pygmy goby
トラノコイソハゼ||barred pygmy goby (Eviota fasciola); grubby pygmy-goby
ニセクロスジイソハゼ||comet pygmy goby (Eviota cometa)
ソメワケイソハゼ||blackbelly goby (Eviota nigriventris); blackbelly pygmy goby
スミツキイソハゼ||infulata pygmy goby (Eviota infulata); shoulder-mark pygmy goby
シロイソハゼ||spotted fringefin goby (Eviota albolineata); white-barred pygmy-goby; whiteline pygmy goby
シマミドリハゼ||Afele's fringefin goby (Eviota afelei); Afele's pygmy goby
シボリイソハゼ||Eviota korechika (species of pygmy goby found in Japan and Indonesia)
コメツブイソハゼ||Eviota sp.3 (species of pygmy goby)
イチモンジハゼ||Trimma grammistes (species of small goby found in Japan and Taiwan)
オオメハゼ||flame goby (Trimma macrophthalmum); large-eyed dwarfgoby; red-spotted pygmy-goby
ホワイトストライプトピグミーゴビー||spotted pygmy goby (Eviota guttata); green pygmy-goby
ヴォイス||(human) voice
極超音速|ごくちょうおんそく|hypersonic (speed)
マーゲイ||margay (Leopardus wiedii)
雲豹|うんぴょう|clouded leopard (Neofelis nebulosa)
ウンピョウ||clouded leopard (Neofelis nebulosa)
ジャガーネコ||oncilla (Leopardus tigrinus); little spotted cat; tigrillo; cunaguaro; tiger cat
ヨーロッパバイソン||wisent (Bison bonasus); European bison
冠鳰|かんむりかいつぶり|Great Crested Grebe (Podiceps cristatus)
カンムリカイツブリ||Great Crested Grebe (Podiceps cristatus)
大水鼠|おおみずねずみ|rakali (Hydromys chrysogaster); water-rat
オオミズネズミ||rakali (Hydromys chrysogaster); water-rat
小人症|こびとしょう|dwarfism
光記録媒体|ひかりきろくばいたい|optical storage media; optical storage medium
持続可能な開発|じぞくかのうなかいはつ|sustainable development
古々しい|ふるぶるしい|very old
旧々しい|ふるぶるしい|very old
古古しい|ふるぶるしい|very old
旧旧しい|ふるぶるしい|very old
身熟し|みごなし|one's carriage; one's demeanor; agility; body movements
身ごなし|みごなし|one's carriage; one's demeanor; agility; body movements
和子|わこ|son of a person of high social standing
水鴎流|すいおうりゅう|old sword fighting; sword drawing style or school from Shizuoka prefecture
水鷗流|すいおうりゅう|old sword fighting; sword drawing style or school from Shizuoka prefecture
鬼哭|きこく|wailings of a restless ghost
じとじと||damp; wet; soaked; humid; clammy
