王妃|おうひ|queen
葦鹿|あしか|eared seal (esp. the California sea lion, Zalophus californianus); sea lion
海馬|あしか|eared seal (esp. the California sea lion, Zalophus californianus); sea lion
アシカ||eared seal (esp. the California sea lion, Zalophus californianus); sea lion
灰|はい|ash; ashes
灰になる|はいになる|to be reduced to ashes; to be cremated
灰の水曜日|はいのすいようび|Ash Wednesday
灰押さえ|はいおさえ|ash leveler (use in a brazier)
灰押し|はいおし|ash leveler (use in a brazier)
灰殻|はいがら|ashes
灰均し|はいならし|ash leveler
灰皿|はいざら|ashtray
灰受け|はいうけ|ash pan; ash tray
灰汁|あく|lye
灰汁|あく|harsh taste; astringency
灰汁|あく|scum (formed when cooking some foods)
灰汁|あく|(excessive) strength of will
アク||lye
アク||harsh taste; astringency
アク||scum (formed when cooking some foods)
アク||(excessive) strength of will
灰色|はいいろ|grey; gray; ashen
灰神楽|はいかぐら|cloud of ashes (caused by pouring water on a fire)
灰かぐら|はいかぐら|cloud of ashes (caused by pouring water on a fire)
灰塵|はいじん|ashes and dust
灰吹き|はいふき|bamboo (tobacco) ash receptacle
灰青色|はいせいしょく|grayish blue; greyish blue
灰汁洗い|あくあらい|scouring; washing vegetables in lye
あく洗い|あくあらい|scouring; washing vegetables in lye
灰洗い|あくあらい|scouring; washing vegetables in lye
灰塗れ|はいまみれ|covered with ashes
灰土|かいど|ashes and earth; poor volcanic soil
灰土|はいつち|ashes and earth; poor volcanic soil
灰白|かいはく|gray; grey; griseous
灰白質|かいはくしつ|gray matter; grey matter
灰白色|かいはくしょく|grayish white; greyish white
灰分|かいぶん|ash
灰分|かいぶん|(nutritional) mineral content
灰落とし|はいおとし|ash tray; ash pit
灰落し|はいおとし|ash tray; ash pit
灰緑色|かいりょくしょく|greenish gray; greenish grey
灰燼|かいじん|ash; embers; complete destruction
灰篩|はいふるい|ash strainer
界隈|かいわい|neighborhood; neighbourhood; vicinity
界面|かいめん|interface
皆|みんな|all; everyone; everybody
皆|みんな|everything
皆|みな|all; everyone; everybody
皆|みな|everything
皆んな|みんな|all; everyone; everybody
皆んな|みんな|everything
皆さん|みなさん|all; everyone; everybody
皆既|かいき|total eclipse; totality
皆既食|かいきしょく|total eclipse (of sun by moon); totality
皆既蝕|かいきしょく|total eclipse (of sun by moon); totality
皆既日食|かいきにっしょく|total solar eclipse
皆勤|かいきん|perfect attendance
皆済|かいさい|settlement
皆殺し|みなごろし|massacre; annihilation; wholesale slaughter
鏖|みなごろし|massacre; annihilation; wholesale slaughter
皆無|かいむ|nonexistent; nil; none; nothing (at all); bugger-all
皆目|かいもく|entirely
皆様|みなさま|everyone
皆さま|みなさま|everyone
みな様|みなさま|everyone
絵|え|picture; drawing; painting; sketch
絵に描いた餅|えにかいたもち|pie in the sky; castle in the air
絵に描いた餠|えにかいたもち|pie in the sky; castle in the air
絵にかいた餅|えにかいたもち|pie in the sky; castle in the air
絵の具|えのぐ|paint; coloring materials; colors; colours
絵具|えのぐ|paint; coloring materials; colors; colours
絵画|かいが|painting; picture
絵巻|えまき|picture scroll
絵巻物|えまきもの|picture scroll
絵図|えず|illustration; drawing
絵日記|えにっき|diary with illustrations
絵かき|えかき|painter; artist
絵かき|えかき|drawing pictures; doodling; painting
絵描き|えかき|painter; artist
絵描き|えかき|drawing pictures; doodling; painting
絵書き|えかき|painter; artist
絵書き|えかき|drawing pictures; doodling; painting
絵描|えかき|painter; artist
絵描|えかき|drawing pictures; doodling; painting
絵文字|えもじ|emoji; pictorial symbol; pictograph
絵もじ|えもじ|emoji; pictorial symbol; pictograph
エモジ||emoji; pictorial symbol; pictograph
絵柄|えがら|pattern; design
絵本|えほん|picture book
辛子|からし|mustard
芥子|からし|mustard
カラシ||mustard
蟹|かに|crab
蠏|かに|crab
カニ||crab
かに座|かにざ|Cancer (constellation); the Crab
蟹座|かにざ|Cancer (constellation); the Crab
蠏座|かにざ|Cancer (constellation); the Crab
開き直る|ひらきなおる|to become defiant; to turn upon; to become serious
開く|ひらく|to open; to undo; to unseal; to unpack
開く|ひらく|to bloom; to unfold; to spread out
開く|ひらく|to open (for business, e.g. in the morning)
開く|ひらく|to be wide (gap, etc.); to widen
開く|ひらく|to hold (meeting, etc.); to give; to open
開く|ひらく|to found (nation, dynasty, sect, etc.); to open (a new business); to set up; to establish; to start
開く|ひらく|to open (ports, borders, etc.)
開く|ひらく|to open (an account)
開く|ひらく|to open up (new land, path, etc.); to clear; to develop
開く|ひらく|to open (a file, etc.)
開く|ひらく|to extract (root); to reduce (equation)
開く|ひらく|to cut open (fish)
開く|ひらく|to change (kanji into hiragana)
開く|ひらく|to flare (e.g. skirt)
開く|ひらく|to slacken (into a poor posture)
開ける|あける|to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock
開ける|あける|to open (for business, etc.)
開ける|あける|to empty; to remove; to make space; to make room
開ける|あける|to move out; to clear out
開ける|あける|to be away from (e.g. one's house); to leave (temporarily)
開ける|あける|to dawn; to grow light
開ける|あける|to end (of a period, season)
開ける|あける|to begin (of the New Year)
開ける|あける|to leave (one's schedule) open; to make time (for)
開ける|あける|to make (a hole); to open up (a hole)
空ける|あける|to empty; to remove; to make space; to make room
空ける|あける|to move out; to clear out
空ける|あける|to be away from (e.g. one's house); to leave (temporarily)
空ける|あける|to dawn; to grow light
空ける|あける|to end (of a period, season)
空ける|あける|to begin (of the New Year)
空ける|あける|to leave (one's schedule) open; to make time (for)
空ける|あける|to make (a hole); to open up (a hole)
明ける|あける|to empty; to remove; to make space; to make room
明ける|あける|to move out; to clear out
明ける|あける|to be away from (e.g. one's house); to leave (temporarily)
明ける|あける|to dawn; to grow light
明ける|あける|to end (of a period, season)
明ける|あける|to begin (of the New Year)
明ける|あける|to leave (one's schedule) open; to make time (for)
明ける|あける|to make (a hole); to open up (a hole)
開ける|ひらける|to become opened up; to improve; to get better
開ける|ひらける|to develop; to progress; to become civilized (civilised); to be up-to-date
開ける|ひらける|to be enlightened; to be sensible
開けたて|あけたて|opening and shutting
開け閉て|あけたて|opening and shutting
開け放す|あけはなす|to open wide (doors, windows, etc.); to fling open
明け放す|あけはなす|to open wide (doors, windows, etc.); to fling open
開け放つ|あけはなつ|to throw open; to leave open
開院|かいいん|opening congress; hospital opening
開運|かいうん|better fortune
開園|かいえん|opening, either for the day or a "grand opening" (e.g. theme park, botanical garden etc.)
開演|かいえん|curtain raising; starting (e.g. play, concert)
開化|かいか|civilization; civilisation; enlightenment
開花|かいか|flowers budding; blooming; flowering
開花|かいか|showing results; becoming popular; blooming
開会|かいかい|opening of a meeting
開回路|かいかいろ|open circuit
開館|かいかん|opening a hall for that day's business (museum, library, etc.)
開館|かいかん|opening of new hall (museum, etc.)
開眼|かいがん|enlightenment; spiritual awakening; opening one's eyes to the truth
開眼|かいがん|gaining eyesight; restoring eyesight; opening the eyes
開眼|かいげん|enlightenment; spiritual awakening; opening one's eyes to the truth
開業|かいぎょう|opening a business; opening a practice
開業医|かいぎょうい|private clinician; physician in private practice; general practitioner
開局|かいきょく|opening of post-office or telephone exchange
開襟シャツ|かいきんシャツ|open-collared shirt
開口|かいこう|opening; aperture (e.g. camera)
開口|かいこう|opening one's mouth; beginning to speak
開口|かいこう|open; broad
開口一番|かいこういちばん|at the very beginning of one's speech; the first thing (one) says after opening the mouth
開口部|かいこうぶ|aperture
開校|かいこう|opening a school
開港|かいこう|opening a port (seaport, airport, etc.); starting operations at a port
開港|かいこう|opening a port to foreign vessels or trade
開墾|かいこん|cultivating new land; clearing; reclamation
開墾地|かいこんち|cultivated land
開催|かいさい|holding a meeting; opening an exhibition; hosting (e.g. the Olympics)
開催式|かいさいしき|opening ceremony (of an event, show, etc.)
開催中|かいさいちゅう|in session
開削|かいさく|excavation; cutting; digging
開鑿|かいさく|excavation; cutting; digging
開山|かいさん|founding a temple (on a hill-top)
開始|かいし|start; commencement; beginning; initiation
開示|かいじ|release (e.g. information); disclosure (legal); show; indication; display
開城|かいじょう|capitulation (of fort)
開場|かいじょう|opening (the doors to an event, etc.)
開場|かいじょう|inauguration
開設|かいせつ|establishment; opening
開戦|かいせん|outbreak of war; starting a war
開祖|かいそ|(sect) founder; apostle; originator; inventor
開拓|かいたく|reclamation (e.g. wasteland); cultivation; development
開拓|かいたく|pioneering; opening up (e.g. new market); breaking new ground; trailblazing
開拓者|かいたくしゃ|pioneer; settler; colonist
開通|かいつう|opening (of a new road, railway, etc.); going into operation (e.g. telephone communication); beginning services
開通|かいつう|reopening (e.g. a road to traffic); resumption of services
開廷|かいてい|court session; trial
開店|かいてん|opening a new shop
開店|かいてん|opening a shop (for the day)
開発|かいはつ|development; exploitation
開発|かいほつ|development; exploitation
開発途上国|かいはつとじょうこく|developing country; emerging nation
開扉|かいひ|opening a door
開ひ|かいひ|opening a door
開票|かいひょう|counting ballots; tally (of votes)
開封|かいふう|opening (an envelope or parcel); breaking the seal; unsealed letter
開平|かいへい|extraction of square root
開閉|かいへい|opening and shutting
開放|かいほう|open; throw open; liberalization; liberalisation
開幕|かいまく|raising the curtain
開幕|かいまく|opening (of an event); start of a season
開明|かいめい|civilization; civilisation; enlightenment
開門|かいもん|opening gate
開立|かいりゅう|extraction of cubic root
開闢|かいびゃく|beginnings; creation; founding (of empire)
階|かい|storey; story; floor
階|かい|stairs
階|かい|stage (in chronostratigraphy)
階|かい|counter for storeys and floors of a building
階下|かいか|lower floor; downstairs
階下|かいか|bottom of the stairs; foot of the stairs
階級|かいきゅう|(social) class
階級|かいきゅう|rank; grade
階級章|かいきゅうしょう|rank insignia
階級闘争|かいきゅうとうそう|class struggle
階数|かいすう|number of stairs or stories (storeys)
階数|かいすう|rank; order
階層|かいそう|class; level; stratum; layer; hierarchy
階段|かいだん|stairs; stairway; staircase
貝|かい|shellfish
貝|かい|seashell; shell
貝ボタン|かいボタン|mother-of-pearl button
貝貨|ばいか|shell money
貝殻|かいがら|seashell; shell
貝がら|かいがら|seashell; shell
貝殼|かいがら|seashell; shell
貝柱|かいばしら|adductor muscle
貝柱|かいばしら|adductor muscle of a bivalve (e.g. scallop, etc.)
貝毒|かいどく|shellfish poison
貝類|かいるい|shellfish
凱歌|がいか|victory song; victory
凱旋|がいせん|triumphal return
凱旋軍|がいせんぐん|returning victorious army
凱旋門|がいせんもん|arch of triumph; triumphal arch
劾奏|がいそう|report of an official's offence to the emperor (offense)
外|そと|outside; exterior
外|そと|open air
外|そと|other place
外|と|outside; exterior
外|と|open air
外|と|other place
他|ほか|other (place, thing, person); the rest
他|ほか|outside; beyond
他|ほか|nothing except; nothing but; nothing apart from; nothing aside from; no choice (but to)
他|ほか|besides...; in addition to...
外|ほか|other (place, thing, person); the rest
外|ほか|outside; beyond
外|ほか|nothing except; nothing but; nothing apart from; nothing aside from; no choice (but to)
外|ほか|besides...; in addition to...
外す|はずす|to remove; to take off; to detach; to unfasten; to undo
外す|はずす|to drop (e.g. from a team); to remove (from a position); to exclude; to expel
外す|はずす|to leave (e.g. one's seat); to go away from; to step out; to slip away
外す|はずす|to dodge (a question, blow, etc.); to evade; to sidestep; to avoid (e.g. peak season)
外す|はずす|to miss (a target, chance, punch, etc.)
他に|ほかに|in addition; besides
外に|ほかに|in addition; besides
他に何か|ほかになにか|is there anything else?
ほかに何か|ほかになにか|is there anything else?
他になにか|ほかになにか|is there anything else?
外に何か|ほかになにか|is there anything else?
外れ|はずれ|end; verge; extremity; tip; outskirts
外れ|はずれ|miss; failure
外れる|はずれる|to be disconnected; to get out of place; to be off; to be out (e.g. of gear)
外圧|がいあつ|external pressure
外為|がいため|foreign exchange
外為法|がいためほう|Foreign Exchange Control Law; Foreign Exchange and Foreign Control Trade Law
外衣|がいい|outer garment
外因|がいいん|the surface reason
外陰部|がいいんぶ|pudenda; external genitalia
外科|げか|surgery
外科|げか|department of surgery (hospital, etc.)
外科医|げかい|surgeon
外科学|げかがく|surgery
外貨|がいか|foreign currency; foreign money; foreign exchange
外貨|がいか|foreign goods; imported goods
外回り|そとまわり|circumference; perimeter; outer tracks (in a loop or curve); outside work
外角|がいかく|external angle; exterior angle
外角|がいかく|outside corner
外郭|がいかく|outer wall (e.g. castle); outer block (enclosure)
外郭|がいかく|outline; contour
外廓|がいかく|outer wall (e.g. castle); outer block (enclosure)
外廓|がいかく|outline; contour
外郭団体|がいかくだんたい|auxiliary organization (organisation); extra-departmental body; fringe organization
外観|がいかん|appearance; exterior; facade
外気|がいき|open air
外局|がいきょく|external bureau
外勤|がいきん|working away from the office
外形|がいけい|externals; external form
外径|がいけい|outer diameter
外見|がいけん|outward appearance
外見|そとみ|outward appearance
外語|がいご|foreign language
外交|がいこう|diplomacy
外交|がいこう|selling (e.g. door-to-door); canvassing
外交委員長|がいこういいんちょう|head of the Foreign Relations Committee
外交官|がいこうかん|diplomat
外交関係|がいこうかんけい|diplomatic relations
外交的|がいこうてき|diplomatic
外交問題|がいこうもんだい|diplomatic issue
外向|がいこう|extroversion
外向性|がいこうせい|extroversion
外国|がいこく|foreign country
外国|そとぐに|foreign country
外国為替|がいこくかわせ|foreign exchange
外国語|がいこくご|foreign language
外国人|がいこくじん|foreigner; foreign citizen; foreign national; alien; non-Japanese
外国人登録|がいこくじんとうろく|alien registration
外国人登録証明書|がいこくじんとうろくしょうめいしょ|certificate of alien registration; alien registration card
外国製|がいこくせい|foreign-made
外国投資家|がいこくとうしか|foreign investor
外国部隊|がいこくぶたい|overseas (military forces)
外債|がいさい|foreign loan; foreign debt; foreign bond
外紙|がいし|foreign-language newspaper
外資|がいし|foreign capital (e.g. in a company); foreign investment
外字|がいじ|external character; user-defined character; character not included in the JIS character set
外字|がいじ|kanji not included in the jōyō or jinmeiyō list
外字|がいじ|foreign letters (esp. of a western language); foreign writing
外耳|がいじ|external ear; concha
外車|がいしゃ|foreign automobile
外需|がいじゅ|foreign demand
外周|がいしゅう|outer circumference
外柔内剛|がいじゅうないごう|gentle but firm
外出|がいしゅつ|going out; outing; leaving (one's home, office, etc.)
外出|そとで|going out; outing; leaving (one's home, office, etc.)
外傷|がいしょう|external wound; (physical) trauma
外場|がいば|external field
外食|がいしょく|eating out
外信|がいしん|external communication
外人|がいじん|foreigner (esp. one of European ancestry); gaijin
外人|がいじん|outsider
外人|ほかびと|outsider
ガイジン||outsider
外人向け|がいじんむけ|for foreigners
外征|がいせい|foreign campaign
外戚|がいせき|maternal relative
外接|がいせつ|circumscription
外線|がいせん|outside telephone line; outer circle
外祖父|がいそふ|maternal grandfather
外層|がいそう|outer layers
外相|がいしょう|Foreign Minister
外注|がいちゅう|outside order; outsourcing; custom (manufacture)
外敵|がいてき|foreign enemy; outside invader
外的|がいてき|external; outside
外典|がいてん|Apocrypha (i.e. as opposed to the Biblical canon)
外典|がいてん|non-Buddhist writings (esp. Confucian writings)
外典|げてん|Apocrypha (i.e. as opposed to the Biblical canon)
外典|げてん|non-Buddhist writings (esp. Confucian writings)
外典|げでん|Apocrypha (i.e. as opposed to the Biblical canon)
外典|げでん|non-Buddhist writings (esp. Confucian writings)
外電|がいでん|foreign telegram
外湯|そとゆ|open air bath (in an inn, onsen, etc.); external hot spring bath
そと湯|そとゆ|open air bath (in an inn, onsen, etc.); external hot spring bath
外灯|がいとう|outside light
外道|げどう|non-Buddhist teachings; non-Buddhist
外道|げどう|heterodoxy; unorthodoxy; heresy; heretic
外道|げどう|demon; fiend; devil; brute; bad person
外道|げどう|type of fish one did not intend to catch
外泊|がいはく|spending night somewhere else (usu. away from home); sleepover; sleep over
外皮|がいひ|skin; outer skin; integument; husk; hull; shell; crust; rind; envelope; investment; exodermis; pellicle
外付け|そとづけ|external (hard drive, etc.)
外付|そとづけ|external (hard drive, etc.)
外部|がいぶ|outside (e.g. of a building); exterior
外部|がいぶ|outside (of a group, company, etc.); outside world
外聞|がいぶん|reputation; respectability; honour; honor
外米|がいまい|foreign rice
外壁|がいへき|outer wall
外壁|そとかべ|outer wall
外方|そっぽ|the other way
外堀|そとぼり|outer moat (of a castle)
外濠|そとぼり|outer moat (of a castle)
外壕|そとぼり|outer moat (of a castle)
外務|がいむ|foreign affairs
外務省|がいむしょう|Ministry of Foreign Affairs
外務大臣|がいむだいじん|Minister for Foreign Affairs
外面|がいめん|outer surface; outward appearance; outside; exterior
外面|がいめん|outside; outer; outward; exterior; external
外面|そとづら|outer surface; outward appearance; outside; exterior
外面|そとづら|outside; outer; outward; exterior; external
外面|げめん|outer surface; outward appearance; outside; exterior
外面|げめん|outside; outer; outward; exterior; external
外野|がいや|outfield
外野|がいや|outfielder
外野|がいや|outfield bleachers
外野|がいや|third party; outsider; onlooker; bystander
外野手|がいやしゅ|outfielder
外野席|がいやせき|outfield bleachers
外野席|がいやせき|outsider; onlooker; bystander
外遊|がいゆう|foreign travel
外様|とざま|outside daimyo; non-Tokugawa daimyo
外様|とざま|outsider; one not included in the favored (favoured) group
外方|とざま|outside daimyo; non-Tokugawa daimyo
外方|とざま|outsider; one not included in the favored (favoured) group
外用|がいよう|external use
外用薬|がいようやく|medicine for external use; external medicine
外来|がいらい|foreign; imported
外来|がいらい|outpatient; outpatient care; outpatient clinic; outpatient ward
外来患者|がいらいかんじゃ|outpatients
外来語|がいらいご|borrowed word; foreign origin word
外乱|がいらん|noise (interference)
外郎|ういろう|sweet rice jelly
外郎|ういろう|Edo-period herbal medicine (used as an antitussive and a breath freshener)
外枠|そとわく|border
咳|せき|cough; coughing; tussis
咳|しわぶき|cough; coughing; tussis
咳払い|せきばらい|clearing one's throat; cough
咳ばらい|せきばらい|clearing one's throat; cough
せき払い|せきばらい|clearing one's throat; cough
咳き払い|せきばらい|clearing one's throat; cough
咳嗽|がいそう|cough; coughing
害|がい|injury; harm; evil influence; damage
害悪|がいあく|harm; injury; evil (influence)
害虫|がいちゅう|harmful insect; noxious insect; vermin; pest
害鳥|がいちょう|vermin; injurious bird
害毒|がいどく|harm; injury; mischief; poison; virus
崖|がけ|cliff
概して|がいして|generally; as a rule
概ね|おおむね|in general; generally; mostly; roughly; largely; mainly; on the whole; by and large
概ね|おおむね|gist; point; main idea
大旨|おおむね|in general; generally; mostly; roughly; largely; mainly; on the whole; by and large
大旨|おおむね|gist; point; main idea
概括|がいかつ|summary; generalization; generalisation
概観|がいかん|general view; outline
概況|がいきょう|outlook; general situation
概算|がいさん|approximation; rough estimate
概数|がいすう|round numbers
概説|がいせつ|general statement; outline
概念|がいねん|general idea; concept; notion
概評|がいひょう|general view; comment
概要|がいよう|outline; summary; overview; abridgment; synopsis
概略|がいりゃく|outline; summary; gist; in brief
概論|がいろん|introduction; outline; general remarks
碍子|がいし|insulator
がい子|がいし|insulator
礙子|がいし|insulator
蓋|ふた|cover; lid; cap
蓋|がい|cover; lid; cap
フタ||cover; lid; cap
蓋し|けだし|perhaps; probably
蓋然性|がいぜんせい|probability; likelihood
街|がい|.. street; .. quarter; .. district
街角|まちかど|street corner
町角|まちかど|street corner
街区|がいく|block (of land)
街娼|がいしょう|prostitute; whore; streetwalker
街図|がいず|street map
街灯|がいとう|street light
街燈|がいとう|street light
街頭|がいとう|in the street
街道|かいどう|highway (esp. one existing from the Edo period); main road
街道|かいどう|highway (e.g. to success); path (to becoming ...)
街路|がいろ|road; street; avenue
街路アドレス|がいろアドレス|street address
街路樹|がいろじゅ|roadside trees
街衢|がいく|town
該当|がいとう|corresponding to; being applicable to; being relevant to; coming under; falling under; fulfilling (requirements); meeting (conditions); qualifying for
該当者|がいとうしゃ|person concerned; person qualified; person in question; party; litigant (legal)
該博|がいはく|profundity; extensive (knowledge)
該博な知識|がいはくなちしき|profound knowledge
鎧|よろい|armor; armour
甲|よろい|armor; armour
骸骨|がいこつ|skeleton
がい骨|がいこつ|skeleton
蛙の子は蛙|かえるのこはかえる|like father, like son; the apple doesn't fall far from the tree
蛙跳|かえるとび|(game of) leapfrog
蛙跳び|かえるとび|(game of) leapfrog
垣|かき|fence; hedge; barrier; wall; railing
牆|かき|fence; hedge; barrier; wall; railing
垣間見る|かいまみる|to take a peep at; to catch a glimpse of
かいま見る|かいまみる|to take a peep at; to catch a glimpse of
垣根|かきね|hedge; fence
柿|かき|kaki; Japanese persimmon (Diospyros kaki)
柹|かき|kaki; Japanese persimmon (Diospyros kaki)
カキ||kaki; Japanese persimmon (Diospyros kaki)
鈎虫|こうちゅう|hookworm
劃時代的|かくじだいてき|epoch-making
画時代的|かくじだいてき|epoch-making
各|かく|each; every; all
各位|かくい|everyone; each and every one (of you); ladies and gentlemen
各員|かくいん|each one
各駅|かくえき|every station
各駅停車|かくえきていしゃ|train that stops at every station; local train
各界|かっかい|each field; various circles
各界|かくかい|each field; various circles
各階|かくかい|each floor
各月|かくげつ|every month
各県|かくけん|each prefecture; all prefectures
各個|かっこ|every one; each
各校|かくこう|each school
各校|かっこう|each school
各行|かくぎょう|each line
各行|かくこう|each line
各行|かっこう|each line
各国|かっこく|each nation
各国|かっこく|many nations; many countries
各国|かくこく|each nation
各国|かくこく|many nations; many countries
各市|かくし|every city
各紙|かくし|every newspaper (magazine)
各自|かくじ|each (person); everyone; individual; respective
各室|かくしつ|every room
各社|かくしゃ|all companies; each company
各種|かくしゅ|every kind; all sorts
各所|かくしょ|each place; various places
各省|かくしょう|each ministry
各情報|かくじょうほう|all information
各人|かくじん|each person
各層|かくそう|each stratum; each class
各地|かくち|every place; various places
各店|かくてん|each shop
各派|かくは|each party; each faction; all sects
各般|かくはん|all; every; various
各藩|かくはん|each clan
各部|かくぶ|all parts; various parts; every department
各面|かくめん|all phases
各論|かくろん|item-by-item discussion; itemized discussion; detailed exposition; detailed discussion
拡散|かくさん|scattering; diffusion; spread (e.g. signal across the spectrum)
拡充|かくじゅう|expansion
拡大|かくだい|magnification; enlargement; expansion; amplification
拡大率|かくだいりつ|rate of magnification; magnification power
拡張|かくちょう|expansion; extension; enlargement; escape; ESC
拡張化|かくちょうか|enlargement; expansion
拡張可能|かくちょうかのう|extensible
拡張倍精度|かくちょうばいせいど|extended double-precision
攪拌|かくはん|agitation; stirring; whipping; beating
攪拌|こうはん|agitation; stirring; whipping; beating
撹拌|かくはん|agitation; stirring; whipping; beating
撹拌|こうはん|agitation; stirring; whipping; beating
格|かく|status; position; rank
格|かく|method; way; style
格|かく|rule; regulation; law
格|かく|grammatical case
格|かく|figure (syllogism)
格安|かくやす|cheap; reasonable
格下げ|かくさげ|demotion; downgrading
格言|かくげん|saying; maxim; aphorism; proverb
格好のいい|かっこうのいい|attractive; good-looking; stylish; cool
格好の悪い|かっこうのわるい|unattractive; ugly; unstylish; uncool
格好悪い|かっこうわるい|unattractive; ugly; unstylish; uncool
格好悪い|かっこわるい|unattractive; ugly; unstylish; uncool
かっこ悪い|かっこわるい|unattractive; ugly; unstylish; uncool
格差|かくさ|qualitative difference; disparity
格子|こうし|lattice; latticework; window bars; grid; grating
格子戸|こうしど|lattice door
格子窓|こうしまど|latticed window
格子点|こうしてん|lattice point
格子面|こうしめん|lattice plane
格式|かくしき|formality; social rules
格式|かくしき|social status; social standing
格式|かくしき|amendments and enforcement regulations (of the ritsuryo)
格式|きゃくしき|formality; social rules
格式|きゃくしき|social status; social standing
格式|きゃくしき|amendments and enforcement regulations (of the ritsuryo)
格上げ|かくあげ|status elevation
格段|かくだん|special; exceptional; remarkable
格調|かくちょう|tone (of speech, writing, etc.); style
格闘|かくとう|hand-to-hand fighting; grappling; scuffling
挌闘|かくとう|hand-to-hand fighting; grappling; scuffling
格闘戦部隊|かくとうせんぶたい|shock troops
格納|かくのう|storage; housing for equipment and machines
格納|かくのう|putting into computer memory
格納庫|かくのうこ|(aircraft) hangar
格付け|かくづけ|rating; classification; allocation; grading
格付け|かくずけ|rating; classification; allocation; grading
格別|かくべつ|particular; special; exceptional; especial
格別|かくべつ|particularly; especially; exceptionally
格別|かくべち|particular; special; exceptional; especial
格別|かくべち|particularly; especially; exceptionally
各別|かくべつ|particular; special; exceptional; especial
各別|かくべつ|particularly; especially; exceptionally
各別|かくべち|particular; special; exceptional; especial
各別|かくべち|particularly; especially; exceptionally
格変化|かくへんか|declension; change of case
核|かく|pit (of a fruit); stone
核|かく|core
核|かく|nucleus; nuclear
核|かく|nuclear weaponry
核エネルギー|かくエネルギー|nuclear energy
核家族|かくかぞく|nuclear family
核開発|かくかいはつ|nuclear development
核災害|かくさいがい|nuclear disaster
核酸|かくさん|nucleic acid
核子|かくし|nucleon
核実験|かくじっけん|nuclear (bomb) test
核心|かくしん|core; heart (of the matter); point; crux; kernel
核仁|かくじん|nuclear bonding; nuclear force
核戦争|かくせんそう|nuclear warfare
核弾頭|かくだんとう|nuclear warhead
核燃料|かくねんりょう|atomic fuel; nuclear fuel
核爆弾|かくばくだん|nuclear weapon
核爆発|かくばくはつ|nuclear explosion
核反応|かくはんのう|nuclear reaction
核反応炉|かくはんのうろ|nuclear reactor
核武装|かくぶそう|nuclear arms
核分裂|かくぶんれつ|nuclear fission
核分裂|かくぶんれつ|karyokinesis (division of a cell nucleus during mitosis or meiosis)
核兵器|かくへいき|nuclear weapon
核兵器実験|かくへいきじっけん|nuclear test
核融合|かくゆうごう|nuclear fusion
核抑止力|かくよくしりょく|nuclear deterrent force
殻|から|shell; husk; hull; pod; chaff
骸|から|shell; husk; hull; pod; chaff
獲得|かくとく|acquisition; possession
獲物|えもの|game; spoils; trophy; prey
確かに|たしかに|surely; certainly
慥かに|たしかに|surely; certainly
確かめる|たしかめる|to ascertain; to check; to make sure
慥かめる|たしかめる|to ascertain; to check; to make sure
確言|かくげん|assertion; confirmation
確固|かっこ|firm; unshakeable; resolute
確乎|かっこ|firm; unshakeable; resolute
確執|かくしつ|discord; antagonism
確実|かくじつ|certainty; reliability; soundness
確実性|かくじつせい|certainty
確実度|かくじつど|certainty
確証|かくしょう|positive proof
確信|かくしん|conviction; belief; confidence
確定|かくてい|decision; settlement
確定|かくてい|definition
確答|かくとう|definite answer
確認|かくにん|confirmation; verification; validation; review; check; affirmation; identification
確認書|かくにんしょ|certificate
確保|かくほ|guarantee; maintain; ensure; insure; secure; reservation
確報|かくほう|definite report; confirmed data
確約|かくやく|firm promise; definite promise
確率|かくりつ|probability; likelihood; chances
確率モデル|かくりつモデル|stochastic model
確率過程|かくりつかてい|stochastic process
確率誤差|かくりつごさ|random error
確率標本|かくりつひょうほん|random sample
確率変数|かくりつへんすう|stochastic variable; random variable
確率密度関数|かくりつみつどかんすう|probability density function
確率論|かくりつろん|probability theory
確立|かくりつ|establishment; settlement
確立|かくりつ|to establish; to settle
覚え|おぼえ|memory; sense; experience
覚える|おぼえる|to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember
覚える|おぼえる|to learn; to pick up; to acquire
覚える|おぼえる|to feel
覚える|おぼえる|to think; to regard
憶える|おぼえる|to memorize; to memorise; to commit to memory; to learn by heart; to bear in mind; to remember
覚ます|さます|to awaken
覚ます|さます|to disabuse
覚ます|さます|to sober up
醒ます|さます|to awaken
醒ます|さます|to disabuse
醒ます|さます|to sober up
醒ます|さます|to dampen; to throw a damper on; to spoil
覚める|さめる|to wake; to wake up
覚める|さめる|to become sober; to sober up; to regain consciousness (e.g. after anaesthesia)
覚める|さめる|to come to one's senses; to be disillusioned
醒める|さめる|to wake; to wake up
醒める|さめる|to become sober; to sober up; to regain consciousness (e.g. after anaesthesia)
醒める|さめる|to come to one's senses; to be disillusioned
覚悟|かくご|resolution; resignation; readiness; preparedness
覚者|かくしゃ|enlightened person
角|かく|angle
角|かく|square (or cube)
角|かく|bishop
角|かく|third degree (of the Japanese & Chinese pentatonic scale)
角|かく|Chinese "horn" constellation (one of the 28 mansions)
角|かく|jiao (monetary unit of China; one-tenth of a yuan)
角|かど|corner (e.g. desk, pavement)
角|かど|edge
角|つの|horn
角運動量|かくうんどうりょう|angular momentum
角砂糖|かくざとう|cube sugar; sugar cube
