尾根|おね|(mountain) ridge; spur
付焼き刃|つけやきば|thin veneer; hasty preparation; knowledge or skill learned as a stopgap
付焼き刃|つけやきば|re-tempering a dull sword (so that it looks as if it's sharp, but is actually unusable)
付焼刃|つけやきば|thin veneer; hasty preparation; knowledge or skill learned as a stopgap
付焼刃|つけやきば|re-tempering a dull sword (so that it looks as if it's sharp, but is actually unusable)
付け上がる|つけあがる|to become stuck up; to become conceited; to get cocky; to take advantage of someone's kindness or patience
つけ上がる|つけあがる|to become stuck up; to become conceited; to get cocky; to take advantage of someone's kindness or patience
付け上る|つけあがる|to become stuck up; to become conceited; to get cocky; to take advantage of someone's kindness or patience
付上がる|つけあがる|to become stuck up; to become conceited; to get cocky; to take advantage of someone's kindness or patience
付け狙う|つけねらう|to prowl after; to keep watch on
附け狙う|つけねらう|to prowl after; to keep watch on
付け足す|つけたす|to add to
付足す|つけたす|to add to
付け替え|つけかえ|replacement
付け値|つけね|the bid; the offer
付値|つけね|the bid; the offer
付け知恵|つけぢえ|hint; suggestion
付け知恵|つけじえ|hint; suggestion
付け直す|つけなおす|to repair again; to join again
付けなおす|つけなおす|to repair again; to join again
付け届け|つけとどけ|gift; present; tip
付け届け|つけとどけ|bribe
付届け|つけとどけ|gift; present; tip
付届け|つけとどけ|bribe
付届|つけとどけ|gift; present; tip
付届|つけとどけ|bribe
附屆|つけとどけ|gift; present; tip
附屆|つけとどけ|bribe
付け入る|つけいる|to take advantage (of somebody's weaknesses, carelessness, etc.); to impose on
つけ入る|つけいる|to take advantage (of somebody's weaknesses, carelessness, etc.); to impose on
付入る|つけいる|to take advantage (of somebody's weaknesses, carelessness, etc.); to impose on
付け髪|つけがみ|false hair; hairpiece; hair filler
付髪|つけがみ|false hair; hairpiece; hair filler
付け鼻|つけばな|false nose; artificial nose
付け髭|つけひげ|false moustache
付け紐|つけひも|child's sash
付け不足|つけぶそく|undercharge
付け文|つけぶみ|love-letter
付け目|つけめ|(to aim at) a weak point
付け薬|つけぐすり|ointment; lotion
付け睫毛|つけまつげ|false eyelashes
付け髷|つけまげ|hairpiece; fall; false coiffure
付けまげ|つけまげ|hairpiece; fall; false coiffure
付っ切り|つっきり|constant attendance (by a doctor)
付加|ふか|addition; annexation; appendage
附加|ふか|addition; annexation; appendage
付加価値サービス|ふかかちサービス|value added service
付加価値税|ふかかちぜい|value-added tax
付加税|ふかぜい|additional tax
付会|ふかい|adding; connecting; joining
付会|ふかい|drawing a forced inference; forced analogy
附会|ふかい|adding; connecting; joining
附会|ふかい|drawing a forced inference; forced analogy
付記|ふき|addition; appendix; note; supplement
附記|ふき|addition; appendix; note; supplement
付議|ふぎ|bringing up a matter; discussion; debate; submission (e.g. a measure); referral (e.g. bill to a committee); placing (e.g. item on an agenda)
附議|ふぎ|bringing up a matter; discussion; debate; submission (e.g. a measure); referral (e.g. bill to a committee); placing (e.g. item on an agenda)
付近|ふきん|neighbourhood; neighborhood; vicinity; environs
付近|ふきん|approaching
附近|ふきん|neighbourhood; neighborhood; vicinity; environs
附近|ふきん|approaching
付言|ふげん|saying in addition; postscript; additional remarks
附言|ふげん|saying in addition; postscript; additional remarks
付図|ふず|attached map, plan, diagram or chart
附図|ふず|attached map, plan, diagram or chart
付随|ふずい|being incident to; being accompanied by; being collateral with; being attached to
附随|ふずい|being incident to; being accompanied by; being collateral with; being attached to
付随現象|ふずいげんしょう|side effect; concomitant
付則|ふそく|additional rules; by-laws; supplementary provisions; additional clauses
附則|ふそく|additional rules; by-laws; supplementary provisions; additional clauses
付属語|ふぞくご|ancillary (attached, adjunct) word or words
付属書|ふぞくしょ|appendix; supplementary notes
付属節|ふぞくせつ|subordinate clause
付属品|ふぞくひん|accessory; fittings; appurtenances
附属品|ふぞくひん|accessory; fittings; appurtenances
付属物|ふぞくぶつ|belongings; appendage; accessory
付帯|ふたい|incidental; ancillary; accessory; secondary; collateral
附帯|ふたい|incidental; ancillary; accessory; secondary; collateral
付帯事項|ふたいじこう|supplementary item
付帯犯|ふたいはん|accessory offense; accessory offence
付帯費用|ふたいひよう|incidental expenses
付託|ふたく|committal; reference; submission (e.g. to committee); commitment
附託|ふたく|committal; reference; submission (e.g. to committee); commitment
付着|ふちゃく|sticking to; clinging to; adhesion; cohesion; agglutination
附着|ふちゃく|sticking to; clinging to; adhesion; cohesion; agglutination
付注|ふちゅう|annotation; comment
附註|ふちゅう|annotation; comment
附注|ふちゅう|annotation; comment
付註|ふちゅう|annotation; comment
付表|ふひょう|attached list; appended chart, table or graph
附表|ふひょう|attached list; appended chart, table or graph
付与|ふよ|grant; allowance; endowment; bestowal; assignment; conferment
付和|ふわ|blindly following others
付和雷同|ふわらいどう|following blindly; following suit without reflection
附和雷同|ふわらいどう|following blindly; following suit without reflection
付箋|ふせん|tag; slip; label
附箋|ふせん|tag; slip; label
埠頭|ふとう|pier; wharf; quay; dock
ふ頭|ふとう|pier; wharf; quay; dock
阜頭|ふとう|pier; wharf; quay; dock
夫|おっと|husband
良人|おっと|husband
夫の君|せのきみ|one's husband
夫君|ふくん|someone else's husband
夫権|ふけん|husband's marital rights
夫妻|ふさい|man and wife; married couple
夫子|ふうし|term of address for a teacher; Confucius
夫人|ふじん|wife; Mrs; madam
夫人|ふじん|wife of a nobleman (aristocrat, etc.)
夫人|ふじん|consort of the emperor
夫人|ぶにん|consort of the emperor
夫人|はしかし|wife; Mrs; madam
夫婦の道|ふうふのみち|marital virtues
夫婦共稼ぎ|ふうふともかせぎ|dual income; husband and wife both working
夫婦喧嘩|ふうふげんか|matrimonial quarrel
夫婦げんか|ふうふげんか|matrimonial quarrel
夫婦ゲンカ|ふうふゲンカ|matrimonial quarrel
夫婦生活|ふうふせいかつ|married life
夫婦仲|ふうふなか|conjugal relations; conjugal affection
夫婦別れ|ふうふわかれ|divorce; separation
夫婦約束|ふうふやくそく|engagement; betrothal; marriage contract
夫婦連れ|ふうふづれ|husband and wife travelling together (traveling)
夫婦連れ|めおとづれ|husband and wife travelling together (traveling)
夫婦連れ|みょうとづれ|husband and wife travelling together (traveling)
婦警|ふけい|policewoman
婦女|ふじょ|woman; womankind
婦女子|ふじょし|women and children
婦女子|ふじょし|woman; grown woman; wife
婦人|ふじん|woman; lady; adult female
婦人科|ふじんか|gynecology department
婦人科|ふじんか|gynecology
婦人科医|ふじんかい|gynecologist
婦人科学|ふじんかがく|gynecology
婦人服|ふじんふく|women's clothing
婦長|ふちょう|head nurse
富|とみ|riches; wealth; fortune
富|とみ|resources
富|とみ|lottery
富み|とみ|riches; wealth; fortune
富み|とみ|resources
富み|とみ|lottery
富む|とむ|to be rich in; to abound in; to be abundant in; to be full of
富む|とむ|to be rich; to be wealthy
富栄養化|ふえいようか|eutrophication
富貴|ふうき|riches and honours (honors); wealth and rank
富貴|ふっき|riches and honours (honors); wealth and rank
富強|ふきょう|wealth and power; rich and powerful
富強|ふうきょう|wealth and power; rich and powerful
富豪|ふごう|wealthy person; millionaire
富山県|とやまけん|Toyama prefecture (Hokuriku area)
富士山|ふじさん|Mount Fuji; Mt. Fuji; Fujiyama; Fuji-san
富士山|ふじやま|Mount Fuji; Mt. Fuji; Fujiyama; Fuji-san
不二山|ふじさん|Mount Fuji; Mt. Fuji; Fujiyama; Fuji-san
不二山|ふじやま|Mount Fuji; Mt. Fuji; Fujiyama; Fuji-san
不尽山|ふじさん|Mount Fuji; Mt. Fuji; Fujiyama; Fuji-san
不尽山|ふじやま|Mount Fuji; Mt. Fuji; Fujiyama; Fuji-san
富裕|ふゆう|wealth; riches; opulence
富力|ふりょく|wealth; resources
布|ぬの|cloth
布|ふ|cloth
布|ふ|bujian (spade-shaped bronze coin of ancient China)
布|にの|cloth
布|にぬ|cloth
布巾|ふきん|tea-towel; dish cloth
布告|ふこく|edict; ordinance; proclamation
布施|ふせ|alms; offerings
布石|ふせき|strategic arrangement of go stones; opening moves
布石|ふせき|preparation; preparatory steps; groundwork
布団|ふとん|futon (quilted Japanese-style mattress laid out on the floor)
布団|ふとん|round cushion used for Zen meditation (traditionally made of woven bulrush leaves)
蒲団|ふとん|futon (quilted Japanese-style mattress laid out on the floor)
蒲団|ふとん|round cushion used for Zen meditation (traditionally made of woven bulrush leaves)
薄団|ふとん|futon (quilted Japanese-style mattress laid out on the floor)
薄団|ふとん|round cushion used for Zen meditation (traditionally made of woven bulrush leaves)
府県|ふけん|prefecture
府知事|ふちじ|prefectural governor (of Osaka or Kyoto)
府庁|ふちょう|prefectural office
怖がる|こわがる|to be afraid of; to fear; to dread; to be nervous (about); to be shy (of)
恐がる|こわがる|to be afraid of; to fear; to dread; to be nervous (about); to be shy (of)
怖じる|おじる|to be scared
怖じ気|おじけ|fear; dread; fright; willies; funk
怖じけ|おじけ|fear; dread; fright; willies; funk
恐る|おそる|to fear; to be afraid
畏る|おそる|to fear; to be afraid
怖る|おそる|to fear; to be afraid
懼る|おそる|to fear; to be afraid
扶持|ふち|ration; stipend; allowance
扶助|ふじょ|aid; help; assistance; support
扶養|ふよう|support (e.g. of one's dependents); maintenance
扶養義務|ふようぎむ|duty to support (a person)
扶養料|ふようりょう|alimony; spousal support; maintenance
敷く|しく|to spread out; to lay out
敷く|しく|to take a position
敷く|しく|to impose widely (e.g. over a city)
布く|しく|to spread out; to lay out
布く|しく|to take a position
布く|しく|to impose widely (e.g. over a city)
敷居|しきい|threshold (esp. one with grooves for sliding doors); sill
閾|しきい|threshold (esp. one with grooves for sliding doors); sill
閾|しきみ|threshold (esp. one with grooves for sliding doors); sill
閾|しき|threshold (esp. one with grooves for sliding doors); sill
敷金|しききん|(security) deposit; caution money
敷設|ふせつ|laying (a railroad, pipes, naval mines, etc.); construction
布設|ふせつ|laying (a railroad, pipes, naval mines, etc.); construction
敷地|しきち|site; plot; lot; grounds
敷布|しきふ|sheet; sheeting
斧|おの|axe; hatchet
普く|あまねく|widely; generally; universally; far and wide
遍く|あまねく|widely; generally; universally; far and wide
周く|あまねく|widely; generally; universally; far and wide
普及|ふきゅう|diffusion; spread; popularization; promulgation; familiarization
普及版|ふきゅうばん|cheap edition (of a book); popular edition
普及率|ふきゅうりつ|diffusion rate; rate of spread
普賢|ふげん|Samantabhadra (bodhisattva); Universal Compassion
普請|ふしん|building; construction
普請|ふしん|group effort by Buddhist practitioners; group activities by a community (e.g. cleaning, etc.)
普請場|ふしんば|building plot
普選|ふせん|universal suffrage
普段|ふだん|usual; habitual; ordinary; everyday; usually; generally; always
普通|ふつう|general; ordinary; usual
普通|ふつう|normally; generally; usually
普通|ふつう|local train; train that stops at every station
普通科|ふつうか|infantry
普通科|ふつうか|general education curriculum
普通株|ふつうかぶ|equities
普通人|ふつうじん|ordinary person
普通選挙|ふつうせんきょ|universal suffrage
普通弾|ふつうだん|ball ammunition
普通便|ふつうびん|usual mail
普通法|ふつうほう|common law
普通名詞|ふつうめいし|common noun
普通預金|ふつうよきん|ordinary bank account
普通列車|ふつうれっしゃ|regular train; local train; train that stops at every station
普遍性|ふへんせい|universality; ubiquity; omnipresence; catholicity
普偏性|ふへんせい|universality; ubiquity; omnipresence; catholicity
普辺性|ふへんせい|universality; ubiquity; omnipresence; catholicity
普遍妥当性|ふへんだとうせい|ability to fit into any situation
普遍的法則|ふへんてきほうそく|universal law
浮かない顔|うかないかお|looking depressed; long face
浮かぬ顔|うかぬかお|long face; looking dejected
うかぬ顔|うかぬかお|long face; looking dejected
浮かび上がる|うかびあがる|to rise to the surface
浮かび上がる|うかびあがる|to come to the front; to emerge (e.g. from obscurity)
浮かび上がる|うかびあがる|to stand out (e.g. against a dark background)
浮かびあがる|うかびあがる|to rise to the surface
浮かびあがる|うかびあがる|to come to the front; to emerge (e.g. from obscurity)
浮かびあがる|うかびあがる|to stand out (e.g. against a dark background)
浮び上がる|うかびあがる|to rise to the surface
浮び上がる|うかびあがる|to come to the front; to emerge (e.g. from obscurity)
浮び上がる|うかびあがる|to stand out (e.g. against a dark background)
浮びあがる|うかびあがる|to rise to the surface
浮びあがる|うかびあがる|to come to the front; to emerge (e.g. from obscurity)
浮びあがる|うかびあがる|to stand out (e.g. against a dark background)
浮かび上る|うかびあがる|to rise to the surface
浮かび上る|うかびあがる|to come to the front; to emerge (e.g. from obscurity)
浮かび上る|うかびあがる|to stand out (e.g. against a dark background)
浮び上る|うかびあがる|to rise to the surface
浮び上る|うかびあがる|to come to the front; to emerge (e.g. from obscurity)
浮び上る|うかびあがる|to stand out (e.g. against a dark background)
うかび上がる|うかびあがる|to rise to the surface
うかび上がる|うかびあがる|to come to the front; to emerge (e.g. from obscurity)
うかび上がる|うかびあがる|to stand out (e.g. against a dark background)
浮かべる|うかべる|to float; to set afloat; to launch
浮かべる|うかべる|to show on one's face (smile, sadness, etc.)
浮かべる|うかべる|to recall; to call to mind; to imagine; to think of
浮べる|うかべる|to float; to set afloat; to launch
浮べる|うかべる|to show on one's face (smile, sadness, etc.)
浮べる|うかべる|to recall; to call to mind; to imagine; to think of
泛かべる|うかべる|to float; to set afloat; to launch
泛かべる|うかべる|to show on one's face (smile, sadness, etc.)
泛かべる|うかべる|to recall; to call to mind; to imagine; to think of
泛べる|うかべる|to float; to set afloat; to launch
泛べる|うかべる|to show on one's face (smile, sadness, etc.)
泛べる|うかべる|to recall; to call to mind; to imagine; to think of
浮かれる|うかれる|to make merry; to be festive
浮き|うき|floating; buoyancy
浮き|うき|fishing float; bobber
浮き|うき|buoy
浮き|うき|lifebuoy; life belt; float; rubber ring
浮子|うき|floating; buoyancy
浮子|うき|fishing float; bobber
浮子|うき|buoy
浮子|うき|lifebuoy; life belt; float; rubber ring
泛子|うき|floating; buoyancy
泛子|うき|fishing float; bobber
泛子|うき|buoy
泛子|うき|lifebuoy; life belt; float; rubber ring
浮き上がる|うきあがる|to float; to rise to the surface
浮き上がる|うきあがる|to stand out; to be visible
浮き上がる|うきあがる|to be alienated
浮き上る|うきあがる|to float; to rise to the surface
浮き上る|うきあがる|to stand out; to be visible
浮き上る|うきあがる|to be alienated
浮上がる|うきあがる|to float; to rise to the surface
浮上がる|うきあがる|to stand out; to be visible
浮上がる|うきあがる|to be alienated
浮上る|うきあがる|to float; to rise to the surface
浮上る|うきあがる|to stand out; to be visible
浮上る|うきあがる|to be alienated
浮き浮き|うきうき|cheerful; buoyant; cheery; lighthearted
ウキウキ||cheerful; buoyant; cheery; lighthearted
浮き立つ|うきたつ|to be enlivened; to be exhilarated
浮く|うく|to float
浮く|うく|to become merry; to be cheerful
浮く|うく|to become loose; to become unsteady
浮く|うく|to feel out of it; to be cut off (e.g. from those around you); to feel out of place
浮く|うく|to be frivolous; to be uncertain
浮く|うく|to have (time, money, etc.) left over; to be saved (e.g. money)
浮く|うく|to have no basis; to be unreliable
浮かぶ|うかぶ|to float; to be suspended
浮かぶ|うかぶ|to rise to surface
浮かぶ|うかぶ|to come to mind; to have inspiration
浮ぶ|うかぶ|to float; to be suspended
浮ぶ|うかぶ|to rise to surface
浮ぶ|うかぶ|to come to mind; to have inspiration
泛ぶ|うかぶ|to float; to be suspended
泛ぶ|うかぶ|to rise to surface
泛ぶ|うかぶ|to come to mind; to have inspiration
泛かぶ|うかぶ|to float; to be suspended
泛かぶ|うかぶ|to rise to surface
泛かぶ|うかぶ|to come to mind; to have inspiration
浮かれ歩く|うかれあるく|to gad around
浮れ歩く|うかれあるく|to gad around
うかれ歩く|うかれあるく|to gad around
浮気|うわき|extramarital sex; affair; fooling around
浮気|うわき|infidelity; wantonness; unfaithfulness; inconstancy; fickleness; caprice
うわ気|うわき|extramarital sex; affair; fooling around
うわ気|うわき|infidelity; wantonness; unfaithfulness; inconstancy; fickleness; caprice
上気|うわき|extramarital sex; affair; fooling around
上気|うわき|infidelity; wantonness; unfaithfulness; inconstancy; fickleness; caprice
浮気者|うわきもの|cheater; unfaithful person; adulterer
浮気女|うわきおんな|bimbo; slut
浮腫|むくみ|swelling; edema; oedema
浮腫|ふしゅ|swelling; edema; oedema
浮腫む|むくむ|to swell; to become swollen; to be puffy (e.g. face from lack of sleep); to be bloated (esp. from fluid retention)
浮上|ふじょう|surfacing; rising to the surface; emerging; leaping into prominence; levitation
浮世絵|うきよえ|ukiyoe; ukiyo-e; Edo period woodblock print
浮動|ふどう|floating
浮動小数点|ふどうしょうすうてん|floating point representation
浮動小数点演算機構|ふどうしょうすうてんえんざんきこう|floating-point arithmetic unit
浮標|ふひょう|buoy
浮揚|ふよう|floating (in the air)
浮力|ふりょく|buoyancy; floating power
浮浪|ふろう|vagrancy; vagabondage; wander around
浮浪者|ふろうしゃ|vagrant; vagabond; tramp
父|ちち|father
父|とと|father
父|ちゃん|father
父|てて|father
父|かぞ|father
父|かそ|father
父|しし|father
父|あて|father
父の日|ちちのひ|Father's Day
父兄|ふけい|guardians; parents and older brothers
父兄会|ふけいかい|parents' association
父系|ふけい|paternal line; father's side of the family
父子|ふし|father and child (son)
父上|ちちうえ|father (esp. used in samurai families prior to the Meiji period)
父親|ちちおや|father
父母|ふぼ|father and mother; parents
父母|ちちはは|father and mother; parents
父母|ててはは|father and mother; parents
父母|かぞいろは|father and mother; parents
父母|ぶも|father and mother; parents
父母|かぞいろ|father and mother; parents
父方|ちちかた|father's side of family
符号|ふごう|sign; mark; symbol; code
符号|ふごう|sign (e.g. positive, negative)
符号化|ふごうか|encoding; coding
符号器|ふごうき|encoder
符号無し|ふごうなし|unsigned
符合|ふごう|agreement; coincidence; correspondence; conformity
符丁|ふちょう|mark; symbol; sign
符丁|ふちょう|code; cipher
符丁|ふちょう|password
符丁|ふちょう|secret jargon; argot; code
符丁|ふちょう|secret price tag
符帳|ふちょう|mark; symbol; sign
符帳|ふちょう|code; cipher
符帳|ふちょう|password
符帳|ふちょう|secret jargon; argot; code
符帳|ふちょう|secret price tag
符牒|ふちょう|mark; symbol; sign
符牒|ふちょう|code; cipher
符牒|ふちょう|password
符牒|ふちょう|secret jargon; argot; code
符牒|ふちょう|secret price tag
腐す|くさす|to speak ill of
腐らす|くさらす|to let spoil; to leave to rot; to cause to rot; to corrode
腐らす|くさらす|to discourage; to dishearten
腐り果てる|くさりはてる|to be corrupt
腐る|くさる|to rot; to go bad; to decay; to spoil; to fester; to decompose; to turn sour (e.g. milk)
腐る|くさる|to corrode; to weather; to crumble
腐る|くさる|to become useless; to blunt; to weaken (from lack of practice)
腐る|くさる|to become depraved; to be degenerate; to be morally bankrupt; to be corrupt
腐る|くさる|to be depressed; to be dispirited; to feel discouraged; to feel down
腐る|くさる|indicates scorn or disdain for another's action
腐る|くさる|to lose a bet
腐る|くさる|to be drenched; to become sopping wet
腐れる|くされる|to spoil; to rot; to corrode
腐れ縁|くされえん|(undesirable but) inseparable relationship
くされ縁|くされえん|(undesirable but) inseparable relationship
腐朽|ふきゅう|deterioration; rot
腐食|ふしょく|corrosion; etching; action of acid; rot; rust; erosion
腐食|ふしょく|saprophagy
腐蝕|ふしょく|corrosion; etching; action of acid; rot; rust; erosion
腐心|ふしん|taking pains to; racking one's brains; doing everything one can
腐肉|ふにく|carrion; decaying flesh; tainted meat
腐敗|ふはい|decomposition; putrefaction; putrescence; spoilage
腐敗|ふはい|corruption; degeneracy; decay; depravity
譜面|ふめん|(written) music
譜面台|ふめんだい|music stand
負|ふ|negative; minus
負う|おう|to bear; to carry on one's back
負う|おう|to take responsibility for; to accept a duty
負う|おう|to be injured
負う|おう|to owe
負える|おえる|to be able to bear
負える|おえる|to be able to manage
負かす|まかす|to defeat
負け|まけ|defeat; loss; losing (a game)
負けじ魂|まけじだましい|unyielding spirit; indomitable spirit
負ける|まける|to lose; to be defeated
負ける|まける|to succumb; to give in; to surrender; to yield
負ける|まける|to be inferior to
負ける|まける|to break out in a rash due to (e.g. lacquer, shaving, etc.)
負ける|まける|to reduce the price; to give a discount; to throw in (something extra) for free
敗ける|まける|to lose; to be defeated
敗北る|まける|to lose; to be defeated
負けん気|まけんき|competitive spirit; spirit of rivalry
負け越し|まけこし|more losses than wins (sport)
負け犬|まけいぬ|dejected loser; dog that has lost a fight (with its tail between its legs)
負け犬|まけいぬ|unmarried woman (with no children) over the age of 30
負け惜しみ|まけおしみ|poor loser; make excuses; unwilling to admit defeat; sour grapes
負惜しみ|まけおしみ|poor loser; make excuses; unwilling to admit defeat; sour grapes
負け惜み|まけおしみ|poor loser; make excuses; unwilling to admit defeat; sour grapes
負惜み|まけおしみ|poor loser; make excuses; unwilling to admit defeat; sour grapes
負け戦|まけいくさ|lost battle
負んぶ|おんぶ|carrying on one's back (e.g. baby); piggyback ride
おんぶに抱っこ|おんぶにだっこ|completely relying on others
負んぶに抱っこ|おんぶにだっこ|completely relying on others
負んぶにだっこ|おんぶにだっこ|completely relying on others
負荷|ふか|burden; load (e.g. cpu time, electricity, etc.)
負号|ふごう|minus sign (-); negative sign
負債|ふさい|debt; liabilities
負債合計|ふさいごうけい|total liabilities
負傷|ふしょう|injury; wound
負傷者|ふしょうしゃ|injured person; wounded person; casualty
負性|ふせい|negative properties
負担|ふたん|burden; charge; responsibility
負符号|ふふごう|minus sign
賦課|ふか|levy; imposition
賦税|ふぜい|taxation
賦役|ふえき|slave labour; slave labor; compulsory service; forced labour; forced labor; exacted service
賦役|ぶやく|slave labour; slave labor; compulsory service; forced labour; forced labor; exacted service
夫役|ぶえき|slave labour; slave labor; compulsory service; forced labour; forced labor; exacted service
夫役|ぶやく|slave labour; slave labor; compulsory service; forced labour; forced labor; exacted service
賦与|ふよ|being endowed with (e.g. a gift); being blessed with; endowment
赴く|おもむく|to go in the direction of; to proceed toward; to proceed according to; to repair to; to betake oneself to
赴く|おもむく|to become; to face (facts, circumstances, etc.)
赴く|おもむく|to abide by; to agree to; to consent to; to obey
赴く|おもぶく|to go in the direction of; to proceed toward; to proceed according to; to repair to; to betake oneself to
赴く|おもぶく|to become; to face (facts, circumstances, etc.)
赴く|おもぶく|to abide by; to agree to; to consent to; to obey
趣く|おもむく|to go in the direction of; to proceed toward; to proceed according to; to repair to; to betake oneself to
趣く|おもむく|to become; to face (facts, circumstances, etc.)
趣く|おもむく|to abide by; to agree to; to consent to; to obey
趣く|おもぶく|to go in the direction of; to proceed toward; to proceed according to; to repair to; to betake oneself to
趣く|おもぶく|to become; to face (facts, circumstances, etc.)
趣く|おもぶく|to abide by; to agree to; to consent to; to obey
趨く|おもむく|to go in the direction of; to proceed toward; to proceed according to; to repair to; to betake oneself to
趨く|おもむく|to become; to face (facts, circumstances, etc.)
趨く|おもむく|to abide by; to agree to; to consent to; to obey
趨く|おもぶく|to go in the direction of; to proceed toward; to proceed according to; to repair to; to betake oneself to
趨く|おもぶく|to become; to face (facts, circumstances, etc.)
趨く|おもぶく|to abide by; to agree to; to consent to; to obey
赴任|ふにん|moving to a different location to start a new job; (proceeding to) new appointment
赴任地|ふにんち|place of (new) post; (new) place of appointment
侮|ぶ|(something) despised; (something) made light of
侮り|あなどり|contempt; scorn
侮言|ぶげん|insult
侮辱|ぶじょく|insult; affront; slight; contempt (e.g. of court)
侮蔑|ぶべつ|scorn; disdain; contempt; slight
侮慢|ぶまん|contempt; insult; offense; offence
撫でる|なでる|to stroke; to caress; to brush gently; to pat; to rub
撫でる|なでる|to comb (hair); to smooth down
撫で下ろす|なでおろす|to stroke down; to smooth down
撫で下す|なでおろす|to stroke down; to smooth down
撫で回す|なでまわす|to pat (e.g. dog); to rub; to stroke; to fondle
なで回す|なでまわす|to pat (e.g. dog); to rub; to stroke; to fondle
撫で上げる|なであげる|to comb back
撫で付け|なでつけ|hair that is smoothed down
撫でつけ|なでつけ|hair that is smoothed down
撫で付ける|なでつける|to comb down; to smooth down
撫でつける|なでつける|to comb down; to smooth down
撫育|ぶいく|care; tending
武威|ぶい|military power
武運|ぶうん|the fortunes of war
武家|ぶけ|samurai; warrior; military family
武家時代|ぶけじだい|Feudal period (characterized by the rule of the shogunate as opposed to emperor, 1185-1867 CE)
武家政治|ぶけせいじ|feudal government
武家物|ぶけもの|samurai romance
武学|ぶがく|military science
武官|ぶかん|military or naval officer
武漢三鎮|ぶかんさんちん|the Three Wuhan Cities
武鑑|ぶかん|book of heraldry
武器|ぶき|weapon; arms; ordnance
武器|ぶき|weapon (something used to gain an advantage); asset
武器庫|ぶきこ|armory; armoury; ordnance department
武器倉|ぶきぐら|armory; armoury; arsenal
武器貸与|ぶきたいよ|lend-lease
武技|ぶぎ|martial arts
武侠|ぶきょう|chivalry; gallantry; heroism
武侠小説|ぶきょうしょうせつ|swashbuckling stories; martial arts fiction; chivalric knight novels; wuxia xiaoshuo
武教|ぶきょう|the teachings of Bushido
武具|ぶぐ|arms; armor; armour
武勲|ぶくん|deeds of arms
武芸|ぶげい|martial arts
武庫|ぶこ|armory; armoury
武功|ぶこう|military exploits
武骨者|ぶこつもの|boor; rustic
無骨者|ぶこつもの|boor; rustic
武士階級|ぶしかいきゅう|warrior class
武士道|ぶしどう|Bushido; samurai code of chivalry
武事|ぶじ|military affairs; martial arts
武者|むしゃ|warrior
武者絵|むしゃえ|warrior picture
武者修業|むしゃしゅぎょう|samurai drill; knight errantry
武者振り|むしゃぶり|prowess; gallantry
武者振り付く|むしゃぶりつく|to grab at; to clutch; to grapple with
武者振りつく|むしゃぶりつく|to grab at; to clutch; to grapple with
武術|ぶじゅつ|martial arts; military arts
武術|ぶじゅつ|wushu; modern sport derived from traditional Chinese martial arts
武将|ぶしょう|military commander
武神|ぶしん|god of military arts
武臣|ぶしん|military retainer
武人|ぶじん|military man
武装|ぶそう|arms; armament
武装解除|ぶそうかいじょ|disarmament
武装具|ぶそうぐ|accoutrements
武装警官|ぶそうけいかん|armed police
武装集団|ぶそうしゅうだん|armed group
武装船|ぶそうせん|armed ship
武装中立|ぶそうちゅうりつ|armed neutrality
武装都市|ぶそうとし|fortified city
武装平和|ぶそうへいわ|armed peace
武断|ぶだん|militarism
武断主義|ぶだんしゅぎ|militarism
武断政治|ぶだんせいじ|military government
武断的|ぶだんてき|militaristic
武張る|ぶばる|to be soldierly; to be martial
武道|ぶどう|martial arts; military arts; Bushido
武徳|ぶとく|martial arts
武備|ぶび|military preparation; armaments; defenses; defences
武辺|ぶへん|military affairs; military people
武弁|ぶべん|soldier
武名|ぶめい|military fame
武問|ぶもん|samurai's lineage
武門|ぶもん|military family; warrior class
武勇|ぶゆう|bravery; military prowess; valour; valor
武勇伝|ぶゆうでん|biography of a brave fighter; heroic saga; chivalric romance
武勇伝|ぶゆうでん|tale of one's heroism; episode of bravery; acts of violence
武略|ぶりゃく|strategy; military tactics
武陵桃源|ぶりょうとうげん|Utopia
武力|ぶりょく|armed might; military power; the sword; force
武力外交|ぶりょくがいこう|armed diplomacy
武力行使|ぶりょくこうし|use of (military) force
武力衝突|ぶりょくしょうとつ|military conflict; armed conflict
武力政治|ぶりょくせいじ|power politics
武力戦|ぶりょくせん|armed conflict
武烈|ぶれつ|military merit
舞い込む|まいこむ|to come fluttering in (e.g. leaves, snow, flowers, etc.); to come dancing in
舞い込む|まいこむ|to drop in unexpectedly; to happen unexpectedly
舞い上がる|まいあがる|to soar; to fly high; to be whirled up
舞い上がる|まいあがる|to make merry; to be ecstatic; to be in high spirits
舞いあがる|まいあがる|to soar; to fly high; to be whirled up
舞いあがる|まいあがる|to make merry; to be ecstatic; to be in high spirits
舞上がる|まいあがる|to soar; to fly high; to be whirled up
舞上がる|まいあがる|to make merry; to be ecstatic; to be in high spirits
舞い上る|まいあがる|to soar; to fly high; to be whirled up
舞い上る|まいあがる|to make merry; to be ecstatic; to be in high spirits
舞上る|まいあがる|to soar; to fly high; to be whirled up
舞上る|まいあがる|to make merry; to be ecstatic; to be in high spirits
舞い戻る|まいもどる|to come back
舞戻る|まいもどる|to come back
舞う|まう|to dance (orig. a whirling dance)
舞う|まう|to flutter about; to revolve
舞楽|ぶがく|court dance and music
