上右|うえみぎ|upper right (corner)
嗄れ声|かれごえ|hoarse voice; husky voice
然り|しかり|yes; yea; aye; affirmative
然り|しかり|to be so
爾り|しかり|yes; yea; aye; affirmative
爾り|しかり|to be so
道幅|みちはば|width of a road
図がない|ずがない|unthinkable; extraordinary; preposterous; cannot be
図が無い|ずがない|unthinkable; extraordinary; preposterous; cannot be
訳がない|わけがない|there is no way that ... (expresses speaker's belief that something is impossible)
訳がない|わけがない|easy; simple
わけが無い|わけがない|there is no way that ... (expresses speaker's belief that something is impossible)
わけが無い|わけがない|easy; simple
訳が無い|わけがない|there is no way that ... (expresses speaker's belief that something is impossible)
訳が無い|わけがない|easy; simple
我を忘れる|われをわすれる|to forget oneself; to lose control of oneself
われを忘れる|われをわすれる|to forget oneself; to lose control of oneself
迎えに行く|むかえにいく|to go to meet somebody
迎えに来る|むかえにくる|to call for somebody; to come for someone; to pick someone up
迎えにくる|むかえにくる|to call for somebody; to come for someone; to pick someone up
ブログ||blog; weblog
ヴログ||blog; weblog
血液内科|けつえきないか|haematology; hematology
腎臓内科|じんぞうないか|nephrology
白血球の数の低下|はっけっきゅうのかずのていか|agranulocytosis (not enough white blood cells)
白血球の数の低下|はっけっきゅうのすうのていか|agranulocytosis (not enough white blood cells)
とは言え|とはいえ|though; although; be that as it may; nonetheless
武装勢力|ぶそうせいりょく|armed group; armed insurgents
べた付く|べたつく|to be sticky
べた付く|べたつく|to be close together
花椒|かしょう|Sichuan pepper (tree) (Zanthoxylum bungeanum); Chinese prickly-ash
減るもんじゃない|へるもんじゃない|it's no big deal; it's nothing to fret about; it's not like it's the end of the world
いやだ||not a chance; not likely; no way
落ち窪む|おちくぼむ|to sink in; to cave in
ノルマ||(one's) quota; assignment
ウタリ||human (in Ainu); one's fellow man; kin; comrade
ウタリ||self-referential term used by the Ainu about their people
コントミン||chlorpromazine hydrochloride (Thorazine)
情報セキュリティ|じょうほうセキュリティ|information security
アルティメット||ultimate
ハードゲイ||leatherman; conspicuously gay male who belongs to the leather subculture and engages in bodybuilding
ハード・ゲイ||leatherman; conspicuously gay male who belongs to the leather subculture and engages in bodybuilding
めちゃぱい||big breasts
手本帖|てほんちょう|book of calligraphy samples; copybook; portfolio
不足分|ふそくぶん|shortage; amount outstanding (e.g. on loan); deficit
遠流|おんる|banishment or exile (punishment under the ritsuryo system)
ネブルズ||Kurdish New Year (Newroz)
チューインガム||chewing gum
チュウインガム||chewing gum
チューイン・ガム||chewing gum
半島国|はんとうこく|peninsular country (e.g. Italy, Korea)
半島人|はんとうじん|peninsular person (old pejorative for Koreans)
デューク||duke
注意力不足活動過多症|ちゅういりょくふそくかつどうかたしょう|attention deficit-hyperactivity disorder; ADHD
メチルフェデート||methylphenidate
リタリン||Ritalin (methylphenidate)
大建築|だいけんちく|edifice; monumental architecture; huge building
ヘヴィ||heavy
腸カタル|ちょうカタル|enteritis; intestinal catarrh
機|き|chance; opportunity
機|き|machine
機|き|aircraft
機|き|counter for aircraft
機|き|counter for remaining lives (in video games)
苦|く|pain; anguish; suffering; distress; anxiety; worry; trouble; difficulty; hardship
苦|く|duhkha (suffering)
機関手|きかんしゅ|locomotive engineer; engine driver
併催|へいさい|combining a pair of events; joint
連邦参議院|れんぽうさんぎいん|Bundesrat (lower house of the German parliament)
外板|がいはん|panels, planks or plating on the hull of a ship or aircraft
目もくれない|めもくれない|indifferent; paying no attention; taking no notice
麺子|めんす|noodles
配置薬|はいちやく|medicine left by a salesman, and paid for when used
心を砕く|こころをくだく|to rack one's brains; to wrack one's brains
精薄者|せいはくしゃ|mentally-handicapped person (pejorative); retarded person
知的障害|ちてきしょうがい|mental disability; mental retardation
知的障害者|ちてきしょうがいしゃ|mentally-handicapped person
知的障害児|ちてきしょうがいじ|mentally-handicapped child
ホムンクルス||homunculus; homonculus
経済学者|けいざいがくしゃ|economist
ただじゃおかないぞ||You'll pay for this!; You'd better keep your mouth shut!
ただではおかないぞ||You'll pay for this!; You'd better keep your mouth shut!
バプテスマ||baptism
うまくやって行く|うまくやっていく|to get along well with; to make a go of it
旨くやって行く|うまくやっていく|to get along well with; to make a go of it
旨くやる|うまくやる|to manage something successfully; to be successful
巧くやる|うまくやる|to manage something successfully; to be successful
甘くやる|うまくやる|to manage something successfully; to be successful
電光ニュース|でんこうニュース|illuminated sign spelling out news items
業務課長|ぎょうむかちょう|head of business department
写メール|しゃメール|email from mobile phones, containing pictures, etc.
写メール|しゃメール|brand name for photo-email service from SoftBank Mobile
公務中|こうむちゅう|on duty
書|しょ|book; document
書|しょ|calligraphy (esp. Chinese); penmanship
書|しょ|handwriting
書|しょ|letter; note
女子専用|じょしせんよう|for the use of women only
二組|ふたくみ|two classes; double; two sets
２組|ふたくみ|two classes; double; two sets
大会社|だいがいしゃ|large industrial company; major corporation; big business
信用経済|しんようけいざい|credit economy
外遊中|がいゆうちゅう|absent overseas
相済みません|あいすみません|Forgive me (very formal)
大ニュース|だいニュース|big news
標準以下|ひょうじゅんいか|below average
通い帳|かよいちょう|passbook; bankbook
遅発性運動異常|ちはつせいうんどういじょう|tardive dyskinesia
長いこと|ながいこと|for a long time
長い事|ながいこと|for a long time
永いこと|ながいこと|for a long time
永い事|ながいこと|for a long time
医者通い|いしゃがよい|course of medical treatment; under-the-doctor
下の子|したのこ|younger child
振る|ぶる|assuming the air of ...; behaving like ...
振る|ぶる|to put on airs; to be self-important
頬染める|ほほそめる|to blush
生きていく|いきていく|to subsist; to keep on living
生きて行く|いきていく|to subsist; to keep on living
生きて行く|いきてゆく|to subsist; to keep on living
生きてゆく|いきてゆく|to subsist; to keep on living
生きていかれない|いきていかれない|can't survive (without ...)
生きて行かれない|いきていかれない|can't survive (without ...)
実用向き|じつようむき|practical use; utility
宥めすかす|なだめすかす|to soothe and humor (humour); to coax
宥め賺す|なだめすかす|to soothe and humor (humour); to coax
劣らず|おとらず|with the best of them; as the next fellow
誰にも|だれにも|anybody and everybody; with the best of them; as the next fellow
水温む|みずぬるむ|warming of water (in spring)
登録証|とうろくしょう|registration book; registration card
船舶登録証|せんぱくとうろくしょう|ship's certificate; ship's registration
平和協議|へいわきょうぎ|peace conference
逃げ馬|にげうま|front-runner
逃馬|にげうま|front-runner
まったり||rich (taste); full-bodied (flavour, flavor); mellow(ness)
まったり||laid-back (lifestyle); relaxed; comfortable
なりに||in one's own way or style
酷がある|こくがある|full-bodied (e.g. wine, sake); rich; robust (flavor); full-flavored
濃がある|こくがある|full-bodied (e.g. wine, sake); rich; robust (flavor); full-flavored
コクがある||full-bodied (e.g. wine, sake); rich; robust (flavor); full-flavored
酷のある|こくのある|full-bodied (e.g. wine, sake); rich; robust (flavor); full-flavored
濃のある|こくのある|full-bodied (e.g. wine, sake); rich; robust (flavor); full-flavored
コクのある||full-bodied (e.g. wine, sake); rich; robust (flavor); full-flavored
領する|りょうする|to own; to receive; to understand
水出しコーヒー|みずだしコーヒー|cold-brew coffee
水だしコーヒー|みずだしコーヒー|cold-brew coffee
増|ぞう|increase
船上|せんじょう|on board
隻|せき|counter for ships (large boats)
隻|せき|counter for half of a pair (e.g. half of a folding screen)
隻|せき|counter for fish, birds, arrows, etc.
身ぶり手ぶり|みぶりてぶり|gestures; gesturing
身振り手振り|みぶりてぶり|gestures; gesturing
肺実質|はいじっしつ|lung substance; lung parenchyma
周囲温度|しゅういおんど|ambient temperature
うつらうつら||drowsily; nodding off
ウツラウツラ||drowsily; nodding off
キャパ||capacity
答弁書|とうべんしょ|written response; reply
準備書面|じゅんびしょめん|preparatory document; legal brief
扁豆|ひらまめ|lentil (Lens culinaris)
ヒラマメ||lentil (Lens culinaris)
レンズ豆|レンズまめ|lentil (Lens culinaris)
レンズマメ||lentil (Lens culinaris)
レンチル||lentil
前ほど|まえほど|to the previous extent; as much as previously; as much as one used to
二人ずつ|ふたりずつ|two by two; by twos; as a couple
二人づつ|ふたりづつ|two by two; by twos; as a couple
二人宛|ふたりずつ|two by two; by twos; as a couple
二人宛|ふたりづつ|two by two; by twos; as a couple
分かり合う|わかりあう|to understand (each other); to comprehend
何万年|なんまんねん|tens of thousands of years
ずっと前に|ずっとまえに|a long time ago
毎日毎日|まいにちまいにち|day after day; day by day
西下|さいか|going west; leaving for the west
二間|ふたま|two rooms
よく学びよく遊べ|よくまなびよくあそべ|study hard and play hard
二大強国|にだいきょうこく|(the) two great powers
生のままで|きのままで|straight (e.g. whiskey)
二束|ふたたば|two bunches; two bundles
原子力安全保安院|げんしりょくあんぜんほあんいん|Nuclear and Industrial Safety Agency; NISA
原子力安全・保安院|げんしりょくあんぜんほあんいん|Nuclear and Industrial Safety Agency; NISA
枚挙にいとまがない|まいきょにいとまがない|too many to count; too numerous to mention
枚挙に暇が無い|まいきょにいとまがない|too many to count; too numerous to mention
枚挙にいとまが無い|まいきょにいとまがない|too many to count; too numerous to mention
枚挙に暇がない|まいきょにいとまがない|too many to count; too numerous to mention
枚挙に遑がない|まいきょにいとまがない|too many to count; too numerous to mention
枚挙に遑が無い|まいきょにいとまがない|too many to count; too numerous to mention
アディポネクチン||adiponectin
飛空艇|ひくうてい|airship
登下校|とうげこう|going to and from school; path to and from school; way to school
八百|はっぴゃく|eight hundred
八百|はっぴゃく|multitude; large number
八百|やお|eight hundred
八百|やお|multitude; large number
八分|はっぷん|eight minutes
八分|はっぷん|triangular-swept clerical script (clerical script whose horizontal lines end in a noticeable triangular tail)
初っ端|しょっぱな|the very beginning
初っぱな|しょっぱな|the very beginning
中継網|ちゅうけいもう|transit network (telecommunications, networking); relay network
公務員管理職|こうむいんかんりしょく|executive positions in the civil service
識者評論|しきしゃひょうろん|a word from the wise
有識経験者|ゆうしきけいけんしゃ|knowledgeable and experienced person
田園都市開発|でんえんとしかいはつ|garden-town development; rural city development; urban sprawl
現代新書|げんだいしんしょ|a series of paperbacks published since 1964 by Kodansha
資源外交|しげんがいこう|resources diplomacy
脱亜入欧|だつあにゅうおう|Out of Asia and Into Europe; slogan calling for Japan to align itself with the West
ゆとり教育|ゆとりきょういく|"education with breathing space" system; pressure-free education
代表取締社長|だいひょうとりしまりしゃちょう|company president, with responsibility to represent the company in its dealings with the outside world
素行調査|そこうちょうさ|probity check; background investigation
国系|こっけい|country of origin; ethnicity
労働不足|ろうどうぶそく|labour shortage
身の回り品|みのまわりひん|personal effects
実行関税率表|じっこうかんぜいりつひょう|customs tariff schedules of Japan
杭打設|くいうちせつ|pile-driving
謎めく|なぞめく|to be enigmatic or puzzling; to be wrapped in mystery
ブロワー||blower
警察官職務執行法|けいさつかんしょくむしっこうほう|police execution of duties law
騙し|だまし|deceiving; cheating; fooling
ＴＰＯ|ティーピーオー|time, place, occasion; being able to exploit an opportunity
腫らす|はらす|to cause to swell; to inflame
住民監査請求|じゅうみんかんさせいきゅう|resident audit request to local government authority
中屋敷|なかやしき|daimyo's spare residence or emergency refuge
中屋敷|なかやしき|residence of a daimyo's successor
財政調整基金|ざいせいちょうせいききん|financial adjustment monies; public finance adjustment reserve funds stipulated in the Local Finance Act
貯金帳|ちょきんちょう|bank book
大したことない|たいしたことない|trivial; not amounting to much
大した事ない|たいしたことない|trivial; not amounting to much
大したこと無い|たいしたことない|trivial; not amounting to much
大した事無い|たいしたことない|trivial; not amounting to much
オール電化|オールでんか|all-electric (e.g. heating)
あいた口が塞がらぬ|あいたくちがふさがらぬ|surprising; shocking; jaw-dropping
開いた口が塞がらぬ|あいたくちがふさがらぬ|surprising; shocking; jaw-dropping
あいた口も塞がらぬ|あいたくちもふさがらぬ|surprising; shocking; jaw-dropping
開いた口も塞がらぬ|あいたくちもふさがらぬ|surprising; shocking; jaw-dropping
ケサランパサラン||flock from a vine-seed weed, used for face powder, and believed to promote desire and happiness
ケサランパサラン||animal from popular folklore with a white fluffy down made from dandelions and a rabbit's tail resembling a fluffy hairball
ケセランパセラン||flock from a vine-seed weed, used for face powder, and believed to promote desire and happiness
ケセランパセラン||animal from popular folklore with a white fluffy down made from dandelions and a rabbit's tail resembling a fluffy hairball
ケセランパサラン||flock from a vine-seed weed, used for face powder, and believed to promote desire and happiness
ケセランパサラン||animal from popular folklore with a white fluffy down made from dandelions and a rabbit's tail resembling a fluffy hairball
テンサラバサラ||flock from a vine-seed weed, used for face powder, and believed to promote desire and happiness
テンサラバサラ||animal from popular folklore with a white fluffy down made from dandelions and a rabbit's tail resembling a fluffy hairball
不審者|ふしんしゃ|suspicious person
入国審査官|にゅうこくしんさかん|immigration officer; immigration investigation officials
入国申告書|にゅうこくしんこくしょ|disembarkation card
何から何まで|なにからなにまで|anything and everything; from top to toe; from A to Z
何から何迄|なにからなにまで|anything and everything; from top to toe; from A to Z
ゴロ新聞|ゴロしんぶん|racketeering newspaper; journal that demands money in return for favourable articles
無教会|むきょうかい|non-denominational; churchless
溶け込み|とけこみ|integration (e.g. social); mixing; penetration
改善点|かいぜんてん|points of improvement; improved areas
改善点|かいぜんてん|points needing improvement; problem areas
考えすぎる|かんがえすぎる|to think too much; to be over-concerned
考え過ぎる|かんがえすぎる|to think too much; to be over-concerned
考えすぎ|かんがえすぎ|overthinking
考え過ぎ|かんがえすぎ|overthinking
守護竜|しゅごりゅう|guardian dragon
守護龍|しゅごりゅう|guardian dragon
聖獣|せいじゅう|sacred beast
受信箱|じゅしんばこ|in-box (e.g. for received e-mail); inbox; in-tray
独立行政法人|どくりつぎょうせいほうじん|independent administrative corporation (institution, agency)
円形交差点|えんけいこうさてん|roundabout; traffic circle; rotary
セルビッチ||selvage (traditional method of denim weaving)
為せば成る|なせばなる|if you have a mind to do something, you can do it; if you do, it will become ...; where there is a will...
なせば成る|なせばなる|if you have a mind to do something, you can do it; if you do, it will become ...; where there is a will...
外交史|がいこうし|history of diplomacy; history of foreign policy
頭が変|あたまがへん|crazy; disturbed; mad
頭が変になる|あたまがへんになる|to go crazy; to go off one's head
フッター||footer (page, file, etc.)
フッタ||footer (page, file, etc.)
ホウ酸だんご|ホウさんだんご|type of poisonous cockroach bait
ホウサンダンゴ||type of poisonous cockroach bait
探偵団|たんていだん|detective team
探偵団|たんていだん|study group; club
世界地図|せかいちず|world map
外国生活|がいこくせいかつ|life in a foreign country; living abroad
百合鴎|ゆりかもめ|black-headed gull (Chroicocephalus ridibundus); hooded gull
ユリカモメ||black-headed gull (Chroicocephalus ridibundus); hooded gull
笑い川蝉|わらいかわせみ|laughing kookaburra (Dacelo novaeguineae)
笑い翡翠|わらいかわせみ|laughing kookaburra (Dacelo novaeguineae)
笑翡翠|わらいかわせみ|laughing kookaburra (Dacelo novaeguineae)
ワライカワセミ||laughing kookaburra (Dacelo novaeguineae)
笑い鴎|わらいかもめ|laughing gull (Leucophaeus atricilla)
ワライカモメ||laughing gull (Leucophaeus atricilla)
大学制度|だいがくせいど|university system
新制度|しんせいど|new system
自由人|じゆうじん|free person; free spirit; son of freedom
自由世界|じゆうせかい|Free World
自由画|じゆうが|free drawing
一年ごと|いちねんごと|every (one) year
一年毎|いちねんごと|every (one) year
人ごと|ひとごと|with each person; with everyone
人毎|ひとごと|with each person; with everyone
女子部|じょしぶ|girls' or women's division or section
五分|ごぶん|to divide into five parts
五分|ごふん|five minutes
港区|みなとく|Harbour Ward (e.g. in Tokyo)
総集編|そうしゅうへん|highlights; summary; compilation
条件変数|じょうけんへんすう|conditional variable
女体盛り|にょたいもり|practice of eating sushi or sashimi off an unclad woman's body
有用微生物群|ゆうようびせいぶつぐん|effective microorganisms; EM
大爆笑|だいばくしょう|very loud laugh; explosive laughter
バイオ技術|バイオぎじゅつ|biotechnology
外科手術|げかしゅじゅつ|surgery; surgical procedure
数種|すうしゅ|several varieties; poly-
柔|やわ|soft; fragile; weak; poorly built; insubstantial
和|やわ|soft; fragile; weak; poorly built; insubstantial
ヤワ||soft; fragile; weak; poorly built; insubstantial
精げる|しらげる|to polish (rice); to refine; to purify
白げる|しらげる|to polish (rice); to refine; to purify
鉄アレイ|てつアレイ|(iron) dumbbells; (pair) of dumbbells
鉄亜鈴|てつあれい|(iron) dumbbells; (pair) of dumbbells
シャブ||stimulant; pep-pill; upper; speed
睦ぶ|むつぶ|to be harmonious; to get on well; to be intimate or close
睦む|むつむ|to be harmonious; to get on well; to be intimate or close
ガオー||roar; sound made by monsters
ガーガー||quack (sound made by ducks); braak
カーカー||caw caw; sound made by crows
カーカー||crow
かあかあ||caw caw; sound made by crows
かあかあ||crow
かーかー||caw caw; sound made by crows
かーかー||crow
モーモー||moo (sound made by cattle); moo-cow
メーメー||baa (sound made by sheep); meh
メエメエ||baa (sound made by sheep); meh
こけこっこう||cock-a-doodle-doo (sound made by cockerels, roosters)
こけこっこう||cockerel; rooster (childish term)
こけこっこー||cock-a-doodle-doo (sound made by cockerels, roosters)
こけこっこー||cockerel; rooster (childish term)
コケコッコー||cock-a-doodle-doo (sound made by cockerels, roosters)
コケコッコー||cockerel; rooster (childish term)
こけっこう||cock-a-doodle-doo (sound made by cockerels, roosters)
こけっこう||cockerel; rooster (childish term)
こけこっこ||cock-a-doodle-doo (sound made by cockerels, roosters)
こけこっこ||cockerel; rooster (childish term)
イーイーカメラ||electric-eye camera
イグニッション||ignition
ウエルター級|ウエルターきゅう|welterweight class (boxing)
エクスポ||expo; (international) exposition
エタン||ethane
エチル||ethyl
金雀児|えにしだ|common broom (Cytisus scoparius, Genista scoparia); Scotch broom; English broom
金雀枝|えにしだ|common broom (Cytisus scoparius, Genista scoparia); Scotch broom; English broom
エニシダ||common broom (Cytisus scoparius, Genista scoparia); Scotch broom; English broom
エミュー||emu (Dromaius novaehollandiae)
エルエスアイ||large scale integrated circuit; LSI
ＬＬ|エルエル|language laboratory; LL
ＬＰ|エルピー|long-play (record); long-playing; LP
ＬＰ|エルピー|linear programming
ＬＰ|エルピー|line printer
ＬＰ|エルピー|laser printer
ＬＰ|エルピー|Liberal Party
オーケストレーション||orchestration
オート三輪|オートさんりん|three-wheeler vehicle
オールスター||all-star (cast)
オール・スター||all-star (cast)
オーレオマイシン||Aureomycin (chlortetracycline)
オウンゴール||own goal
オウン・ゴール||own goal
オキシドール||(hydrogen) peroxide (solution)
オスマントルコ||Ottoman Turkey
オスマン・トルコ||Ottoman Turkey
オリーブ||olive
オリーヴ||olive
オリブ||olive
カートン||carton (e.g. of cigarettes)
カートン||tray (in which money is placed when paying); dish
カルトン||carton (e.g. of cigarettes)
カルトン||tray (in which money is placed when paying); dish
カルトン||pasteboard
カーバイド||carbide
カーバイド||(calcium) carbide
カ氏|カし|Fahrenheit
華氏|かし|Fahrenheit
カイゼル髭|カイゼルひげ|handlebar mustache
カスタード||custard
カットバック||cutback
カドリール||quadrille
カドリーユ||quadrille
カドリユ||quadrille
キャラコ||calico
金巾|かなきん|canequim; unbleached muslin; calico
カナキン||canequim; unbleached muslin; calico
お色直し|おいろなおし|changing one's dress (e.g. at the wedding reception)
御色直し|おいろなおし|changing one's dress (e.g. at the wedding reception)
黄綬褒章|おうじゅほうしょう|Medal with Yellow Ribbon (outstanding service)
横列|おうれつ|rank (e.g. of soldiers)
大欠伸|おおあくび|big yawn
大あくび|おおあくび|big yawn
覆い被さる|おおいかぶさる|to hang over; to cover
覆い被さる|おおいかぶさる|to fall upon someone (responsibility, burden, pressure, etc.)
覆い被さる|おいかぶさる|to hang over; to cover
覆い被さる|おいかぶさる|to fall upon someone (responsibility, burden, pressure, etc.)
覆いかぶさる|おおいかぶさる|to hang over; to cover
覆いかぶさる|おおいかぶさる|to fall upon someone (responsibility, burden, pressure, etc.)
覆いかぶさる|おいかぶさる|to hang over; to cover
覆いかぶさる|おいかぶさる|to fall upon someone (responsibility, burden, pressure, etc.)
覆い被せる|おおいかぶせる|to cover up with something
覆いかぶせる|おおいかぶせる|to cover up with something
大鬼蓮|おおおにばす|royal water lily; water platter
大きく|おおきく|in a big way; on a grand scale
大きめ|おおきめ|largish; biggish; a little bit larger
大き目|おおきめ|largish; biggish; a little bit larger
大違い|おおちがい|great difference
大違い|おおちがい|major mistake
大トロ|おおトロ|fat under-belly of tuna (considered high-quality)
大とろ|おおとろ|fat under-belly of tuna (considered high-quality)
大盤|おおばん|demonstration board (for Go, Shougi, etc.)
大盤振る舞い|おおばんぶるまい|lavish feast; splendid banquet
大盤振る舞い|おおばんぶるまい|corporate largess; lavish hospitality
大盤振る舞い|おうばんぶるまい|lavish feast; splendid banquet
大盤振る舞い|おうばんぶるまい|corporate largess; lavish hospitality
大盤振る舞い|おおばんふるまい|lavish feast; splendid banquet
大盤振る舞い|おおばんふるまい|corporate largess; lavish hospitality
大盤振舞|おおばんぶるまい|lavish feast; splendid banquet
大盤振舞|おおばんぶるまい|corporate largess; lavish hospitality
大盤振舞|おうばんぶるまい|lavish feast; splendid banquet
大盤振舞|おうばんぶるまい|corporate largess; lavish hospitality
大盤振舞い|おおばんぶるまい|lavish feast; splendid banquet
大盤振舞い|おおばんぶるまい|corporate largess; lavish hospitality
大盤振舞い|おうばんぶるまい|lavish feast; splendid banquet
大盤振舞い|おうばんぶるまい|corporate largess; lavish hospitality
大盤振舞い|おおばんふるまい|lavish feast; splendid banquet
大盤振舞い|おおばんふるまい|corporate largess; lavish hospitality
椀飯振る舞い|おうばんぶるまい|lavish feast; splendid banquet
椀飯振る舞い|おうばんぶるまい|corporate largess; lavish hospitality
椀飯振舞|おうばんぶるまい|lavish feast; splendid banquet
椀飯振舞|おうばんぶるまい|corporate largess; lavish hospitality
大紫|おおむらさき|giant purple butterfly (species of nymphalid butterfly, Sasakia charonda)
大紫|おおむらさき|Rhododendron oomurasaki (species of purple azalea)
オオムラサキ||giant purple butterfly (species of nymphalid butterfly, Sasakia charonda)
オオムラサキ||Rhododendron oomurasaki (species of purple azalea)
ヘビードリンカー||heavy drinker
ヘビー・ドリンカー||heavy drinker
準ミリ波|じゅんミリは|near millimeter wave; submillimeter wave
賭博師|とばくし|gambler; gamester
投機師|とうきし|adventurer; speculator
細工師|さいくし|craftsman; artisan
チューチュー||squeak (sound made by a mouse); cheep; peep
電食|でんしょく|electrolytic corrosion
電喰|でんしょく|electrolytic corrosion
烏兎匆々|うとそうそう|days and nights passing by quickly; months and years flying by; Time flies
烏兎匆匆|うとそうそう|days and nights passing by quickly; months and years flying by; Time flies
掩護射撃|えんごしゃげき|(providing) covering fire
掩護射撃|えんごしゃげき|supporting (backing up) someone (in a debate or argument)
援護射撃|えんごしゃげき|(providing) covering fire
援護射撃|えんごしゃげき|supporting (backing up) someone (in a debate or argument)
厭離穢土|えんりえど|abhorrence of (living in) this impure world
厭離穢土|おんりえど|abhorrence of (living in) this impure world
御手許金|おてもときん|the privy purse; the money used for private purposes by the members of the Imperial family
お手元金|おてもときん|the privy purse; the money used for private purposes by the members of the Imperial family
お役御免|おやくごめん|dismissal; firing; retirement; being relieved from one's post; being relieved of a burden
お役ご免|おやくごめん|dismissal; firing; retirement; being relieved from one's post; being relieved of a burden
お役ごめん|おやくごめん|dismissal; firing; retirement; being relieved from one's post; being relieved of a burden
御役御免|おやくごめん|dismissal; firing; retirement; being relieved from one's post; being relieved of a burden
御役ごめん|おやくごめん|dismissal; firing; retirement; being relieved from one's post; being relieved of a burden
御役ご免|おやくごめん|dismissal; firing; retirement; being relieved from one's post; being relieved of a burden
家事見習|かじみならい|apprenticeship in the running of a household; prospective bride who undertakes an apprenticeship to learn housekeeping
家事見習い|かじみならい|apprenticeship in the running of a household; prospective bride who undertakes an apprenticeship to learn housekeeping
活溌溌地|かっぱつはっち|being full of vitality (energy); vigorous and in high spirits
活溌溌地|かっぱつぱっち|being full of vitality (energy); vigorous and in high spirits
活発発地|かっぱつはっち|being full of vitality (energy); vigorous and in high spirits
活発発地|かっぱつぱっち|being full of vitality (energy); vigorous and in high spirits
寒気凛々|かんきりんりん|it (the weather) being piercing (bitterly) cold
寒気凛凛|かんきりんりん|it (the weather) being piercing (bitterly) cold
寒中見舞|かんちゅうみまい|winter greeting card; inquiring after someone's health in the cold season
寒中見舞い|かんちゅうみまい|winter greeting card; inquiring after someone's health in the cold season
奸佞邪知|かんねいじゃち|wiles and cunning; craftiness and treachery
奸佞邪智|かんねいじゃち|wiles and cunning; craftiness and treachery
鬼哭啾々|きこくしゅうしゅう|spine-chilling (hair-raising) (like the wailing and weeping of a restless ghost)
鬼哭啾啾|きこくしゅうしゅう|spine-chilling (hair-raising) (like the wailing and weeping of a restless ghost)
気骨稜々|きこつりょうりょう|(a person with) strong moral fiber (backbone, determination)
気骨稜稜|きこつりょうりょう|(a person with) strong moral fiber (backbone, determination)
旗鼓堂々|きこどうどう|with colors flying and band playing; triumphantly; in splendid array
旗鼓堂堂|きこどうどう|with colors flying and band playing; triumphantly; in splendid array
貴賤上下|きせんしょうか|high and low; (people of) all ranks and classes
貴賤上下|きせんじょうげ|high and low; (people of) all ranks and classes
びっくり仰天|びっくりぎょうてん|astonished; stunned; startled out of one's wits; thunderstruck; open-eyed astonishment
吃驚仰天|びっくりぎょうてん|astonished; stunned; startled out of one's wits; thunderstruck; open-eyed astonishment
吃驚仰天|きっきょうぎょうてん|astonished; stunned; startled out of one's wits; thunderstruck; open-eyed astonishment
九牛一毛|きゅうぎゅういちもう|a drop in the bucket (ocean); a small fraction (of); trifle
九牛一毛|きゅうぎゅうのいちもう|a drop in the bucket (ocean); a small fraction (of); trifle
虚実混交|きょじつこんこう|mishmash of truth and untruth; mixture of fiction and fact
虚実混淆|きょじつこんこう|mishmash of truth and untruth; mixture of fiction and fact
金甌無欠|きんおうむけつ|flawless; perfect
金甌無欠|きんおうむけつ|(a nation) having never been invaded by outside forces
金甌無欠|きんのうむけつ|flawless; perfect
金甌無欠|きんのうむけつ|(a nation) having never been invaded by outside forces
金口木舌|きんこうぼくぜつ|(public) opinion leader
金口木舌|きんこうもくぜつ|(public) opinion leader
筋骨隆々|きんこつりゅうりゅう|muscular; strong-muscled
筋骨隆隆|きんこつりゅうりゅう|muscular; strong-muscled
空々寂々|くうくうじゃくじゃく|deserted and lonesome; quiet and alone; innocent and nonattached; All is void
空空寂寂|くうくうじゃくじゃく|deserted and lonesome; quiet and alone; innocent and nonattached; All is void
言々句々|げんげんくく|every single word and phrase; each and every word
言言句句|げんげんくく|every single word and phrase; each and every word
拳々服膺|けんけんふくよう|firmly bear in mind; have something engraved on one's mind (heart)
拳拳服膺|けんけんふくよう|firmly bear in mind; have something engraved on one's mind (heart)
現世利益|げんせりやく|benefits gained in this world through observance of the Buddhist teachings; happiness gained in this world through observance of the Buddhist teachings
現世利益|げんぜりやく|benefits gained in this world through observance of the Buddhist teachings; happiness gained in this world through observance of the Buddhist teachings
巻土重来|けんどじゅうらい|recouping one's strength for a renewed attack (on); making another attempt with redoubled efforts
巻土重来|けんどちょうらい|recouping one's strength for a renewed attack (on); making another attempt with redoubled efforts
捲土重来|けんどじゅうらい|recouping one's strength for a renewed attack (on); making another attempt with redoubled efforts
捲土重来|けんどちょうらい|recouping one's strength for a renewed attack (on); making another attempt with redoubled efforts
けん土重来|けんどじゅうらい|recouping one's strength for a renewed attack (on); making another attempt with redoubled efforts
けん土重来|けんどちょうらい|recouping one's strength for a renewed attack (on); making another attempt with redoubled efforts
好評嘖々|こうひょうさくさく|enjoying great popularity; receiving widespread high praise; being a great success with the public
好評嘖嘖|こうひょうさくさく|enjoying great popularity; receiving widespread high praise; being a great success with the public
乞食坊主|こじきぼうず|Buddhist monk
乞食坊主|こつじきぼうず|Buddhist monk
歳々年々|さいさいねんねん|annually; every year; year in and year out; from year to year
歳歳年年|さいさいねんねん|annually; every year; year in and year out; from year to year
一昨々年|さきおととし|two years before last (year); three years back (ago)
一昨々年|さおととし|two years before last (year); three years back (ago)
一昨々年|さいととし|two years before last (year); three years back (ago)
一昨々年|いっさくさくねん|two years before last (year); three years back (ago)
一昨昨年|さきおととし|two years before last (year); three years back (ago)
