卵泡立て器|たまごあわだてき|egg beater
夾竹桃|きょうちくとう|oleander; Nerium oleander var. indicum; rosebay
奕|えき|playing the game of go
奕世|えきせい|many generations
奢る|おごる|to give (someone) a treat
奢る|おごる|to be extravagant; to live luxuriously
奢る|おごる|to be proud; to be haughty
傲る|おごる|to give (someone) a treat
傲る|おごる|to be extravagant; to live luxuriously
傲る|おごる|to be proud; to be haughty
驕る|おごる|to give (someone) a treat
驕る|おごる|to be extravagant; to live luxuriously
驕る|おごる|to be proud; to be haughty
奢侈|しゃし|luxury; extravagance
奠都|てんと|transferring the capital
奸計|かんけい|trick; evil design; sharp practice
姦計|かんけい|trick; evil design; sharp practice
佞|ねい|flattery; insincerity
佞悪|ねいあく|perverseness; perverse person
佞者|ねいしゃ|smooth talker; crafty person
佞臣|ねいしん|crafty courtier; traitor
佞人|ねいじん|flatterer; smooth talker; crafty person
佞智|ねいち|craftiness
佞弁|ねいべん|flattery; cajolery; adulation
娑婆|しゃば|this world; this life
娑婆|しゃば|the free world (outside of prison, the army, red light district, etc.)
娑婆|しゃば|this corrupt world; present world
婉曲|えんきょく|euphemistic; circumlocutory; roundabout; indirect
媚|こび|flattery; cajolery; flirtation
媚び|こび|flattery; cajolery; flirtation
媚びる|こびる|to flatter; to curry favor with; to curry favour with; to fawn on; to butter up to
媚びる|こびる|to flirt with (woman with a man); to make eyes at (a man)
媚る|こびる|to flatter; to curry favor with; to curry favour with; to fawn on; to butter up to
媚る|こびる|to flirt with (woman with a man); to make eyes at (a man)
媚態|びたい|coquetry
媚薬|びやく|aphrodisiac
媚薬|びやく|love potion; philter
嫋か|しなやか|supple; flexible; elastic
嫋か|しなやか|graceful; elegant; refined
靭やか|しなやか|supple; flexible; elastic
靭やか|しなやか|graceful; elegant; refined
嬌姿|きょうし|lovely figure
嬌笑|きょうしょう|charming smile
嬌声|きょうせい|coquettish voice; flirtatious voice
嬌名|きょうめい|reputation for beauty
嬌羞|きょうしゅう|charming and coy
嬲る|なぶる|to tease; to make fun of; to make sport of
嬲る|なぶる|to torment; to blame; to persecute
嬲る|なぶる|to tamper
嬶天下|かかあでんか|extremely overbearing wife
何れ|いずれ|where; which; who
何れ|いずれ|anyway; anyhow; at any rate
何れ|いずれ|sooner or later; eventually; one of these days; at some future date or time
何れ|いずれ|both; either; any; all; whichever
何れ|いづれ|where; which; who
何れ|いづれ|anyway; anyhow; at any rate
何れ|いづれ|sooner or later; eventually; one of these days; at some future date or time
何れ|いづれ|both; either; any; all; whichever
孰れ|いずれ|where; which; who
孰れ|いずれ|anyway; anyhow; at any rate
孰れ|いずれ|sooner or later; eventually; one of these days; at some future date or time
孰れ|いずれ|both; either; any; all; whichever
孰れ|いづれ|where; which; who
孰れ|いづれ|anyway; anyhow; at any rate
孰れ|いづれ|sooner or later; eventually; one of these days; at some future date or time
孰れ|いづれ|both; either; any; all; whichever
孵す|かえす|to hatch; to incubate
孵る|かえる|to hatch out
孵化|ふか|incubation; hatching
ふ化|ふか|incubation; hatching
孵化器|ふかき|incubator
孵卵|ふらん|incubation; hatching
ふ卵|ふらん|incubation; hatching
孵卵器|ふらんき|incubator
宦官|かんがん|eunuch
尨|むく|shaggy hair
尨|むく|shaggy dog
むく犬|むくいぬ|shaggy dog
ムク犬|ムクいぬ|shaggy dog
尨犬|むくいぬ|shaggy dog
尨毛|むくげ|shaggy hair
尨毛|むくげ|downy hair; fluff
毳|むくげ|shaggy hair
毳|むくげ|downy hair; fluff
尹|いん|director (of the ritsuryo-period Imperial Prosecuting and Investigating Office)
屁と火事はもとから騒ぐ|へとかじはもとからさわぐ|it is often the originator of problems who kicks up a fuss or complains loudest
屁をひって尻窄め|へをひってしりつぼめ|there is no use shutting the stable door after the horse has bolted; squeezing your buttocks after you have farted
屁理屈|へりくつ|sophism; quibble; hair-splitting; argument for argument's sake; cavil; frivolous objections
し尿|しにょう|excreta; raw sewage; human waste; night soil
屎尿|しにょう|excreta; raw sewage; human waste; night soil
屏居|へいきょ|living in retirement
屏息|へいそく|bated breath; being cowed into silence
閉息|へいそく|bated breath; being cowed into silence
屏風|びょうぶ|folding screen
屏風岩|びょうぶいわ|sheer cliff
嵌める|はめる|to insert; to put in (such that there is a snug fit); to button; to put on (something that envelops, e.g. gloves, ring)
嵌める|はめる|to have sex; to fuck
嵌める|はめる|to pigeonhole (into a particular category)
嵌める|はめる|to place a ring-shaped object around something (esp. one that restricts freedom, such as handcuffs)
嵌める|はめる|to entrap; to set someone up (e.g. frame them for a crime, etc.)
填める|はめる|to insert; to put in (such that there is a snug fit); to button; to put on (something that envelops, e.g. gloves, ring)
填める|はめる|to have sex; to fuck
填める|はめる|to pigeonhole (into a particular category)
填める|はめる|to place a ring-shaped object around something (esp. one that restricts freedom, such as handcuffs)
填める|はめる|to entrap; to set someone up (e.g. frame them for a crime, etc.)
篏める|はめる|to insert; to put in (such that there is a snug fit); to button; to put on (something that envelops, e.g. gloves, ring)
篏める|はめる|to have sex; to fuck
篏める|はめる|to pigeonhole (into a particular category)
篏める|はめる|to place a ring-shaped object around something (esp. one that restricts freedom, such as handcuffs)
篏める|はめる|to entrap; to set someone up (e.g. frame them for a crime, etc.)
塡める|はめる|to insert; to put in (such that there is a snug fit); to button; to put on (something that envelops, e.g. gloves, ring)
塡める|はめる|to have sex; to fuck
塡める|はめる|to pigeonhole (into a particular category)
塡める|はめる|to place a ring-shaped object around something (esp. one that restricts freedom, such as handcuffs)
塡める|はめる|to entrap; to set someone up (e.g. frame them for a crime, etc.)
はめ込む|はめこむ|to inlay; to insert; to set
はめ込む|はめこむ|to plug in (to a formula); to immerse
はめ込む|はめこむ|to trick; to deceive
嵌め込む|はめこむ|to inlay; to insert; to set
嵌め込む|はめこむ|to plug in (to a formula); to immerse
嵌め込む|はめこむ|to trick; to deceive
填め込む|はめこむ|to inlay; to insert; to set
填め込む|はめこむ|to plug in (to a formula); to immerse
填め込む|はめこむ|to trick; to deceive
嵌めこむ|はめこむ|to inlay; to insert; to set
嵌めこむ|はめこむ|to plug in (to a formula); to immerse
嵌めこむ|はめこむ|to trick; to deceive
填めこむ|はめこむ|to inlay; to insert; to set
填めこむ|はめこむ|to plug in (to a formula); to immerse
填めこむ|はめこむ|to trick; to deceive
巫|かんなぎ|medium; diviner; shaman; oracle
覡|かんなぎ|medium; diviner; shaman; oracle
神なぎ|かんなぎ|medium; diviner; shaman; oracle
神和ぎ|かんなぎ|medium; diviner; shaman; oracle
神薙ぎ|かんなぎ|medium; diviner; shaman; oracle
神凪|かんなぎ|medium; diviner; shaman; oracle
巫山戯る|ふざける|to joke; to jest; to kid; to josh
巫山戯る|ふざける|to make fun of; to laugh at; to play a prank
巫山戯る|ふざける|to romp; to gambol; to frolic; to frisk; to mess around; to fool around; to screw around
巫山戯る|ふざける|to neck; to make out
巫者|ふしゃ|virgin consecrated to a deity; shrine maiden; (spiritualistic) medium
巫術|ふじゅつ|shamanism
巫女寄せ|みこよせ|spiritism; necromancy; sorcery
止む無く|やむなく|reluctantly; unwillingly; unavoidably; out of necessity
已む無く|やむなく|reluctantly; unwillingly; unavoidably; out of necessity
止むなく|やむなく|reluctantly; unwillingly; unavoidably; out of necessity
已むなく|やむなく|reluctantly; unwillingly; unavoidably; out of necessity
箒|ほうき|broom
帚|ほうき|broom
帷子|かたびら|light, thin, single-layer kimono (esp. from hemp or raw silk, for summer use)
帷子|かたびら|shroud; burial clothes
帷帳|いちょう|curtain
帷幕|いばく|curtain; field staff headquarters; secret meeting place
帷幄|いあく|headquarters; general staff
帷幄の臣|いあくのしん|close adviser; close advisor
帷幄上奏|いあくじょうそう|direct appeal to the throne by the military
幄舎|あくしゃ|pavilion
幔幕|まんまく|curtain; drapery
幇助|ほうじょ|assistance; backing; support
幇助|ほうじょ|aiding and abetting (a crime); abetment
ほう助|ほうじょ|assistance; backing; support
ほう助|ほうじょ|aiding and abetting (a crime); abetment
并合|へいごう|annexation; amalgamation; merger
廐肥|きゅうひ|manure; compost
厩肥|きゅうひ|manure; compost
廏肥|きゅうひ|manure; compost
弩級|どきゅう|dreadnought (dreadnaught) class of warship
彎月|わんげつ|crescent
彎月状|わんげつじょう|crescent shape
彗星|すいせい|comet
すい星|すいせい|comet
彗星のように現れる|すいせいのようにあらわれる|to become famous overnight; to burst into fame
彙報|いほう|bulletin; collection of reports
彷彿|ほうふつ|close resemblance; vivid reminder (e.g. of the past)
髣髴|ほうふつ|close resemblance; vivid reminder (e.g. of the past)
彷徨|ほうこう|wandering; rambling; roaming
彷徨う|さまよう|to loiter; to putter; to prowl; to wander about; to roam about; to knock around
さ迷う|さまよう|to loiter; to putter; to prowl; to wander about; to roam about; to knock around
彷徨く|うろつく|to loiter; to putter; to prowl; to wander aimlessly; to knock around; to hang around
彷徨く|うろつく|to be confused from not knowing what to do
ウロつく||to loiter; to putter; to prowl; to wander aimlessly; to knock around; to hang around
ウロつく||to be confused from not knowing what to do
忖度|そんたく|surmise (about somebody's feelings); guess; conjecture
忸怩|じくじ|bashful; shameful; ashamed
忝い|かたじけない|grateful; indebted
辱い|かたじけない|grateful; indebted
忝くも|かたじけなくも|graciously
忝涙|かたじけなみだ|tears of gratitude
恍惚|こうこつ|ecstasy; trance
恣意|しい|arbitrariness
肆意|しい|arbitrariness
恣意的|しいてき|arbitrary
恫喝|どうかつ|intimidation; threat; bluster
恙虫|つつがむし|chigger; jigger; harvest mite (any mite of family Trombiculidae)
ツツガムシ||chigger; jigger; harvest mite (any mite of family Trombiculidae)
悄気る|しょげる|to be dispirited; to be dejected; to be disheartened; to lose heart
しょげ込む|しょげこむ|to be utterly disheartened
悄気込む|しょげこむ|to be utterly disheartened
慇懃|いんぎん|courtesy; intimacy; friendship
慇懃無礼|いんぎんぶれい|hypocritical courtesy; superficially polite but rude in intent
慄然|りつぜん|terrified; horrified
りつ然|りつぜん|terrified; horrified
慟哭|どうこく|wailing; lamentation
憔悴|しょうすい|emaciation; haggardness; wasting away
憔悴|しょうすい|exhaustion; tiredness
憑く|つく|to possess; to haunt
憑依|ひょうい|dependence; depending on
憑依|ひょうい|possession (by a spirit, etc.)
憑拠|ひょうきょ|basis; foundation; reliance
憑き物|つきもの|evil spirit; demon
つき物|つきもの|evil spirit; demon
憑物|つきもの|evil spirit; demon
憮然|ぶぜん|disappointed; dejected; disheartened; glum; astonished; dumbfounded
憮然|ぶぜん|indignant; angry
ぶ然|ぶぜん|disappointed; dejected; disheartened; glum; astonished; dumbfounded
ぶ然|ぶぜん|indignant; angry
罹患|りかん|contracting a disease
羅患|りかん|contracting a disease
罹災|りさい|suffering (from a calamity); affliction
り災|りさい|suffering (from a calamity); affliction
罹災者|りさいしゃ|victims; sufferers
罹災民|りさいみん|victims; sufferers
罹病|りびょう|contraction of a disease; morbidity
戌|いぬ|eleventh sign of Chinese zodiac (The Dog, 7pm-9pm, west-northwest, September)
戌年|いぬどし|year of the dog
いぬ年|いぬどし|year of the dog
戛然|かつぜん|the sound of striking something hard
かっ飛ばす|かっとばす|to knock out (e.g. homer); to slam; to send flying (e.g. a ball); to wallop (someone)
戛飛ばす|かっとばす|to knock out (e.g. homer); to slam; to send flying (e.g. a ball); to wallop (someone)
截拳道|ジークンドー|Jeet Kune Do; Way of the Intercepting Fist (martial art founded by Bruce Lee)
截然|せつぜん|clear; sharp; distinct; distinctive
截然|さいぜん|clear; sharp; distinct; distinctive
截断面|せつだんめん|transverse section
扁額|へんがく|framed picture or motto (usu. horizontal, hung over gates or lintels)
扁舟|へんしゅう|skiff; little boat
扁青石|へんせいせき|lapis lazuli
扁桃|へんとう|sweet almond (Prunus dulcis)
扁桃|へんとう|tonsil
扁桃腺|へんとうせん|tonsils
扁桃腺|へんとうせん|tonsillitis
扁桃腺炎|へんとうせんえん|tonsillitis
扁桃油|へんとうゆ|almond oil
扁平|へんぺい|flatness
偏平|へんぺい|flatness
扁平足|へんぺいそく|flatfoot; splayfoot
偏平足|へんぺいそく|flatfoot; splayfoot
抓る|つねる|to pinch
捩じくれる|ねじくれる|to curve; to twist
捩じくれる|ねじくれる|to be contrary; to be uncooperative; to be rebellious
拗じくれる|ねじくれる|to curve; to twist
拗じくれる|ねじくれる|to be contrary; to be uncooperative; to be rebellious
捻じくれる|ねじくれる|to curve; to twist
捻じくれる|ねじくれる|to be contrary; to be uncooperative; to be rebellious
拗ける|ねじける|to curve; to twist; to be rebellious
拗ねる|すねる|to be peevish; to sulk; to pout
拗れる|こじれる|to get complicated; to grow worse; to turn sour
拗音|ようおん|contracted sound; palatalised sound (e.g. Japanese morae with small kana)
拿捕|だほ|capture; seizure
拿捕|だほ|military capture of a foreign vessel; making a prize of
だ捕|だほ|capture; seizure
だ捕|だほ|military capture of a foreign vessel; making a prize of
拏捕|だほ|capture; seizure
拏捕|だほ|military capture of a foreign vessel; making a prize of
拇印|ぼいん|thumb print
拇指|ぼし|thumb; pollex
母指|ぼし|thumb; pollex
栂指|ぼし|thumb; pollex
拉致|らち|taking captive; carrying away; kidnapping; kidnaping; abduction
拮抗|きっこう|rivalry; competition; antagonism; struggle for supremacy
頡頏|きっこう|rivalry; competition; antagonism; struggle for supremacy
頡頏|けっこう|rivalry; competition; antagonism; struggle for supremacy
頡頏|けっこう|rising and falling (of a bird)
拱手|きょうしゅ|folding one's arms; being idle
拵える|こしらえる|to make; to manufacture
拵える|こさえる|to make; to manufacture
捏ね|つくね|chicken or fish meatloaf made with egg
捏ねる|こねる|to knead; to mix with fingers
捏ねる|こねる|to quibble; to argue for argument's sake
捏造|ねつぞう|fabrication; forgery; falsehood; hoax
ねつ造|ねつぞう|fabrication; forgery; falsehood; hoax
掣肘|せいちゅう|restraint; restriction; control
掏る|する|to pick someone's pocket
掏摸|すり|pickpocket
掏児|すり|pickpocket
スリ||pickpocket
掟|おきて|law; regulation; rule; code; agreement; arrangement; compact
捩じ開ける|ねじあける|to wrench open
捩開ける|ねじあける|to wrench open
ねじ曲げる|ねじまげる|to twist; to distort
捻じ曲げる|ねじまげる|to twist; to distort
捩じ曲げる|ねじまげる|to twist; to distort
捩曲げる|ねじまげる|to twist; to distort
捻曲げる|ねじまげる|to twist; to distort
捩じ込む|ねじこむ|to screw in
捩じ込む|ねじこむ|to thrust into; to push into; to shove into
捩じ込む|ねじこむ|to protest (and seek rectification); to complain
捩込む|ねじこむ|to screw in
捩込む|ねじこむ|to thrust into; to push into; to shove into
捩込む|ねじこむ|to protest (and seek rectification); to complain
ねじ込む|ねじこむ|to screw in
ねじ込む|ねじこむ|to thrust into; to push into; to shove into
ねじ込む|ねじこむ|to protest (and seek rectification); to complain
捩じ取る|ねじとる|to wring off; to wrest from
捩じ上げる|ねじあげる|to twist hard
捩上げる|ねじあげる|to twist hard
ねじ切る|ねじきる|to twist off
捩じ切る|ねじきる|to twist off
捩切る|ねじきる|to twist off
揉み合う|もみあう|to jostle; to shove and push; to struggle with one another
もみ合う|もみあう|to jostle; to shove and push; to struggle with one another
揉合う|もみあう|to jostle; to shove and push; to struggle with one another
揉み手|もみで|rubbing one's hands together
もみ手|もみで|rubbing one's hands together
もみ消す|もみけす|to stub out (e.g. a cigarette); to crush out; to smother (fire)
もみ消す|もみけす|to hush up; to cover up; to stifle; to suppress
揉み消す|もみけす|to stub out (e.g. a cigarette); to crush out; to smother (fire)
揉み消す|もみけす|to hush up; to cover up; to stifle; to suppress
揉消す|もみけす|to stub out (e.g. a cigarette); to crush out; to smother (fire)
揉消す|もみけす|to hush up; to cover up; to stifle; to suppress
もみ上げ|もみあげ|tuft of hair under temple; sideburns; sidelocks
揉み上げ|もみあげ|tuft of hair under temple; sideburns; sidelocks
揉上げ|もみあげ|tuft of hair under temple; sideburns; sidelocks
揉み療治|もみりょうじ|(therapeutic) massage
もみ療治|もみりょうじ|(therapeutic) massage
揉療治|もみりょうじ|(therapeutic) massage
揉む|もむ|to rub; to crumple
揉む|もむ|to massage
揉む|もむ|to argue; to have a heated discussion
揉む|もむ|to train; to coach
揉む|もむ|to jostle; to crowd; to shake; to rock
揉む|もむ|to have various experiences (out in the world)
揉め|もめ|quarrel; trouble; dispute
揉める|もめる|to disagree; to dispute; to fight (over)
揶揄|やゆ|banter; raillery; tease; ridicule; banter with
揶揄う|からかう|to ridicule; to tease; to mock; to chaff; to razz; to banter with; to make fun of; to poke fun at; to make cracks about
絡め取る|からめとる|to catch (and tie up); to apprehend; to arrest
絡めとる|からめとる|to catch (and tie up); to apprehend; to arrest
からめ取る|からめとる|to catch (and tie up); to apprehend; to arrest
搦め捕る|からめとる|to catch (and tie up); to apprehend; to arrest
からめ捕る|からめとる|to catch (and tie up); to apprehend; to arrest
搦め取る|からめとる|to catch (and tie up); to apprehend; to arrest
搦めとる|からめとる|to catch (and tie up); to apprehend; to arrest
搦め手|からめて|rear gate (esp. of castle); back entrance
搦め手|からめて|one who arrests
搦め手|からめて|force attacking the rear of a castle
搦め手|からめて|(opponent's) weak point
搦め手|からめで|rear gate (esp. of castle); back entrance
搦め手|からめで|one who arrests
搦め手|からめで|force attacking the rear of a castle
搦め手|からめで|(opponent's) weak point
からめ手|からめて|rear gate (esp. of castle); back entrance
からめ手|からめて|one who arrests
からめ手|からめて|force attacking the rear of a castle
からめ手|からめて|(opponent's) weak point
からめ手|からめで|rear gate (esp. of castle); back entrance
からめ手|からめで|one who arrests
からめ手|からめで|force attacking the rear of a castle
からめ手|からめで|(opponent's) weak point
搦手|からめて|rear gate (esp. of castle); back entrance
搦手|からめて|one who arrests
搦手|からめて|force attacking the rear of a castle
搦手|からめて|(opponent's) weak point
搦手|からめで|rear gate (esp. of castle); back entrance
搦手|からめで|one who arrests
搦手|からめで|force attacking the rear of a castle
搦手|からめで|(opponent's) weak point
絡め手|からめて|rear gate (esp. of castle); back entrance
絡め手|からめて|one who arrests
絡め手|からめて|force attacking the rear of a castle
絡め手|からめて|(opponent's) weak point
絡め手|からめで|rear gate (esp. of castle); back entrance
絡め手|からめで|one who arrests
絡め手|からめで|force attacking the rear of a castle
絡め手|からめで|(opponent's) weak point
しな垂れる|しなだれる|to droop
撓垂れる|しなだれる|to droop
しな垂れかかる|しなだれかかる|to lean coquettishly against; to snuggle into; to nestle into
撓垂れ掛かる|しなだれかかる|to lean coquettishly against; to snuggle into; to nestle into
撥|ばち|plectrum; pick
撥|ばち|drumstick for Japanese drums (e.g. taiko)
枹|ばち|plectrum; pick
枹|ばち|drumstick for Japanese drums (e.g. taiko)
桴|ばち|plectrum; pick
桴|ばち|drumstick for Japanese drums (e.g. taiko)
撥ね飛ばす|はねとばす|to send (something) flying; to splatter
撥ね飛ばす|はねとばす|to drive (something) off
跳ね飛ばす|はねとばす|to send (something) flying; to splatter
跳ね飛ばす|はねとばす|to drive (something) off
はね飛ばす|はねとばす|to send (something) flying; to splatter
はね飛ばす|はねとばす|to drive (something) off
撥ね付ける|はねつける|to flatly refuse; to reject; to spurn
撥ねつける|はねつける|to flatly refuse; to reject; to spurn
撥音|はつおん|the sound of the kana "n"
すりこ木|すりこぎ|wooden pestle
擂り粉木|すりこぎ|wooden pestle
擂粉木|すりこぎ|wooden pestle
摺り子木|すりこぎ|wooden pestle
摺子木|すりこぎ|wooden pestle
擡げる|もたげる|to lift; to raise
擲弾|てきだん|grenade
擲弾発射筒|てきだんはっしゃとう|grenade launcher
攘夷|じょうい|expel the barbarians; expulsion of the foreigners; late Edo period (19th century) revolutionary slogan
攫われた|さらわれた|kidnapped; abducted; carried off; swept away
へい死|へいし|falling dead; perishing; dying
斃死|へいし|falling dead; perishing; dying
斟酌|しんしゃく|consideration (for others); (making) allowance
しん酌|しんしゃく|consideration (for others); (making) allowance
旁|つくり|right-hand radical of a character
干ばつ|かんばつ|drought; long spell (period) of dry weather
旱魃|かんばつ|drought; long spell (period) of dry weather
干魃|かんばつ|drought; long spell (period) of dry weather
昵懇|じっこん|intimacy; familiarity
入魂|じっこん|intimacy; familiarity
入魂|じゅこん|intimacy; familiarity
入魂|じゅっこん|intimacy; familiarity
昴|すばる|Chinese "Hairy Head" constellation (one of the 28 mansions); Pleiades; Seven Sisters
昴|すまる|Chinese "Hairy Head" constellation (one of the 28 mansions); Pleiades; Seven Sisters
昴|ぼう|Chinese "Hairy Head" constellation (one of the 28 mansions); Pleiades; Seven Sisters
暈し|ぼかし|shading off; gradation
暈す|ぼかす|to blur; to shade off; to gradate
暈す|ぼかす|to obscure; to make ambiguous
暈かす|ぼかす|to blur; to shade off; to gradate
暈かす|ぼかす|to obscure; to make ambiguous
曖昧|あいまい|vague; ambiguous; unclear
曖昧|あいまい|fuzzy
あい昧|あいまい|vague; ambiguous; unclear
あい昧|あいまい|fuzzy
曖昧さ|あいまいさ|ambiguity
曖昧模糊|あいまいもこ|obscure; vague; ambiguous
曰く|いわく|pretext; history; past; story
曰く|いわく|according to ...; ... says
朦朧|もうろう|dim; hazy; vague; indistinct; ambiguous; faint; obscure
朧気|おぼろげ|vague; faint; dim; indistinct
朧げ|おぼろげ|vague; faint; dim; indistinct
杞憂|きゆう|absurd fear; needless anxiety
枷|かせ|shackles; fetters; irons; handcuffs; restraint; constraint
枷|かせ|bonds (e.g. family); ties; binding relationship; binding relationships; encumbrance
枸杞|くこ|Chinese matrimony vine (Lycium chinense); Chinese wolfberry; goji
クコ||Chinese matrimony vine (Lycium chinense); Chinese wolfberry; goji
クエン酸|クエンさん|citric acid
枸櫞酸|くえんさん|citric acid
檜|ひのき|hinoki cypress (Chamaecyparis obtusa); Japanese cypress
檜|ひ|hinoki cypress (Chamaecyparis obtusa); Japanese cypress
檜木|ひのき|hinoki cypress (Chamaecyparis obtusa); Japanese cypress
桧|ひのき|hinoki cypress (Chamaecyparis obtusa); Japanese cypress
桧|ひ|hinoki cypress (Chamaecyparis obtusa); Japanese cypress
桧木|ひのき|hinoki cypress (Chamaecyparis obtusa); Japanese cypress
ヒノキ||hinoki cypress (Chamaecyparis obtusa); Japanese cypress
栞|しおり|bookmark
栞|しおり|guidebook
枝折り|しおり|bookmark
枝折り|しおり|guidebook
枝折|しおり|bookmark
枝折|しおり|guidebook
桎梏|しっこく|bonds; fetters
桿菌|かんきん|bacillus
杆菌|かんきん|bacillus
梟する|きょうする|to expose (a severed head)
梟|ふくろう|owl (esp. the Ural owl, Strix uralensis)
梟|ふくろ|owl (esp. the Ural owl, Strix uralensis)
梟|さけ|owl (esp. the Ural owl, Strix uralensis)
フクロウ||owl (esp. the Ural owl, Strix uralensis)
梟悪|きょうあく|great treachery; very atrocious person
梟罪|きょうざい|crime of exposing a severed head
梟首|きょうしゅ|exposure of a severed head
梟将|きょうしょう|brave general
梟敵|きょうてき|treacherous enemy
梟雄|きょうゆう|ringleader; accomplished villain
梭子魚|かます|barracuda
梭魚|かます|barracuda
魳|かます|barracuda
魣|かます|barracuda
カマス||barracuda
梵語|ぼんご|Sanskrit
梵妻|ぼんさい|Buddhist priest's wife
梵字|ぼんじ|Sanskrit characters
梵鐘|ぼんしょう|bonshō; Buddhist temple bell
梵天王|ぼんてんおう|Brahma; the Creator
梵和辞典|ぼんわじてん|Sanskrit-Japanese dictionary
棘|おどろ|briars; thicket; the bush
荊棘|おどろ|briars; thicket; the bush
棘皮動物|きょくひどうぶつ|echinoderm
棍棒|こんぼう|stick; club; cudgel; bludgeon
こん棒|こんぼう|stick; club; cudgel; bludgeon
棗|なつめ|jujube (Ziziphus jujube); Chinese date; red date
棗|なつめ|small tea caddy (tea ceremony)
ナツメ||jujube (Ziziphus jujube); Chinese date; red date
ナツメ||small tea caddy (tea ceremony)
棗椰子|なつめやし|date palm (Phoenix dactylifera); date
ナツメヤシ||date palm (Phoenix dactylifera); date
楷書|かいしょ|square style of handwriting; printed style of handwriting; block style; standard style
楔|くさび|wedge; chock; linchpin; lynchpin
楔|くさび|tie; bond
轄|くさび|wedge; chock; linchpin; lynchpin
轄|くさび|tie; bond
くさび形|くさびがた|wedge-shape
楔形|くさびがた|wedge-shape
楔形|けっけい|wedge-shape
楔形|せっけい|wedge-shape
楔形文字|くさびがたもじ|cuneiform (writing)
楔形文字|せっけいもじ|cuneiform (writing)
楔形文字|けっけいもじ|cuneiform (writing)
くさび形文字|くさびがたもじ|cuneiform (writing)
椹|さわら|sawara cypress (Chamaecyparis pisifera)
サワラ||sawara cypress (Chamaecyparis pisifera)
椰子|やし|palm tree (any tree of family Arecaceae)
ヤシ||palm tree (any tree of family Arecaceae)
槐樹|かいじゅ|Japanese pagoda tree (Sophora japonica)
榴弾砲|りゅうだんぽう|howitzer
榴弾砲|りゅうだんほう|howitzer
樅|もみ|Japanese fir (Abies firma); momi fir
モミ||Japanese fir (Abies firma); momi fir
橙|だいだい|bitter orange (Citrus aurantium)
ダイダイ||bitter orange (Citrus aurantium)
橈骨|とうこつ|radius (bone of the forearm)
檄を飛ばす|げきをとばす|to issue a manifesto; to appeal
げきを飛ばす|げきをとばす|to issue a manifesto; to appeal
激を飛ばす|げきをとばす|to issue a manifesto; to appeal
檄文|げきぶん|written appeal; manifesto; declaration
檻|おり|cage; pen; jail cell; gaol cell
鬱を散じる|うつをさんじる|to chase one's gloom away; to free one's thoughts from melancholy
鬱陶しい|うっとうしい|gloomy (e.g. mood); depressing
鬱陶しい|うっとうしい|irritating; troublesome
鬱陶しい|うっとうしい|heavy (weather); cloudy
鬱陶しい|うっとおしい|gloomy (e.g. mood); depressing
鬱陶しい|うっとおしい|irritating; troublesome
鬱陶しい|うっとおしい|heavy (weather); cloudy
うつ病|うつびょう|melancholia; depression
鬱病|うつびょう|melancholia; depression
欝病|うつびょう|melancholia; depression
歔欷|きょき|sobbing; weeping
殯宮|ひんきゅう|temporary imperial mortuary
殲滅|せんめつ|extermination; annihilation
殱滅|せんめつ|extermination; annihilation
殷盛|いんせい|prosperity
殷賑|いんしん|prosperity
殷富|いんぷ|wealth; prosperity
むしり取る|むしりとる|to tear off; to pluck off; to take forcibly
毟り取る|むしりとる|to tear off; to pluck off; to take forcibly
毟りとる|むしりとる|to tear off; to pluck off; to take forcibly
毟る|むしる|to pluck; to pick; to tear
挘る|むしる|to pluck; to pick; to tear
毫も|ごうも|(not) in the least; (not) at all
毫釐|ごうり|very small quantity
麾下|きか|under the command (of); under the banner (of); influenced (by)
旗下|きか|under the command (of); under the banner (of); influenced (by)
沐浴|もくよく|bathing; washing one's body or hair; ablution
沐浴|もくよく|receiving a blessing; receiving an honor
沽券|こけん|dignity; credit; public estimation; face; honor; reputation
沽券|こけん|deed of sale (for a land, forest or house)
沽券|こけん|sale value; selling price
估券|こけん|dignity; credit; public estimation; face; honor; reputation
估券|こけん|deed of sale (for a land, forest or house)
估券|こけん|sale value; selling price
洒脱|しゃだつ|sophisticated; refined; witty; urbane; unconstrained
洒落|しゃらく|frank; open-hearted
洒落|しゃれ|joke; pun; witticism
洒落|しゃれ|smartly dressed; stylish; fashion-conscious; refined
シャレ||joke; pun; witticism
シャレ||smartly dressed; stylish; fashion-conscious; refined
洒落た|しゃれた|stylish; smart; tasteful; fashionable
洒落た|しゃれた|witty
しゃれっ気|しゃれっけ|fashion-consciousness; desire to be stylish
しゃれっ気|しゃれっけ|humor; humour; wit
洒落っ気|しゃれっけ|fashion-consciousness; desire to be stylish
洒落っ気|しゃれっけ|humor; humour; wit
洒落る|しゃれる|to dress stylishly
洒落る|しゃれる|to joke; to play on words
洒落込む|しゃれこむ|to get dressed up
洒落込む|しゃれこむ|to treat oneself
しゃれ込む|しゃれこむ|to get dressed up
しゃれ込む|しゃれこむ|to treat oneself
洒落臭い|しゃらくさい|impertinent; impudent; cheeky
洒落臭い|しゃらくくさい|impertinent; impudent; cheeky
浣腸|かんちょう|(giving an) enema
潅腸|かんちょう|(giving an) enema
灌腸|かんちょう|(giving an) enema
浚渫|しゅんせつ|dredging
