無限軌道|むげんきどう|continuous track; caterpillar track
チューリング機械|チューリングきかい|Turing machine
チョコレート色|チョコレートいろ|chocolate brown
チリ硝石|チリしょうせき|Chile saltpeter; soda nitre
チンキ剤|チンキざい|tincture
チンク油|チンクゆ|zinc oxide oil
ツーバイフォー工法|ツーバイフォーこうほう|wood frame construction
ツェッペリン飛行船|ツェッペリンひこうせん|Zeppelin airship
ツェツェ蠅|ツェツェばえ|tsetse fly
ツェツェ蝿|ツェツェばえ|tsetse fly
テープを切る|テープをきる|to break the tape (at the finishing line); to breast the tape
テニス肘|テニスひじ|tennis elbow
テラス栽培|テラスさいばい|terrace culture
テルミット反応|テルミットはんのう|thermit reaction
テレビン油|テレビンゆ|turpentine oil
テレビ会議|テレビかいぎ|teleconference; video conferencing
テレフタル酸|テレフタルさん|terephthalic acid
ディーゼル機関車|ディーゼルきかんしゃ|diesel locomotive
ディーゼル電気車|ディーゼルでんきしゃ|diesel electric car
デジタル計算機|デジタルけいさんき|digital computer
デジタル時計|デジタルどけい|digital clock
デジタル通信|デジタルつうしん|digital communication
デヒドロコール酸|デヒドロコールさん|dehydrocholic acid
デヒドロ酢酸|デヒドロさくさん|dehydroacetic acid
デポジット制度|デポジットせいど|deposit system
デモンストレーション効果|デモンストレーションこうか|demonstration effect
デモ行進|デモこうしん|demonstration parade
デュラム小麦|デュラムこむぎ|durum wheat (Triticum durum, Triticum turgidum durum)
デュラムコムギ||durum wheat (Triticum durum, Triticum turgidum durum)
デリス剤|デリスざい|derris compound
デルファイ法|デルファイほう|Delphi technique
デルフト焼き|デルフトやき|Delftware (ceramics)
デング熱|デングねつ|dengue fever
トキソプラズマ症|トキソプラズマしょう|toxoplasmosis
トラス橋|トラスきょう|truss bridge
トラック競技|トラックきょうぎ|track events
トラップ射撃|トラップしゃげき|trap shooting
トランスパーソナル心理学|トランスパーソナルしんりがく|transpersonal psychology
トランスフォーム断層|トランスフォームだんそう|transform fault
トリアセテート繊維|トリアセテートせんい|triacetate fiber; triacetate fibre
トリウム系列|トリウムけいれつ|thorium series
トリカルボン酸回路|トリカルボンさんかいろ|tricarboxylic acid cycle; TCA cycle
トリガー価格|トリガーかかく|trigger price
トリコモナス膣炎|トリコモナスちつえん|vaginal trichomoniasis
トリパノソーマ症|トリパノソーマしょう|trypanosomiasis; sleeping sickness
トルコ石|トルコいし|turquoise
トルコ帽|トルコぼう|fez
トレンチ工法|トレンチこうほう|trench cut method
トロール漁業|トロールぎょぎょう|trawl fishery
トロール船|トロールせん|trawler
トロール網|トロールあみ|trawl
トロイヤ群|トロイヤぐん|Trojan group
トンネル会社|トンネルがいしゃ|dummy company
トンネル効果|トンネルこうか|tunnel effect; tunneling
トンネル栽培|トンネルさいばい|plastic tunnel culture
トンネル窯|トンネルがま|tunnel kiln
ト書き|トがき|stage directions
ト書|トがき|stage directions
ドーナツ現象|ドーナツげんしょう|doughnut phenomenon
ドブロイ波|ドブロイは|de Broglie wave
ドブローイ波|ドブローイは|de Broglie wave
ドミノ理論|ドミノりろん|domino theory
ドル安|ドルやす|cheap dollar
ドル外交|ドルがいこう|dollar diplomacy
ドル高|ドルだか|strong dollar
ドル相場|ドルそうば|exchange rates of the dollar
ドル地域|ドルちいき|dollar area
ドル箱|ドルばこ|source of funds; gold mine; patron; milch cow
ドル箱|ドルばこ|cash box; safe
弗箱|ドルばこ|source of funds; gold mine; patron; milch cow
弗箱|ドルばこ|cash box; safe
ナイル鰐|ナイルわに|Nile crocodile (Crocodylus niloticus)
ナイルワニ||Nile crocodile (Crocodylus niloticus)
ナトリウム灯|ナトリウムとう|sodium-vapor lamp; sodium-vapour lamp
ナパーム弾|ナパームだん|napalm bomb
ニクロム線|ニクロムせん|nichrome wire
ニコチン酸|ニコチンさん|nicotinic acid
ニコチン中毒|ニコチンちゅうどく|nicotinism; nicotine addiction; nicotine poisoning
ニッケルカドミウム電池|ニッケルカドミウムでんち|nickel-cadmium battery
ニッケルクロム鋼|ニッケルクロムこう|nickel-chromium steel
ニッケル鋼|ニッケルこう|nickel steel
ニッパ椰子|ニッパやし|nipa palm
ニトログリコール中毒|ニトログリコールちゅうどく|nitroglycol poisoning
ニトロソ基|ニトロソき|nitroso group
ニトロ化|ニトロか|nitration
ニトロ化合物|ニトロかごうぶつ|nitro compound
ニトロ基|ニトロき|nitro group
ニュートリノ星|ニュートリノぼし|neutrino star
ニュートリノ天文学|ニュートリノてんもんがく|neutrino astronomy
ニュートン力学|ニュートンりきがく|Newtonian mechanics
ニンヒドリン反応|ニンヒドリンはんのう|ninhydrin reaction
ヌード写真|ヌードしゃしん|nude photo
ネオン管|ネオンかん|neon tube
ノーカーボン紙|ノーカーボンし|non-carbon paper
ノークラッチ車|ノークラッチしゃ|automatic car; car with automatic transmission
ハードル競走|ハードルきょうそう|hurdle race
ハイファイ装置|ハイファイそうち|hi-fi equipment
ハイライト版|ハイライトばん|highlight halftone
ハッカー症候群|ハッカーしょうこうぐん|hacker syndrome
ハッブルの法則|ハッブルのほうそく|Hubble's law
ハトロン紙|ハトロンし|kraft paper
ハレー彗星|ハレーすいせい|Halley's comet
ハリー彗星|ハリーすいせい|Halley's comet
ハロー効果|ハローこうか|halo effect
ハロゲン化|ハロゲンか|halogenation
ハロゲン化銀|ハロゲンかぎん|silver halide
ハロゲン族元素|ハロゲンぞくげんそ|halogen family elements
ハロゲン電球|ハロゲンでんきゅう|tungsten halogen lamp
バイキング料理|バイキングりょうり|smorgasbord; all-you-can-eat buffet
バイパス手術|バイパスしゅじゅつ|bypass operation
バイメタル温度計|バイメタルおんどけい|bimetal thermometer
バイヤー法|バイヤーほう|Bayer process
バズーカ砲|バズーカほう|bazooka
バナジウム鋼|バナジウムこう|vanadium steel
バフ盤|バフばん|buffing machine
バブル現象|バブルげんしょう|bubble
バルビツール酸|バルビツールさん|barbituric acid
バルビツル酸|バルビツルさん|barbituric acid
バロック音楽|バロックおんがく|baroque music
パール編み|パールあみ|purl stitch
パイル織|パイルおり|pile fabric
パウリの原理|パウリのげんり|Pauli exclusion principle; Pauli's principle
パスカルの三角形|パスカルのさんかくけい|Pascal's triangle
パスカルの定理|パスカルのていり|Pascal's theorem
パスタ剤|パスタざい|paste
パステル画|パステルが|pastel (picture)
パナマ帽|パナマぼう|panama hat
パネル構造建築|パネルこうぞうけんちく|panel construction
パノラマ写真|パノラマしゃしん|panoramic photograph
パラチフス菌|パラチフスきん|paratyphoid bacillus
パラフィン紙|パラフィンし|paraffin paper
パリア犬|パリアいぬ|pariah dog
パリティ計算|パリティけいさん|parity account
パリティ指数|パリティしすう|parity index
パルス回路|パルスかいろ|pulse circuit
パルス波|パルスは|pulse wave
パレット車|パレットしゃ|pallet car
パンの木|パンのき|breadfruit (Artocarpus altilis); breadfruit tree
パンノキ||breadfruit (Artocarpus altilis); breadfruit tree
パンジー色|パンジーいろ|deep violet
パン種|パンだね|leavening agent (e.g. yeast)
パン小麦|パンこむぎ|wheat (for breadmaking)
ヒアルロン酸|ヒアルロンさん|hyaluronan; hyaluronic acid
ヒステリー性格|ヒステリーせいかく|hysterical personality
ヒト成長ホルモン|ヒトせいちょうホルモン|human growth hormone
ヒドロムシ類|ヒドロムシるい|hydrozoan
ヒルベルト空間|ヒルベルトくうかん|Hilbert space
ヒンズー教|ヒンズーきょう|Hinduism
ヒンドゥー教|ヒンドゥーきょう|Hinduism
ヒンディー語|ヒンディーご|Hindi (language)
ヒンディ語|ヒンディご|Hindi (language)
ビスコース人絹|ビスコースじんけん|viscose rayon
ビニールシート床材|ビニールシートゆかざい|vinyl sheet flooring
ビニル基|ビニルき|vinyl group
ビニル樹脂|ビニルじゅし|vinyl resin
ビヤ樽|ビヤだる|beer barrel
ピアノ線|ピアノせん|piano wire
ピギーバック輸送|ピギーバックゆそう|piggyback system
ピストン輸送|ピストンゆそう|shuttle
ピロリン酸|ピロリンさん|pyrophosphoric acid
ピロ燐酸|ピロりんさん|pyrophosphoric acid
ピンからキリまで||from the best to the worst; all sorts of; full range
ピンを撥ねる|ピンをはねる|to get a rakeoff; to get a kickback; to take a kickback
ピンキング鋏|ピンキングばさみ|pinking shears
フーコーの振り子|フーコーのふりこ|Foucault's pendulum
フーゼル油|フーゼルゆ|fusel oil
ファラデー効果|ファラデーこうか|Faraday effect
ファラデー定数|ファラデーていすう|Faraday constant
ファロー鹿|ファローじか|fallow deer
フィードバック制御|フィードバックせいぎょ|feedback control
フィールド競技|フィールドきょうぎ|field events
フェーリング液|フェーリングえき|Fehling's solution
フェーリング反応|フェーリングはんのう|Fehling's reaction
フェザー級|フェザーきゅう|featherweight
フェニルケトン尿症|フェニルケトンにょうしょう|phenylketonuria
フェニル基|フェニルき|phenyl group
フェノール樹脂|フェノールじゅし|phenol resin
フェノール類|フェノールるい|phenol
フェライト磁石|フェライトじしゃく|ferrite magnet
フェリ磁性体|フェリじせいたい|ferrimagnetic substance
フェルマの原理|フェルマのげんり|Fermat's principle
フェルマーの原理|フェルマーのげんり|Fermat's principle
フェルマの問題|フェルマのもんだい|Fermat's problem
フェルマーの問題|フェルマーのもんだい|Fermat's problem
フェルミ面|フェルミめん|Fermi surface
フェルミ粒子|フェルミりゅうし|fermion
フタル酸|フタルさん|phthalic acid
フタル酸エステル|フタルさんエステル|phthalate ester
フックの法則|フックのほうそく|Hooke's law
フットライトを浴びる|フットライトをあびる|to appear on the stage; to be in the limelight
フライ返し|フライがえし|spatula
フラウンホーファー線|フラウンホーファーせん|Fraunhofer lines
フラクション活動|フラクションかつどう|fraction activity
フラビン酵素|フラビンこうそ|flavin enzyme; flavoenzyme
フランジ継手|フランジつぎて|flange fitting
フランジ継ぎ手|フランジつぎて|flange fitting
フランス刺繍|フランスししゅう|embroidery
フランス窓|フランスまど|French window
フリップフロップ回路|フリップフロップかいろ|flip-flop circuit
フルコスト原則|フルコストげんそく|full-cost principle
フルマ鴎|フルマかもめ|northern fulmar (Fulmarus glacialis)
フルマカモメ||northern fulmar (Fulmarus glacialis)
フレア星|フレアせい|flare star
ブースター局|ブースターきょく|booster station
ブードゥー教|ブードゥーきょう|voodooism
ブーメラン効果|ブーメランこうか|boomerang effect
ブチル基|ブチルき|butyl group
ブライダル産業|ブライダルさんぎょう|wedding industry
ブラウン運動|ブラウンうんどう|Brownian motion
ブランド商品|ブランドしょうひん|brand items
ブリッジ回路|ブリッジかいろ|bridge circuit
ブルセラ病|ブルセラびょう|brucellosis
ブレーキを掛ける|ブレーキをかける|to put on the brakes; to put a stop to
ブローチ盤|ブローチばん|broaching machine
ブロック建築|ブロックけんちく|concrete-block building
プール制|プールせい|pool system
プール熱|プールねつ|pharyngoconjunctival fever
プシバルスキー馬|プシバルスキーうま|Przewalski's horse
プッシュプル増幅器|プッシュプルぞうふくき|push-pull amplifier
プランク定数|プランクていすう|Planck's constant
プリント合板|プリントごうはん|printed plywood
プリント配線|プリントはいせん|printed circuit; printed wiring
プルトニウム爆弾|プルトニウムばくだん|plutonium bomb
プレート電流|プレートでんりゅう|plate current
プレス加工|プレスかこう|presswork; press working; pressing; press forging
プレハブ住宅|プレハブじゅうたく|prefabricated house
プログラム学習|プログラムがくしゅう|programmed learning
プログラム誘導|プログラムゆうどう|program guidance; programme guidance
プロテスタント教会|プロテスタントきょうかい|Protestant Church
プロトン磁力計|プロトンじりょくけい|proton magnetometer
プロペラ水車|プロペラすいしゃ|propeller water turbine
プロペラ船|プロペラせん|air propeller boat
プロレタリア革命|プロレタリアかくめい|proletarian revolution
プロレタリア国際主義|プロレタリアこくさいしゅぎ|proletarian internationalism
プロレタリア独裁|プロレタリアどくさい|proletarian dictatorship
ヘビー級|ヘビーきゅう|heavyweight (esp. boxing); heavyweight division
ヘブライ語|ヘブライご|Hebrew
ベビー箪笥|ベビーだんす|small-sized wardrobe
ベリリウム銅|ベリリウムどう|beryllium copper
ベルト車|ベルトぐるま|belt pulley
ベルト伝動|ベルトでんどう|belt drive
ベレー帽|ベレーぼう|beret
ベンガル山猫|ベンガルやまねこ|leopard cat (Prionailurus bengalensis)
ベンガルヤマネコ||leopard cat (Prionailurus bengalensis)
ベンゼンスルホン酸|ベンゼンスルホンさん|benzene-sulfonic acid
ベンゼン核|ベンゼンかく|benzene ring
ベンチを温める|ベンチをあたためる|to warm the bench; for a player, to stay on the bench during a sports match
ベンチュリ管|ベンチュリかん|Venturi tube
ページ組み|ページぐみ|paging
ペーパー電池|ペーパーでんち|paper cell
ペガスス座|ペガススざ|Pegasus (constellation); the Winged Horse
ペスト菌|ペストきん|plague bacillus (Yersinia pestis)
ペット病|ペットびょう|pet-communicated infection
ペプチド結合|ペプチドけつごう|peptide bond
ペルシア猫|ペルシアねこ|Persian cat
ペルシャ猫|ペルシャねこ|Persian cat
ペルシュロン種|ペルシュロンしゅ|Percheron
ペルセウス座|ペルセウスざ|Perseus (constellation)
ホーミング魚雷|ホーミングぎょらい|homing torpedo
ホイヘンスの原理|ホイヘンスのげんり|Huygens' principle
ホイル焼き|ホイルやき|roasting in foil wrapper; food roasted wrapped in foil
ホイル焼|ホイルやき|roasting in foil wrapper; food roasted wrapped in foil
ホジキン病|ホジキンびょう|Hodgkin's lymphoma; Hodgkin's disease
ホスフィン酸|ホスフィンさん|phosphinic acid
ホスホン酸|ホスホンさん|phosphonic acid
ホッパー車|ホッパーしゃ|hopper car
ホモ牛乳|ホモぎゅうにゅう|homogenized milk; homogenised milk
ホルモン療法|ホルモンりょうほう|hormone therapy
ボーア磁子|ボーアじし|Bohr magneton
ボース粒子|ボースりゅうし|boson
ボーデの法則|ボーデのほうそく|Bode's law
ボール爆弾|ボールばくだん|ball bomb
ボール螺子|ボールねじ|ball screw
ボイルの法則|ボイルのほうそく|Boyle's law
ボイル油|ボイルゆ|boiled oil
ボギー車|ボギーしゃ|bogie car
ボツリヌス菌|ボツリヌスきん|Clostridium botulinum (bacteria that causes botulism)
ボランティア活動|ボランティアかつどう|volunteer activities; volunteerism
ボルタの電池|ボルタのでんち|voltaic cell
ボルツマン定数|ボルツマンていすう|Boltzmann's constant
ボンド紙|ボンドし|bond paper
ポピュラー音楽|ポピュラーおんがく|popular music
ポリアミド樹脂|ポリアミドじゅし|polyamide resin
ポリアミド繊維|ポリアミドせんい|polyamide fiber; polyamide fibre
ポリエステル繊維|ポリエステルせんい|polyester fiber; polyester fibre
ポリ酢酸ビニル|ポリさくさんビニル|polyvinyl acetate; PVAC
ポリリン酸|ポリリンさん|polyphosphoric acid
ポリ燐酸|ポリりんさん|polyphosphoric acid
ポルノ映画|ポルノえいが|pornographic film; blue film
ポンプ水車|ポンプすいしゃ|reversible pump-turbine
マージン取引|マージンとりひき|margin transaction
マイクロアンペア計|マイクロアンペアけい|micro-ampere meter
マイクロ波管|マイクロはかん|microwave tube
マイコプラズマ肺炎|マイコプラズマはいえん|mycoplasma pneumonia
マイコプラスマ肺炎|マイコプラスマはいえん|mycoplasma pneumonia
マオリ族|マオリぞく|Maori
マクロ経済学|マクロけいざいがく|macro-economics
マグネシウム合金|マグネシウムごうきん|magnesium alloy
マグマ溜り|マグマだまり|magma reservoir
マシン油|マシンゆ|machine oil
マゼラン雲|マゼランうん|Magellanic Clouds (galaxies)
マットに沈む|マットにしずむ|to be knocked out; to be overwhelmed; to be flabbergasted; to be thrown for a loop
マッハ数|マッハすう|Mach number
マデイラ酒|マデイラしゅ|Madeira wine
マトリックス力学|マトリックスりきがく|matrix mechanics
マニ教|マニきょう|Manichaeism
摩尼教|マニきょう|Manichaeism
末尼教|マニきょう|Manichaeism
マネーフロー表|マネーフローひょう|money-flow table
マネーフロー分析|マネーフローぶんせき|money-flow analysis
マラリア蚊|マラリアか|malaria mosquito
マルクスレーニン主義|マルクスレーニンしゅぎ|Marxism-Leninism
マルクス経済学|マルクスけいざいがく|Marxian economics
マルクス主義的美学|マルクスしゅぎてきびがく|Marxist aesthetics
マルサス主義|マルサスしゅぎ|Malthusianism
マルチプル広告|マルチプルこうこく|multiple advertising
マルチ商法|マルチしょうほう|multilevel marketing system; pyramid selling; chain referral
マレイン酸|マレインさん|maleic acid
マロン酸|マロンさん|malonic acid
マンガン乾電池|マンガンかんでんち|manganese dry cell
マンガン鋼|マンガンこう|manganese steel
マンガン団塊|マンガンだんかい|manganese nodule
マンクス猫|マンクスねこ|Manx cat
マントル対流論|マントルたいりゅうろん|mantle convection theory
マンハッタン計画|マンハッタンけいかく|Manhattan Project
ミシン刺繍|ミシンししゅう|machine embroidery
ミシン糸|ミシンいと|sewing cotton
ミリメートル波|ミリメートルは|extremely high frequency wave; EHF
ミンク鯨|ミンクくじら|minke whale; piked whale (Balaenoptera acutorostrata)
ミンククジラ||minke whale; piked whale (Balaenoptera acutorostrata)
ムード音楽|ムードおんがく|mood music
ムコ多糖類|ムコたとうるい|mucopolysaccharide
メーカー物|メーカーもの|name-brand item
メートル法|メートルほう|metric system
メガトン爆弾|メガトンばくだん|megaton bomb
メキシコ湾流|メキシコわんりゅう|Gulf Stream
メスバウアー効果|メスバウアーこうか|Mössbauer effect; recoilless nuclear resonance fluorescence
メソジスト教会|メソジストきょうかい|Methodist Church
メタクリル酸|メタクリルさん|methacrylic acid
メタクリル樹脂|メタクリルじゅし|methacrylic resin
メタン発酵|メタンはっこう|methane fermentation
メタ言語|メタげんご|metalanguage
メタ数学|メタすうがく|metamathematics
メタ燐酸|メタりんさん|metaphosphoric acid
メチルアルコール中毒|メチルアルコールちゅうどく|methyl alcohol intoxication
メチル基|メチルき|methyl group
メッシュ統計|メッシュとうけい|mesh statistics
メラミン樹脂|メラミンじゅし|melamine resin
メリノ羊毛|メリノようもう|merino wool
メルカトル図法|メルカトルずほう|Mercator's projection
モーゼル連発銃|モーゼルれんぱつじゅう|Mauser rifle
モールス符号|モールスふごう|Morse code
モザイク病|モザイクびょう|tobacco mosaic virus infection; mosaic disease; mosaic
モザイク卵|モザイクらん|mosaic egg
モナズ石|モナズいし|monazite
モナド論|モナドろん|monadology
モノカルボン酸|モノカルボンさん|monocarboxylic acid
モリブデン鋼|モリブデンこう|molybdenum steel
モリブデン酸アンモニウム|モリブデンさんアンモニウム|ammonium molybdate
モルモン教|モルモンきょう|Mormonism
モル体積|モルたいせき|molar volume
モル熱|モルねつ|molar heat
モル沸点上昇|モルふってんじょうしょう|molar elevation
モル分率|モルぶんりつ|molar fraction
モロッコ革|モロッコがわ|morocco leather
モンスーン気候|モンスーンきこう|monsoon climate
モンタージュ写真|モンタージュしゃしん|montage
ユーカリ油|ユーカリゆ|eucalyptus oil
ユークリッド幾何学|ユークリッドきかがく|Euclidean geometry
ユークリッド空間|ユークリッドくうかん|Euclidean space
ユダヤ暦|ユダヤれき|Jewish calendar
ユニット家具|ユニットかぐ|unit furniture
ユニット型投資信託|ユニットがたとうししんたく|unit-type investment trust
ユネスコ憲章|ユネスコけんしょう|UNESCO charter
ユリウス暦|ユリウスれき|Julian calendar
ヨードホルム反応|ヨードホルムはんのう|iodoform reaction
ヨーロッパ会議|ヨーロッパかいぎ|Council of Europe
ヨーロッパ議会|ヨーロッパぎかい|European Parliament
ヨーロッパ駒鳥|ヨーロッパこまどり|European robin (Erithacus rubecula)
ヨーロッパコマドリ||European robin (Erithacus rubecula)
ヨーロッパ栗|ヨーロッパぐり|European chestnut
ヨーロッパ山猫|ヨーロッパやまねこ|European wildcat (Felis silvestris silvestris)
ヨーロッパヤマネコ||European wildcat (Felis silvestris silvestris)
ヨーロッパ李|ヨーロッパすもも|common European plum
ラーメン橋|ラーメンきょう|rigid-frame bridge
ラーメン構造|ラーメンこうぞう|Rahmen; rigid-frame structure
ライセンス生産|ライセンスせいさん|license production; licence production
ライデン瓶|ライデンびん|Leyden jar
ライトウエルター級|ライトウエルターきゅう|light welterweight
ライトフライ級|ライトフライきゅう|light flyweight
ライトヘビー級|ライトヘビーきゅう|light heavyweight
ライトミドル級|ライトミドルきゅう|light middleweight
ライト級|ライトきゅう|lightweight (e.g. boxing)
ライフル射撃競技|ライフルしゃげききょうぎ|rifle-shooting competition; rifle-shooting contest
ライラック色|ライラックいろ|lilac (color, colour)
ライン組織|ラインそしき|line organization; line organisation
ラウリン酸|ラウリンさん|lauric acid
ラジウム泉|ラジウムせん|radium spring
ラジウム療法|ラジウムりょうほう|radium therapy
ラセミ化|ラセミか|racemization; racemisation
ラセミ体|ラセミたい|racemic body
ラセミ分割|ラセミぶんかつ|chiral resolution; optical resolution; racemic resolution
ラタン家具|ラタンかぐ|rattan furniture
ラテンアメリカ音楽|ラテンアメリカおんがく|Latin music
ラフィア椰子|ラフィアやし|raffia palm (Raphia spp.)
ラフィアヤシ||raffia palm (Raphia spp.)
ラベンダー色|ラベンダーいろ|lavender
ラマルク説|ラマルクせつ|Lamarckism
ラム酒|ラムしゅ|rum
リース産業|リースさんぎょう|leasing industry
リーダー制|リーダーせい|leadership organization; leadership organisation
リード楽器|リードがっき|reed instrument
リービヒ冷却器|リービヒれいきゃくき|Liebig condenser
リーマン幾何学|リーマンきかがく|Riemannian geometry
リアルタイム処理|リアルタイムしょり|real time processing
リサジューの図形|リサジューのずけい|Lissajous's figure
リズム運動|リズムうんどう|rhythmic exercises
リチウム電池|リチウムでんち|lithium battery
リチウム爆弾|リチウムばくだん|lithium bomb
リノリウム版画|リノリウムはんが|linocut
リノレン酸|リノレンさん|linolenic acid
リビア山猫|リビアやまねこ|Libyan wildcat (Felis silvestris lybica); African wildcat
リビアヤマネコ||Libyan wildcat (Felis silvestris lybica); African wildcat
リベット接合|リベットせつごう|rivet connection
リポ蛋白質|リポたんぱくしつ|lipoprotein
リムド鋼|リムドこう|rimmed steel
リウマチ熱|リウマチねつ|rheumatic fever
リューマチ熱|リューマチねつ|rheumatic fever
リンク制|リンクせい|link system
リンク装置|リンクそうち|linkage
リンパ性白血病|リンパせいはっけつびょう|lymphocytic leukemia
リンパ節炎|リンパせつえん|lymphadenitis
リンパ節腫瘍|リンパせつしゅよう|lymphoma
リンパ肉腫|リンパにくしゅ|lymphosarcoma
リンパ浮腫|リンパふしゅ|lymphedema; lymphoedema
ループ線|ループせん|loop line
ルーン文字|ルーンもじ|rune
ルビー蝋虫|ルビーろうむし|red wax scale
ルミノール試験|ルミノールしけん|luminol test
レーザー加工|レーザーかこう|laser processing; laser machining
レーザー核融合|レーザーかくゆうごう|laser nuclear fusion
レーザー光線|レーザーこうせん|laser beam
レーザー治療|レーザーちりょう|laser therapy
レーザー兵器|レーザーへいき|high energy laser weapon
レース編み|レースあみ|lacework
レーダー天文学|レーダーてんもんがく|radar astronomy
レーニン主義|レーニンしゅぎ|Leninism
レジャー産業|レジャーさんぎょう|leisure industry
レスキュー隊|レスキューたい|rescue squad; rescue party
レプトスピラ症|レプトスピラしょう|leptospirosis
レム睡眠|レムすいみん|REM sleep
ＲＥＭ睡眠|レムすいみん|REM sleep
レンズ雲|レンズぐも|lenticularis
ローカル線|ローカルせん|local line
ローカル番組|ローカルばんぐみ|local program; local programme
ロータリー車|ロータリーしゃ|rotary snowplow; rotary snowplough
ロート油|ロートゆ|Turkey red oil
ローマ神話|ローマしんわ|Roman mythology; Roman myths
ローマ数字|ローマすうじ|Roman numerals
ローマ帝国|ローマていこく|Roman Empire
ローマ法|ローマほう|Roman law
ロール雲|ロールぐも|roll cloud
ロール紙|ロールし|rolled paper
ローレンツ変換|ローレンツへんかん|Lorentz transformation
ロシア革命|ロシアかくめい|Russian Revolution
ロック鳥|ロックちょう|roc
ロッグウッドの木|ロッグウッドのき|logwood
ロビー活動|ロビーかつどう|lobbying
ロボット雨量計|ロボットうりょうけい|robot rain gauge
ロマンス語|ロマンスご|Romance languages
ロンド形式|ロンドけいしき|rondo form
ワット時|ワットじ|watt hour
ヴァチカン市国|ヴァチカンしこく|Vatican City State
亜鉛合金|あえんごうきん|zinc alloy
亜高山帯|あこうざんたい|subalpine zone
亜硝酸アミル|あしょうさんアミル|amyl nitrite
亜硝酸アンモニウム|あしょうさんアンモニウム|ammonium nitrite
亜硝酸カリウム|あしょうさんカリウム|potassium nitrite
亜硝酸ナトリウム|あしょうさんナトリウム|sodium nitrite
亜硝酸菌|あしょうさんきん|nitrite bacteria
亜熱帯ジェット気流|あねったいジェットきりゅう|subtropical jet stream
亜熱帯多雨林|あねったいたうりん|subtropical rain forest
亜目|あもく|suborder
亜門|あもん|subphylum; subdivision
亜硫酸パルプ|ありゅうさんパルプ|sulfite pulp
亜硫酸水素ナトリウム|ありゅうさんすいそナトリウム|sodium hydrogen sulfite
亜砒酸塩|あひさんえん|arsenite
阿亀鸚哥|おかめいんこ|cockatiel (Nymphicus hollandicus)
オカメインコ||cockatiel (Nymphicus hollandicus)
阿仙薬|あせんやく|gambir; gambier; catechu; cutch
愛しがる|いとしがる|to treat with love; to pity; to cherish
葵貝|あおいがい|eggcase (shell) of the greater argonaut
葵貝|あおいがい|greater argonaut (species of paper nautilus, Argonauta argo)
アオイガイ||eggcase (shell) of the greater argonaut
アオイガイ||greater argonaut (species of paper nautilus, Argonauta argo)
悪衣悪食|あくいあくしょく|shabby clothes and plain foods
悪液質|あくえきしつ|cachexia; cachexy; wasting syndrome
悪事千里を走る|あくじせんりをはしる|bad news travels quickly
悪夢から覚める|あくむからさめる|to come to one's senses
旭蟹|あさひがに|red frog crab (Ranina ranina)
アサヒガニ||red frog crab (Ranina ranina)
葦鴨|よしがも|falcated teal
葦切鮫|よしきりざめ|blue shark (Prionace glauca, species of circumglobal requiem shark)
ヨシキリザメ||blue shark (Prionace glauca, species of circumglobal requiem shark)
葦船|あしぶね|papyrus boat
葦舟|あしぶね|papyrus boat
あし船|あしぶね|papyrus boat
あし舟|あしぶね|papyrus boat
圧縮空気機械|あっしゅくくうききかい|compressed air machine
圧縮試験|あっしゅくしけん|compression test
圧縮木材|あっしゅくもくざい|compressed wood
圧電振動子|あつでんしんどうし|piezoelectric vibrator
圧粉磁心|あっぷんじしん|dust core
宛い|あてがい|allotment; arrangement
飴と鞭|あめとむち|carrot and the stick policy
綾織物|あやおりもの|figured cloth; twill fabric
安全ガラス|あんぜんガラス|safety glass
安全ピン|あんぜんピン|safety pin
安全衛生教育|あんぜんえいせいきょういく|safety education
安全係数|あんぜんけいすう|safety factor
安全剃刀|あんぜんかみそり|safety razor
安全標識|あんぜんひょうしき|safety mark
安全帽|あんぜんぼう|safety helmet; crash helmet; hard hat
安定株主|あんていかぶぬし|strong stockholder
安定陸塊|あんていりくかい|stable land-mass
暗渠排水|あんきょはいすい|underdrainage
暗紅色|あんこうしょく|dark red
暗示療法|あんじりょうほう|suggestive therapy
暗潮|あんちょう|undercurrent
闇カルテル|やみカルテル|unauthorized cartel; unauthorised cartel
闇米|やみごめ|black-market rice
位相語|いそうご|parole
位相差顕微鏡|いそうさけんびきょう|phase-contrast microscope
位相写像|いそうしゃぞう|topological mapping
位相配列レーダー|いそうはいれつレーダー|phased-array radar
位相変調|いそうへんちょう|PM; phase modulation
位置エネルギー|いちエネルギー|potential energy
位置ベクトル|いちベクトル|position vector
位置天文学|いちてんもんがく|position astronomy
依存効果|いそんこうか|dependence effect
囲郭村|いかくそん|walled settlement; walled town
委託売買|いたくばいばい|consignment sales and purchase
委託保証金|いたくほしょうきん|margin money
委任統治|いにんとうち|mandate
委任立法|いにんりっぽう|delegated legislation
意思能力|いしのうりょく|mental capacity
意字|いじ|ideogram
意識の流れ|いしきのながれ|stream of consciousness
意識一般|いしきいっぱん|transcendental appreciation
意識障害|いしきしょうがい|disturbance of consciousness
意識喪失|いしきそうしつ|loss of consciousness
意趣晴らし|いしゅばらし|revenge
意地悪い|いじわるい|ill-natured; mean; nasty; sadistic; cruel; mean-spirited
為替ダンピング|かわせダンピング|exchange dumping
為替マリー|かわせマリー|exchange marry
為替市場|かわせしじょう|exchange market
